,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
2,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($0.8 par due 1/2022),9.40% (Libor + 7.50%/Q),0,1/15/2019,0,0.8,0.8
3,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($24.5 par due 1/2022),0,0,1/5/2016,0,24.2,10.2
4,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",0,0,1/5/2016,0,4.0,0.0
5,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",0,0,1/5/2016,0,0.0,0.0
7,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",0,0,6/22/2017,0,0.1,0.0
8,"ADCS Billings Intermediate Holdings, LLC (17)",Dermatology practice,First lien senior secured revolving loan ($1.8 par due 5/2022),7.55% (Libor + 5.75%/M),0,5/18/2016,0,1.8,1.7
9,"ADG, LLC and RC IV GEDC Investor LLC (17)",Dental services provider,First lien senior secured revolving loan ($11.9 par due 9/2022),7.22% (Libor + 4.75%/M),0,9/28/2016,0,11.9,10.5
10,"ADG, LLC and RC IV GEDC Investor LLC (17)",Dental services provider,Second lien senior secured loan ($92.1 par due 3/2024),7.42% (Libor + 5.50%/Q),0,9/28/2016,0,89.0,67.3
11,"ADG, LLC and RC IV GEDC Investor LLC (17)",Dental services provider,"Membership units (3,000,000 units)",0,0,9/28/2016,0,3.0,0.0
13,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),9.67% (Libor + 7.88%/M),0,3/14/2018,0,182.7,180.8
14,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",0,0,3/14/2018,0,0.9,1.6
16,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($3.0 par due 9/2022),8.30% (Libor + 6.50%/M),0,5/15/2017,0,3.0,2.8
17,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (17)",Revenue cycle management provider to the physician practices and acute care hospitals,First lien senior secured loan ($16.0 par due 2/2026),6.40% (Libor + 4.50%/Q),0,2/11/2019,0,15.7,16.0
18,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (17)",Revenue cycle management provider to the physician practices and acute care hospitals,Second lien senior secured loan ($210.3 par due 2/2027),10.41% (Libor + 8.50%/Q),0,2/11/2019,0,210.3,210.3
19,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (17)",Revenue cycle management provider to the physician practices and acute care hospitals,"Senior preferred stock (121,810 shares)",12.89% PIK (Libor + 11.13%/Q),0,2/11/2019,0,132.6,132.6
20,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (17)",Revenue cycle management provider to the physician practices and acute care hospitals,Class A interests (0.39% interest),0,0,2/11/2019,0,9.0,14.1
22,Bambino CI Inc. (17),Manufacturer and provider of single-use obstetrics products,First lien senior secured revolving loan ($5.7 par due 10/2022),7.21% (Libor + 5.50%/M),0,10/17/2017,0,5.7,5.7
23,Bambino CI Inc. (17),Manufacturer and provider of single-use obstetrics products,First lien senior secured loan ($30.6 par due 10/2023),7.30% (Libor + 5.50%/M),0,10/17/2017,0,30.6,30.6
24,Bambino CI Inc. (17),Manufacturer and provider of single-use obstetrics products,First lien senior secured loan ($1.7 par due 10/2023),7.30% (Libor + 5.50%/M),0,12/13/2019,0,1.7,1.7
26,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($30.9 par due 7/2026),6.20% (Libor + 4.25%/Q),0,7/9/2019,0,30.9,30.6
27,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($2.0 par due 7/2026),6.20% (Libor + 4.25%/Q),0,7/9/2019,0,2.0,2.0
28,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($17.1 par due 7/2026),6.20% (Libor + 4.25%/Q),0,9/10/2019,0,17.1,17.0
29,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($64.2 par due 7/2027),10.20% (Libor + 8.25%/Q),0,7/9/2019,0,64.2,63.5
30,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($5.3 par due 7/2027),10.20% (Libor + 8.25%/Q),0,7/9/2019,0,5.3,5.2
31,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($12.7 par due 7/2027),10.20% (Libor + 8.25%/Q),0,9/10/2019,0,12.7,12.6
32,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,"Class B common units (4,211 units)",0,0,7/9/2019,0,4.2,4.2
35,"CCS-CMGC Holdings, Inc. (17)",Correctional facility healthcare operator,First lien senior secured revolving loan ($0.9 par due 10/2023),7.05% (Libor + 5.25%/M),0,10/1/2018,0,0.9,0.9
36,"CCS-CMGC Holdings, Inc. (17)",Correctional facility healthcare operator,First lien senior secured loan ($34.7 par due 10/2025),7.35% (Libor + 5.50%/M),0,9/25/2018,0,34.4,33.6
38,"Center for Autism and Related Disorders, LLC (17)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan,0,0,11/21/2018,0,0.0,0.0
39,"Comprehensive EyeCare Partners, LLC (17)",Vision care practice management company,First lien senior secured revolving loan ($0.4 par due 2/2024),6.45% (Libor + 4.50%/Q),0,2/14/2018,0,0.4,0.4
40,"Comprehensive EyeCare Partners, LLC (17)",Vision care practice management company,First lien senior secured loan ($5.4 par due 2/2024),6.60% (Libor + 4.50%/Q),0,2/14/2018,0,5.4,5.3
41,"Comprehensive EyeCare Partners, LLC (17)",Vision care practice management company,First lien senior secured loan ($2.4 par due 2/2024),6.45% (Libor + 4.50%/Q),0,2/14/2018,0,2.4,2.4
43,"Convey Health Solutions, Inc.",Workforce management solutions provider,First lien senior secured loan ($20.1 par due 9/2026),6.94% (Libor + 5.25%/M),0,9/4/2019,0,20.1,19.9
44,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (17)",Veterinary hospital operator,First lien senior secured revolving loan ($0.1 par due 10/2024),8.41% (Libor + 5.75%/Q),0,10/31/2019,0,0.1,0.1
45,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (17)",Veterinary hospital operator,First lien senior secured loan ($66.3 par due 10/2025),7.66% (Libor + 5.75%/Q),0,10/31/2019,0,66.3,65.6
46,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (17)",Veterinary hospital operator,First lien senior secured loan ($12.5 par due 10/2025),7.63% (Libor + 5.75%/Q),0,10/31/2019,0,12.5,12.4
47,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (17)",Veterinary hospital operator,"Common stock (31,005 shares)",0,0,10/31/2019,0,9.6,9.8
49,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (17)",Dental services provider,First lien senior secured revolving loan ($0.6 par due 12/2022),10.00% (Base Rate + 5.25%/Q),0,12/21/2016,0,0.6,0.6
50,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (17)",Dental services provider,"Class A preferred units (1,000,000 units)",0,0,12/21/2016,0,1.0,1.0
52,"DCA Investment Holding, LLC (17)",Multi-branded dental practice management,First lien senior secured revolving loan ($1.7 par due 7/2021),9.00% (Base Rate + 4.25%/Q),0,7/2/2015,0,1.7,1.7
53,"DCA Investment Holding, LLC (17)",Multi-branded dental practice management,First lien senior secured loan ($18.3 par due 7/2021),7.20% (Libor + 5.25%/Q),0,7/2/2015,0,18.3,18.3
55,"Emerus Holdings, Inc.",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.5 par due 2/2022),14.00%,0,2/21/2019,0,16.5,16.5
56,"Evolent Health LLC and Evolent Health, Inc. (17)",Medical technology company focused on value based care services and payment solutions,First lien senior secured loan ($67.1 par due 12/2024),9.96% (Libor + 8.00%/Q),0,12/30/2019,0,61.2,63.6
57,"Evolent Health LLC and Evolent Health, Inc. (17)",Medical technology company focused on value based care services and payment solutions,"Warrant to purchase up to 1,354,968 shares of common stock (expires 1/2025)",0,0,12/30/2019,0,5.9,5.9
59,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),9.95% (Libor + 8.00%/Q),0,6/30/2017,0,34.2,34.5
