,Company(1),Business Description,Investment,Interest(5)(10),Acquisition  Date,Amortized  Cost,Fair  Value
2,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($19.0 par due 1/2022),9.83% (Libor + 7.50%/Q),1/5/2016,19.0,18.1
3,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($5.1 par due 1/2022),9.83% (Libor + 7.50%/Q),1/5/2016,5.1,4.8
4,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",0,1/5/2016,4.0,1.0
5,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",0,1/5/2016,0.0,0.0
7,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",0,6/22/2017,0.1,0.0
8,"ADCS Billings Intermediate Holdings, LLC (21)",Dermatology practice,First lien senior secured revolving loan ($3.3 par due 5/2022),9.75% (Base Rate + 4.75%/Q),5/18/2016,3.3,3.2
9,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,First lien senior secured revolving loan ($1.0 par due 9/2022),6.80% (Libor + 4.75%/M),9/28/2016,1.0,1.0
10,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,First lien senior secured revolving loan ($2.1 par due 9/2022),6.84% (Libor + 4.75%/M),9/28/2016,2.1,2.0
11,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,First lien senior secured revolving loan ($0.6 par due 9/2022),8.75% (Base Rate + 3.75%/M),9/28/2016,0.6,0.6
12,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,Second lien senior secured loan ($87.5 par due 3/2024),11.09% (Libor + 9.00%/M),9/28/2016,87.5,79.6
13,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,"Membership units (3,000,000 units)",0,9/28/2016,3.0,1.4
15,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),9.96% (Libor + 7.88%/M),3/14/2018,182.7,182.7
16,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",0,3/14/2018,0.9,1.5
18,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,First lien senior secured revolving loan ($7.7 par due 10/2019),7.50% (Libor + 5.50%/M),1/3/2017,7.7,7.7
19,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,First lien senior secured revolving loan ($2.0 par due 10/2019),7.55% (Libor + 5.50%/M),1/3/2017,2.0,2.0
20,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,First lien senior secured revolving loan ($15.9 par due 10/2019),7.59% (Libor + 5.50%/M),1/3/2017,15.9,15.9
21,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,First lien senior secured loan ($10.0 par due 10/2020),7.59% (Libor + 5.50%/M),1/3/2017,10.0,10.0
22,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,First lien senior secured loan ($95.2 par due 10/2020),7.59% (Libor + 5.50%/M),1/3/2017,95.2,95.2
23,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,First lien senior secured loan ($0.2 par due 10/2020),11.50% (Base Rate + 6.50%/M),1/3/2017,0.2,0.2
24,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,Senior subordinated loan ($25.0 par due 10/2020),12.25%,1/3/2017,25.0,25.0
25,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,Senior subordinated loan ($30.0 par due 10/2020),11.75%,1/3/2017,30.0,30.0
26,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,Senior subordinated loan ($30.0 par due 10/2020),12.00%,1/3/2017,30.0,30.0
27,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,Senior subordinated loan ($38.9 par due 10/2020),14.75% PIK,1/3/2017,38.9,38.9
28,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,Senior subordinated loan ($39.5 par due 10/2020),15.25% PIK,1/3/2017,28.4,39.5
29,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,"Series P-1 preferred membership units (100,000 units)",0,1/3/2017,0.0,81.6
30,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,"Series P-2 preferred membership units (143,642 units)",0,1/3/2017,0.0,117.3
31,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,"Series R preferred membership units (30,000 units)",0,1/3/2017,0.0,40.6
