,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,,
2,"2U, Inc.",Provider of course design and learning management system to educational institutions,First lien senior secured loan ($45.7 par due 12/2024),6.50% (Libor + 5.75%/Q),6/28/2021,,44.9,,,,45.2,,(2)(6)(13),,
3,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (17)",Payment processing solution provider,First lien senior secured loan ($10.8 par due 3/2026),6.25% (Libor + 5.00%/Q),6/7/2021,10.8,,,10.8,,(2)(13),,,,
4,,,First lien senior secured loan ($64.3 par due 3/2026),6.25% (Libor + 5.00%/Q),2/28/2020,64.3,,,64.3,,(13),,,,
5,,,Senior subordinated loan ($25.7 par due 2/2028),12.75% PIK,2/28/2020,25.7,,,25.7,,(2),,,,
7,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (17)",Provider of intellectual property management lifecycle software,First lien senior secured loan ($20.5 par due 4/2026),7.00% (Libor + 6.00%/Q),6/24/2021,20.5,,,20.5,,(2)(13),,,,
8,,,First lien senior secured loan ($4.9 par due 4/2026),6.25% (Euribor + 6.25%/Q),4/10/2019,4.6,,,4.9,,,,,,
9,,,"Limited partnership units (4,400,000 units)",,6/13/2019,4.2,,,7.3,,(2)(6),,,,
11,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(17)",Aircraft performance software provider,First lien senior secured loan ($13.5 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,13.5,,,13.5,,(2)(13),,,,
12,,,"Class A membership units (9,750,000 units)",,1/3/2020,9.8,,,13.4,,(2),,,,
14,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc. (17)","Software platform for identification, prevention and management of substance use disorder",First lien senior secured loan ($25.7 par due 5/2027),8.25% (Libor + 7.25%/Q),5/6/2021,25.7,,,25.4,,(2)(13),,,,
15,,,"Series A preferred shares (32,236 shares)",11.00% PIK,5/6/2021,32.2,,,32.2,,(2),,,,
17,"Apptio, Inc. (17)",Provider of cloud-based technology business management solutions,First lien senior secured revolving loan ($1.7 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,1.7,,,1.7,,(2)(13),,,,
18,,,First lien senior secured loan ($62.2 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,62.2,,,62.2,,(13),,,,
20,"Banyan Software Holdings, LLC (17)",Vertical software businesses holding company,First lien senior secured loan ($18.5 par due 10/2026),8.50% (Libor + 7.50%/Q),10/30/2020,18.5,,,18.5,,(2)(13),,,,
21,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,"Series A preferred stock (150,000 shares)",,9/26/2018,1.5,,,2.9,,(2),,,,
22,Borrower R365 Holdings LLC (17),Provider of restaurant ERP systems,First lien senior secured revolving loan ($0.7 par due 6/2027),7.50% (Libor + 6.50%/Q),6/10/2021,0.7,,,0.7,,(2)(13),,,,
23,,,First lien senior secured loan ($15.2 par due 6/2027),"7.50% (Libor + 3.50% Cash, 3.00% PIK/S)",6/10/2021,14.9,,,15.1,,(2)(13),,,,
25,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",,7/23/2014,0,,,0,,(2),,,,
26,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (17)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($1.0 par due 11/2025),6.75% (Base Rate + 3.50%/Q),11/12/2020,1.0,,,1.0,,(2)(13),,,,
27,,,Second lien senior secured loan ($48.1 par due 11/2028),8.50% (Libor + 7.75%/Q),11/12/2020,48.1,,,48.1,,(2)(13),,,,
28,,,"Series A-2 preferred shares (8,963 shares)",11.25% PIK (Libor + 11.00%/Q),12/23/2020,9.5,,,9.6,,(2),,,,
29,,,"Series A preferred shares (24,898 shares)",11.21% PIK (Libor + 11.00%/Q),11/12/2020,26.7,,,26.6,,(2),,,,
32,"Clearwater Analytics, LLC (17)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software",First lien senior secured loan ($45.7 par due 10/2025),7.25% (Libor + 6.25%/Q),10/19/2020,45.7,,,45.7,,(2)(13),,,,
33,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (17)",Provider of sales software for the interior design industry,First lien senior secured loan ($60.8 par due 5/2028),6.75% (Libor + 5.75%/Q),5/28/2021,60.8,,,60.1,,(2)(6)(13),,,,
34,,,"Common units (4,799,000 units)",,5/28/2021,4.8,,,4.8,,(2)(6),,,,
36,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (17)","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",Second lien senior secured loan ($155.7 par due 6/2029),7.00% (Libor + 6.50%/M),6/3/2021,155.7,,,154.1,,(2)(13),,,,
37,,,"Limited partnership units (59,665,989 units)",,4/29/2021,59.7,,,59.7,,(2),,,,
