,Company(1),Business Description,Investment,Interest(6)(12),Acquisition  Date,Amortized  Cost,Fair Value
2,"Covestia Capital Partners, LP (10)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,487.0,1863
3,"HCI Equity, LLC (8)(9)(10)",Investment company,Member interest (100.00% interest),0,4/1/2010,0.0,127
4,"Imperial Capital Private Opportunities, LP (10)(26)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,4054.0,15343
5,"Partnership Capital Growth Fund I, L.P. (10)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,0.0,692
6,"Partnership Capital Growth Investors III, L.P. (10)(26)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,2451.0,3289
7,"PCG-Ares Sidecar Investment II, L.P. (10)(26)",Investment partnership,Limited partnership interest (100.00% interest),0,10/31/2014,6548.0,8316
8,"PCG-Ares Sidecar Investment, L.P. (10)(26)",Investment partnership,Limited partnership interest (100.00% interest),0,5/22/2014,2178.0,215
9,"Piper Jaffray Merchant Banking Fund I, L.P. (10)(26)",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,1626.0,1639
10,Senior Secured Loan Fund LLC (8)(11)(27),Co-investment vehicle,"Subordinated certificates ($2,003,959 par due 12/2024)",8.63% (Libor + 8.00%/M) (22),10/30/2009,1938446.0,1889734
11,Senior Secured Loan Fund LLC (8)(11)(27),Co-investment vehicle,Member interest (87.50% interest),0,10/30/2009,0.0,0
13,VSC Investors LLC (10),Investment company,Membership interest (1.95% interest),0,1/24/2008,299.0,1158
16,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"First lien senior secured loan ($18,750 par due 1/2022)",9.27% (Libor + 8.27%/Q),1/5/2016,18750.0,18750
17,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"First lien senior secured loan ($5,000 par due 1/2022)",9.27% (Libor + 8.27%/Q),1/5/2016,5000.0,5000
18,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",0,1/5/2016,4000.0,4000
19,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",0,1/5/2016,0.0,0
21,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",0,12/13/2013,3087.0,1782
22,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),0,12/13/2013,3.0,0
24,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($8,810 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,8810.0,8810
25,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($52,039 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,52039.0,52039
26,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($2,801 par due 6/2019)",4.00% (Libor + 3.00%/Q),6/27/2014,2801.0,2801
