,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,
2,"42 North Dental, LLC (fka Gentle Communications, LLC) (16)",Dental services provider,First lien senior secured revolving loan ($1.5 par due 5/2022),8.50% (Base Rate + 5.25%/Q),5/26/2017,,1.5,,,,1.4,,(2)(12)
3,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($0.8 par due 1/2022),8.50% (Libor + 7.50%/Q),1/15/2019,0.8,,,0.8,,(2)(11),,
4,,,First lien senior secured loan ($24.6 par due 1/2022),,1/5/2016,24.2,,,11.5,,(2)(12),,
5,,,"Class A preferred units (4,000,000 units)",,1/5/2016,4.0,,,0,,(2),,
6,,,"Class A common units (4,000,000 units)",,1/5/2016,0,,,0,,(2),,
8,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,,,0,,,,
9,"ADCS Billings Intermediate Holdings, LLC (16)",Dermatology practice,First lien senior secured revolving loan ($5.0 par due 5/2022),6.79% (Libor + 5.75%/Q),5/18/2016,5.0,,,4.8,,(2)(12),,
10,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,First lien senior secured revolving loan ($13.7 par due 9/2022),"6.82% (Libor + 3.00% Cash, 2.75% PIK/Q)",9/28/2016,13.7,,,11.8,,(2)(12),,
11,,,Second lien senior secured loan ($94.9 par due 3/2024),,9/28/2016,89.0,,,66.4,,(2)(11),,
12,,,"Membership units (3,000,000 units)",,9/28/2016,3.0,,,0,,(2),,
14,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),9.49% (Libor + 7.88%/Q),3/14/2018,182.7,,,177.2,,(2)(12),,
15,,,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,,,1.2,,(2),,
17,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($3.0 par due 9/2022),7.95% (Libor + 6.50%/Q),5/15/2017,3.0,,,2.6,,(2)(12),,
18,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (16)",Revenue cycle management provider to the physician practices and acute care hospitals,First lien senior secured loan ($7.0 par due 2/2026),5.28% (Libor + 4.50%/Q),2/11/2019,6.8,,,6.6,,(2),,
19,,,Second lien senior secured loan ($210.3 par due 2/2027),9.50% (Libor + 8.50%/Q),2/11/2019,210.3,,,204.0,,(2),,
20,,,"Senior preferred stock (121,810 shares)",12.05% PIK (Libor + 11.13%/M),2/11/2019,136.9,,,136.9,,(2),,
21,,,Class A interests (0.39% interest),,2/11/2019,9.0,,,14.2,,(2),,
23,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,First lien senior secured revolving loan ($0.4 par due 7/2024),5.25% (Libor + 4.25%/M),7/9/2019,0.4,,,0.4,,(2)(12),,
24,,,First lien senior secured loan ($30.8 par due 7/2026),5.70% (Libor + 4.25%/Q),7/9/2019,30.8,,,29.9,,(2)(12),,
25,,,First lien senior secured loan ($2.0 par due 7/2026),5.70% (Libor + 4.25%/Q),7/9/2019,2.0,,,2.0,,(2)(12),,
26,,,First lien senior secured loan ($17.1 par due 7/2026),5.70% (Libor + 4.25%/Q),9/10/2019,17.1,,,16.6,,(2)(12),,
27,,,Second lien senior secured loan ($64.2 par due 7/2027),9.70% (Libor + 8.25%/Q),7/9/2019,64.2,,,62.9,,(2)(12),,
28,,,Second lien senior secured loan ($5.3 par due 7/2027),9.70% (Libor + 8.25%/Q),7/9/2019,5.3,,,5.2,,(2)(12),,
29,,,Second lien senior secured loan ($12.7 par due 7/2027),9.70% (Libor + 8.25%/Q),9/10/2019,12.7,,,12.4,,(2)(12),,
30,,,"Class B common units (4,211 units)",,7/9/2019,4.2,,,5.3,,(2),,
33,"CCS-CMGC Holdings, Inc. (16)",Correctional facility healthcare operator,First lien senior secured revolving loan ($7.5 par due 10/2023),7.50% (Base Rate + 4.25%/M),10/1/2018,7.5,,,7.0,,(2)(15),,
34,,,First lien senior secured revolving loan ($0.9 par due 10/2023),6.24% (Libor + 5.25%/M),10/1/2018,0.9,,,0.9,,(2)(15),,
35,,,First lien senior secured loan ($34.6 par due 10/2025),6.84% (Libor + 5.50%/Q),9/25/2018,34.3,,,32.1,,(2),,
37,"Center for Autism and Related Disorders, LLC (16)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($7.8 par due 11/2023),5.40% (Libor + 4.00%/Q),11/21/2018,7.8,,,7.0,,(2)(15),,
38,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured revolving loan ($1.8 par due 2/2024),5.75% (Libor + 4.50%/Q),2/14/2018,1.8,,,1.6,,(2)(12),,
39,,,First lien senior secured loan ($5.3 par due 2/2024),5.95% (Libor + 4.50%/Q),2/14/2018,5.3,,,5.0,,(2)(12),,
40,,,First lien senior secured loan ($1.0 par due 2/2024),6.75% (Base Rate + 3.50%/Q),2/14/2018,1.0,,,1.0,,(2)(12),,
41,,,First lien senior secured loan ($2.4 par due 2/2024),5.95% (Libor + 4.50%/Q),2/14/2018,2.4,,,2.2,,(2)(12),,
43,"Convey Health Solutions, Inc.",Workforce management solutions provider,First lien senior secured loan ($20.1 par due 9/2026),7.01% (Libor + 5.25%/Q),9/4/2019,20.1,,,19.5,,(2)(12),,
44,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (16)",Veterinary hospital operator,First lien senior secured revolving loan ($0.7 par due 10/2024),6.87% (Libor + 5.75%/M),10/31/2019,0.7,,,0.7,,(2)(12)(15),,
45,,,First lien senior secured loan ($66.1 par due 10/2025),7.34% (Libor + 5.75%/Q),10/31/2019,66.1,,,62.1,,(2)(12),,
46,,,First lien senior secured loan ($14.1 par due 10/2025),7.34% (Libor + 5.75%/Q),10/31/2019,14.1,,,13.3,,(2)(12),,
47,,,"Common stock (31,005 shares)",,10/31/2019,9.6,,,9.7,,(2),,
49,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (16)",Dental services provider,First lien senior secured revolving loan ($4.8 par due 12/2022),9.50% (Base Rate + 6.25%/Q),12/21/2016,4.8,,,4.6,,(2)(12)(15),,
50,,,"Class A preferred units (1,000,000 units)",,12/21/2016,1.0,,,1.0,,(2),,
52,"DCA Investment Holding, LLC (16)",Multi-branded dental practice management,First lien senior secured revolving loan ($5.7 par due 7/2021),6.25% (Libor + 5.25%/M),7/2/2015,5.7,,,5.4,,(2)(12)(15),,
53,,,First lien senior secured loan ($18.3 par due 7/2021),6.32% (Libor + 5.25%/Q),7/2/2015,18.2,,,17.5,,(2)(12),,
55,"Emerus Holdings, Inc.",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.5 par due 2/2022),14.00%,2/21/2019,16.5,,,16.5,,(2),,
56,"Evolent Health LLC and Evolent Health, Inc. (16)",Medical technology company focused on value based care services and payment solutions,First lien senior secured loan ($67.1 par due 12/2024),9.45% (Libor + 8.00%/Q),12/30/2019,61.2,,,61.1,,(2)(6)(12),,
57,,,"Warrant to purchase up to 1,354,968 shares of common stock (expires 1/2025)",,12/30/2019,5.9,,,5.9,,(2)(6),,
59,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),9.37% (Libor + 8.00%/Q),6/30/2017,34.2,,,33.2,,(2)(12),,
60,,,Second lien senior secured loan ($55.0 par due 6/2025),9.37% (Libor + 8.00%/Q),1/13/2020,55.0,,,52.8,,(2)(12),,
61,,,"Series A preferred stock (110,425 shares)",12.20% PIK (Libor + 10.75%/Q),6/30/2017,157.2,,,150.9,,(2)(12),,
63,,,"Class A units (14,013,303 units)",,6/30/2017,14.0,,,16.9,,(2),,
65,Hygiena Borrower LLC (16),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($2.5 par due 8/2023),9.20% (Libor + 7.75%/Q),8/26/2016,2.5,,,2.4,,(2)(12),,
66,,,Second lien senior secured loan ($10.7 par due 8/2023),9.20% (Libor + 7.75%/Q),2/27/2017,10.7,,,10.2,,(2)(12),,
