,Company(1),Business Description,Investment,Interest (5)(11),Acquisition  Date,Amortized  Cost,Fair Value
2,"AGILE Fund I, LLC (9)",Investment partnership,Member interest (0.50% interest),0,4/1/2010,133.0,30
3,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 unit),0,9/7/2007,2362.0,3593
4,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,1059.0,1135
5,"Dynamic India Fund IV, LLC (9)",Investment company,Member interest (5.44% interest),0,4/1/2010,4822.0,3509
6,Firstlight Financial Corporation (6)(9),Investment company,"Senior subordinated loan ($51,760 par due 12/2016)",5.00% PIK,12/31/2006,44153.0,51760
7,Firstlight Financial Corporation (6)(9),Investment company,"Class A common stock (10,000 shares)",0,12/31/2006,10000.0,6325
8,Firstlight Financial Corporation (6)(9),Investment company,"Class B common stock (30,000 shares)",0,12/31/2006,30000.0,0
10,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,452.0,363
11,"Imperial Capital Private Opportunities, LP (9)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,6131.0,6286
12,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,"Class B deferrable interest notes ($25,000 par due 11/2018)",6.44% (Libor + 6.00%/Q),11/20/2007,25000.0,24750
13,"Kodiak Funding, LP (9)",Investment partnership,Limited partnership interest (1.52% interest),0,4/1/2010,841.0,566
14,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,1656.0,4228
15,"Partnership Capital Growth Fund III, L.P. (9)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,1930.0,1774
16,"Piper Jaffray Merchant Banking Fund I, L.P. (9)",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,195.0,185
17,Senior Secured Loan Fund LLC (7)(10)(20),Co-investment vehicle,"Subordinated certificates ($1,205,499 par due 12/2020)",8.42% (Libor + 8.00%/Q),10/30/2009,1194949.0,1229950
18,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),0,1/24/2008,682.0,1121
21,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",0,8/19/2010,602.0,1205
22,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Senior secured loan ($7,584 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7584.0,7129
23,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Senior secured loan ($7,190 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7190.0,6759
24,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Class A common stock (9,679 shares)",0,6/15/2007,4000.0,3864
25,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Class C common stock (1,546 shares)",0,6/15/2007,0.0,617
27,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",0,9/27/2010,1512.0,1015
28,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($15,436 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,15436.0,15436
29,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($43,231 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,43231.0,43231
30,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($4,912 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,4912.0,4912
31,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($55,804 par due 3/2018)",9.75% (Libor + 8.75%/Q),3/16/2012,55804.0,55804
32,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($15,719 par due 3/2018)",9.75% (Libor + 8.75%/Q),3/16/2012,15719.0,15719
34,MW Dental Holding Corp.,Dental services,"Senior secured revolving loan ($2,000 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,2000.0,2000
35,MW Dental Holding Corp.,Dental services,"Senior secured loan ($49,948 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,49948.0,49948
