,Company(1),Business Description,Investment,Interest(5)(11),Acquisition  Date,Amortized  Cost,Fair Value
2,"CIC Flex, LP (10)",Investment partnership,Limited partnership units (0.94 units),0,9/7/2007,0.0,263
3,"Covestia Capital Partners, LP (10)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,487.0,1863
4,"HCI Equity, LLC (8)(9)(10)",Investment company,Member interest (100.00% interest),0,4/1/2010,0.0,128
5,"Imperial Capital Private Opportunities, LP (10)(28)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,4134.0,19368
6,"Partnership Capital Growth Fund I, L.P. (10)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,0.0,732
7,"Partnership Capital Growth Investors III, L.P. (10)(28)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,2722.0,2900
8,"PCG-Ares Sidecar Investment II, L.P. (10)(28)",Investment partnership,Limited partnership interest (100.00% interest),0,10/31/2014,6516.0,8828
9,"PCG-Ares Sidecar Investment, L.P. (10)(28)",Investment partnership,Limited partnership interest (100.00% interest),0,5/22/2014,2152.0,713
10,"Piper Jaffray Merchant Banking Fund I, L.P. (10)(28)",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,1250.0,1332
11,Senior Secured Loan Fund LLC (8)(11)(29),Co-investment vehicle,"Subordinated certificates ($2,000,570 par due 12/2024)",8.33% (Libor + 8.00%/M)(23),10/30/2009,2000570.0,2000570
12,Senior Secured Loan Fund LLC (8)(11)(29),Co-investment vehicle,Member interest (87.50% interest),0,10/30/2009,0.0,0
14,VSC Investors LLC (10),Investment company,Membership interest (1.95% interest),0,1/24/2008,879.0,1661
17,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",0,12/13/2013,3087.0,1949
18,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),0,12/13/2013,3.0,0
20,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($8,810 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,8810.0,8810
21,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($52,039 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,52039.0,52039
22,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($3,198 par due 6/2019)",4.00% (Libor + 3.00%/Q),6/27/2014,3198.0,3198
24,AwarePoint Corporation,Healthcare technology platform developer,"First lien senior secured loan ($10,000 par due 6/2018)",9.50%,9/5/2014,9927.0,10000
25,AwarePoint Corporation,Healthcare technology platform developer,"Warrant to purchase up to 3,213,367 shares of Series 1 preferred stock",0,11/14/2014,0.0,609
27,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Preferred units (8,664,072 units)",0,4/12/2013,866.0,816
28,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Common units (87,514 units)",0,4/12/2013,17.0,8
