,Company,Business Description,Investment,Interest,Amortized Cost,Fair Value
0,"CIC Flex, LP(9)",Investment partnership,Limited partnership units (0.94 units),0,0,248
1,"Covestia Capital Partners, LP(9)",Investment partnership,Limited partnership interest (47.00% interest),0,487,2100
2,"HCI Equity, LLC(7)(8)(9)",Investment company,Member interest (100.00% interest),0,0,397
3,"Imperial Capital Private Opportunities, LP(9)",Investment partnership,Limited partnership interest (80.00% interest),0,4654,19005
4,"Partnership Capital Growth Fund I, L.P.(9)",Investment partnership,Limited partnership interest (25.00% interest),0,0,1526
5,"Partnership Capital Growth Investors III, L.P.(9)",Investment partnership,Limited partnership interest (2.50% interest),0,3030,2735
6,"PCG-Ares Sidecar Investment, L.P.(9)",Investment partnership,Limited partnership interest (100.00% interest),0,2073,1866
7,"PCG-Ares Sidecar Investment II, L.P.(9)",Investment partnership,Limited partnership interest (100.00% interest),0,6500,6500
8,"Piper Jaffray Merchant Banking Fund I, L.P.(9)",Investment partnership,Limited partnership interest (2.00% interest),0,1074,955
9,Senior Secured Loan Fund LLC(7)(10),Co-investment vehicle,"Subordinated certificates ($2,034,498 par due 12/2024)",8.26% (Libor + 8.00%/M)(26),2034498,2065015
10,Senior Secured Loan Fund LLC(7)(10),Co-investment vehicle,Membership interest (87.50% interest),0,0,0
11,VSC Investors LLC(9),Investment company,Membership interest (1.95% interest),0,879,1481
12,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",0,3087,1876
13,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),0,3,0
14,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($14,088 par due 6/2019)",4.00% (Libor + 3.00%/Q),14088,14088
15,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($23,425 par due 6/2019)",7.00% (Libor + 6.00%/Q),23425,23425
16,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($52,039 par due 6/2019)",7.00% (Libor + 6.00%/Q),52039,52039
17,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($4,126 par due 6/2019)",4.00% (Libor + 3.00%/Q),4126,4126
18,"Athletico Management, LLC and Accelerated Holdings, LLC",Provider of outpatient rehabilitation services,"First lien senior secured loan ($4,000 par due 12/2020)",6.25% (Libor + 5.50%/Q),3968,4000
19,AwarePoint Corporation,Healthcare technology platform developer,"First lien senior secured loan ($10,000 par due 6/2018)",9.50%,9907,9900
20,AwarePoint Corporation,Healthcare technology platform developer,"Warrant to purchase up to 3,213,367 shares of Series 1 preferred stock",0,0,0
21,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Preferred units (8,218,160 units)",0,822,693
22,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Common units (83,010 units)",0,8,7
23,"California Forensic Medical Group, Incorporated",Correctional facility healthcare operator,"First lien senior secured loan ($48,630 par due 11/2018)",9.25% (Libor + 8.00%/Q),48630,48630
24,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC",Correctional facility healthcare operator,"First lien senior secured revolving loan ($1,275 par due 7/2019)",5.00% (Libor + 4.00%/Q),1275,1249
25,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC",Correctional facility healthcare operator,"First lien senior secured loan ($6,719 par due 7/2021)",5.00% (Libor + 4.00%/Q),6688,6584
26,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC",Correctional facility healthcare operator,"Second lien senior secured loan ($135,000 par due 7/2022)",9.38% (Libor + 8.38%/Q),133721,133650
27,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",0,0,1802
28,"DNAnexus, Inc.",Bioinformatics company,"First lien senior secured loan ($5,000 par due 10/2017)",9.25%,4802,5000
29,"DNAnexus, Inc.",Bioinformatics company,"First lien senior secured loan ($5,000 par due 2/2018)",9.25%,4787,5000
