,Industry,Company,Business Description,Investment,Interest,Amortized Cost,Fair Value
0,Investment Funds and Vehicles,"CIC Flex, LP(10)",Investment partnership,Limited partnership units (0.94 units),,0,263
1,Investment Funds and Vehicles,"Covestia Capital Partners, LP(10)",Investment partnership,Limited partnership interest (47.00% interest),,487,1862
2,Investment Funds and Vehicles,"HCI Equity, LLC(8)(9)(10)",Investment company,Member interest (100.00% interest),,0,127
3,Investment Funds and Vehicles,"Imperial Capital Private Opportunities, LP(10)(26)",Investment partnership,Limited partnership interest (80.00% interest),,4054,16906
4,Investment Funds and Vehicles,"Partnership Capital Growth Fund I, L.P.(10)",Investment partnership,Limited partnership interest (25.00% interest),,0,692
5,Investment Funds and Vehicles,"Partnership Capital Growth Investors III, L.P.(10)(26)",Investment partnership,Limited partnership interest (2.50% interest),,2714,3510
6,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment II, L.P.(10)(26)",Investment partnership,Limited partnership interest (100.00% interest),,6521,9254
7,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment, L.P.(10)(26)",Investment partnership,Limited partnership interest (100.00% interest),,2152,242
8,Investment Funds and Vehicles,"Piper Jaffray Merchant Banking Fund I, L.P.(10)(26)",Investment partnership,Limited partnership interest (2.00% interest),,1413,1512
9,Investment Funds and Vehicles,Senior Secured Loan Fund LLC(8)(11)(27),Co-investment vehicle,"Subordinated certificates ($2,000,914 par due 12/2024)",8.61% (Libor + 8.00%/M)(22),1935401,1884861
10,Investment Funds and Vehicles,Senior Secured Loan Fund LLC(8)(11)(27),,Member interest (87.50% interest),,0,0
11,Investment Funds and Vehicles,VSC Investors LLC(10),Investment company,Membership interest (1.95% interest),,299,1158
12,Investment Funds and Vehicles,VSC Investors LLC(10),,,,1953041,1920387
13,Healthcare Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",,3087,1980
14,Healthcare Services,Alegeus Technologies Holdings Corp.,,Common stock (3 shares),,3,0
15,Healthcare Services,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($8,810 par due 6/2019)",7.00% (Libor + 6.00%/Q),8810,8810
16,Healthcare Services,"American Academy Holdings, LLC",,"First lien senior secured loan ($52,039 par due 6/2019)",7.00% (Libor + 6.00%/Q),52039,52039
17,Healthcare Services,"American Academy Holdings, LLC",,"First lien senior secured loan ($2,988 par due 6/2019)",4.00% (Libor + 3.00%/Q),2988,2988
18,Healthcare Services,"Argon Medical Devices, Inc.",Manufacturer and marketer of single-use specialty medical devices,"Second lien senior secured loan ($9,000 par due 6/2022)",10.50% (Libor + 9.50%/Q),8730,9000
19,Healthcare Services,AwarePoint Corporation,Healthcare technology platform developer,"First lien senior secured loan ($10,000 par due 6/2018)",9.50%,9934,10000
20,Healthcare Services,AwarePoint Corporation,,"Warrant to purchase up to 3,213,367 shares of Series 1 preferred stock",,0,609
21,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC(25)",Correctional facility healthcare operator,"First lien senior secured revolving loan ($5,250 par due 7/2019)",6.50% (Base Rate + 3.00%/Q),5250,4883
22,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC(25)",,"First lien senior secured loan ($6,651 par due 7/2021)",5.00% (Libor + 4.00%/Q),6626,6186
23,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC(25)",,"Second lien senior secured loan ($135,000 par due 7/2022)",9.38% (Libor + 8.38%/Q),133890,121500
24,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC(25)",,"Class A units (601,937 units)",,0,878
25,Healthcare Services,"Correctional Medical Group Companies, Inc.(25)",Correctional facility healthcare operator,"First lien senior secured loan ($3,088 par due 9/2021)",9.60% (Libor + 8.60%/Q),3088,3088
26,Healthcare Services,"Correctional Medical Group Companies, Inc.(25)",,"First lien senior secured loan ($4,093 par due 9/2021)",9.60% (Libor + 8.60%/Q),4093,4093
27,Healthcare Services,"Correctional Medical Group Companies, Inc.(25)",,"First lien senior secured loan ($44,707 par due 9/2021)",9.60% (Libor + 8.60%/Q),44707,44707
28,Healthcare Services,"DCA Investment Holding, LLC(25)",Multi-branded dental practice management,First lien senior secured revolving loan ($145 par due 7/2021),7.75% (Base Rate + 4.25%/Q),145,142
29,Healthcare Services,"DCA Investment Holding, LLC(25)",,"First lien senior secured loan ($19,089 par due 7/2021)",6.25% (Libor + 5.25%/Q),18918,18707
30,Healthcare Services,"DNAnexus, Inc.",Bioinformatics company,"First lien senior secured loan ($10,500 par due 10/2018)",9.25% (Libor + 8.25%/M),10205,10500
31,Healthcare Services,"DNAnexus, Inc.",,"Warrant to purchase up to 909,092 units of Series C preferred stock",,0,240
32,Healthcare Services,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,"Class A common stock (2,991 shares)",,2991,2991
33,Healthcare Services,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",,Class B common stock (980 shares),,30,3788
