,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($18.8 par due 1/2022),11.08% (Libor + 9.39%/Q),1/5/2016,18.8,17.6
1,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,First lien senior secured loan ($5.0 par due 1/2022),11.08% (Libor + 9.39%/Q),1/5/2016,5.0,4.7
2,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,"Class A preferred units (4,000,000 units)",,1/5/2016,4.0,0.9
3,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,"Class A common units (4,000,000 units)",,1/5/2016,0.0,0.0
4,Healthcare Services,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,0.0
5,Healthcare Services,"ADCS Billings Intermediate Holdings, LLC (21)",Dermatology practice,First lien senior secured revolving loan,0,5/18/2016,0.0,0.0
6,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,First lien senior secured revolving loan ($1.0 par due 9/2022),6.14% (Libor + 4.75%/Q),9/28/2016,1.0,1.0
7,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (21)",,First lien senior secured revolving loan ($1.4 par due 9/2022),6.24% (Libor + 4.75%/Q),9/28/2016,1.4,1.3
8,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (21)",,First lien senior secured revolving loan ($8.5 par due 9/2022),6.32% (Libor + 4.75%/Q),9/28/2016,8.5,8.3
9,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (21)",,First lien senior secured revolving loan ($0.6 par due 9/2022),8.25% (Base Rate + 3.75%/Q),9/28/2016,0.6,0.6
10,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (21)",,Second lien senior secured loan ($87.5 par due 3/2024),10.57% (Libor + 9.00%/Q),9/28/2016,87.5,81.4
11,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (21)",,"Membership units (3,000,000 units)",,9/28/2016,3.0,1.9
12,Healthcare Services,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,First lien senior secured revolving loan ($2.0 par due 10/2019),6.89% (Libor + 5.50%/Q),1/3/2017,2.0,2.0
13,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,First lien senior secured revolving loan ($15.9 par due 10/2019),6.96% (Libor + 5.50%/Q),1/3/2017,15.9,15.9
14,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,First lien senior secured revolving loan ($7.7 par due 10/2019),7.06% (Libor + 5.50%/Q),1/3/2017,7.7,7.7
15,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,First lien senior secured loan ($10.0 par due 10/2020),7.07% (Libor + 5.50%/Q),1/3/2017,10.0,10.0
16,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,First lien senior secured loan ($95.7 par due 10/2020),7.07% (Libor + 5.50%/Q),1/3/2017,95.7,95.7
17,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,First lien senior secured loan ($0.2 par due 10/2020),11.00% (Base Rate + 6.50%/Q),1/3/2017,0.2,0.2
18,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,Senior subordinated loan ($30.0 par due 10/2020),11.75%,1/3/2017,30.0,30.0
19,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,Senior subordinated loan ($30.0 par due 10/2020),12.00%,1/3/2017,30.0,30.0
20,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,Senior subordinated loan ($25.0 par due 10/2020),12.25%,1/3/2017,25.0,25.0
21,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,Senior subordinated loan ($36.1 par due 10/2020),14.75% PIK,1/3/2017,36.1,36.1
22,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,Senior subordinated loan ($36.6 par due 10/2020),15.25% PIK,1/3/2017,22.8,36.6
23,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,"Series R preferred membership units (30,000 units)",,1/3/2017,0.0,54.1
24,Healthcare Services,"Alcami Holdings, LLC (8)(21)",,"Series R-2 preferred membership units (54,936 units)",,1/3/2017,0.0,99.0
25,Healthcare Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",,12/13/2013,3.1,2.8
26,Healthcare Services,Alegeus Technologies Holdings Corp.,,Common stock (3 shares),,12/13/2013,0.0,0.0
