,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,"ACAS CLO 2007-1, Ltd. (8)(9)(10)",Investment vehicle,Subordinated notes ($25.9 par due 4/2021),0,1/3/2017,0.0,0.0
1,ACAS Equity Holdings Corporation (8)(10),Investment company,Common stock (589 shares),0,1/3/2017,0.5,0.4
2,Ares IIIR/IVR CLO Ltd. (8)(9)(10),Investment vehicle,Subordinated notes ($20.0 par due 4/2021),0,1/3/2017,0.7,0.0
3,Babson CLO Ltd. 2006-II (9)(10),Investment vehicle,Subordinated notes ($15.0 par due 10/2020),0,1/3/2017,0.0,0.0
4,Babson CLO Ltd. 2013-II (9)(10),Investment vehicle,Subordinated notes ($5.0 par due 1/2025),12.00%,1/3/2017,3.0,2.8
5,Babson CLO Ltd. 2014-I (9)(10),Investment vehicle,Subordinated notes ($8.5 par due 7/2025),11.80%,1/3/2017,4.6,5.0
6,Babson CLO Ltd. 2014-II (9)(10),Investment vehicle,Subordinated notes ($25.0 par due 10/2026),18.00%,1/3/2017,12.5,13.7
7,"Blue Wolf Capital Fund II, L.P. (9)(10)",Investment partnership,Limited partnership interest (8.50% interest),0,1/3/2017,7.1,7.4
8,"Carlyle Global Market Strategies CLO 2015-3, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($5.0 par due 7/2025),8.50%,1/3/2017,2.7,2.7
9,"Carlyle Global Market Strategies CLO 2013-3, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($24.6 par due 7/2028),10.80%,1/3/2017,19.5,21.7
10,Cent CDO 12 Limited (9)(10),Investment vehicle,Subordinated notes ($26.4 par due 11/2020),10.00%,1/3/2017,18.4,17.7
11,Cent CLO 22 Limited (9)(10),Investment vehicle,Subordinated notes ($45.4 par due 11/2026),11.80%,1/3/2017,24.6,21.1
12,Cent CLO 24 Limited (9)(10),Investment vehicle,Subordinated notes ($28.0 par due 10/2026),8.50%,1/3/2017,21.9,21.7
13,Centurion CDO 8 Limited (9)(10),Investment vehicle,Subordinated notes ($5.0 par due 3/2019),0,1/3/2017,0.0,0.0
14,CoLTs 2005-1 Ltd. (8)(9)(10),Investment vehicle,Preferred shares (360 shares),0,1/3/2017,0.0,0.0
15,CoLTs 2005-2 Ltd. (8)(9)(10),Investment vehicle,"Preferred shares (34,170,000 shares)",0,1/3/2017,0.0,0.0
16,CREST Exeter Street Solar 2004-1 (9)(10),Investment vehicle,"Preferred shares (3,500,000 shares)",0,1/3/2017,0.0,0.0
17,Eaton Vance CDO X plc (9)(10),Investment vehicle,Subordinated notes ($15.0 par due 2/2027),10.00%,1/3/2017,4.3,5.5
18,European Capital UK SME Debt LP (8)(9)(10)(23),Investment partnership,Limited partnership interest (45% interest),0,1/3/2017,25.6,27.3
19,Flagship CLO V (9)(10),Investment vehicle,"Subordinated securities (15,000 shares)",0,1/3/2017,0.0,0.0
20,"GoldenTree Loan Opportunities VII, Limited (9)(10)",Investment vehicle,Subordinated notes ($35.3 par due 4/2025),9.00%,1/3/2017,20.4,21.0
21,Halcyon Loan Advisors Funding 2014-1 Ltd. (9)(10),Investment vehicle,Subordinated notes ($1.3 par due 4/2026),13.80%,1/3/2017,0.5,0.4
22,"Halcyon Loan Advisors Funding 2015-2, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($21.7 par due 7/2027),13.50%,1/3/2017,14.8,13.0
23,"HCI Equity, LLC (8)(9)(10)",Investment company,Member interest (100.00% interest),0,4/1/2010,0.0,0.1
24,Herbert Park B.V. (9)(10),Investment vehicle,Subordinated notes ($22.5 par due 10/2026),0,1/3/2017,2.7,0.0
25,"Imperial Capital Private Opportunities, LP (10)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,3.2,15.6
26,"LightPoint CLO VII, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($9.0 par due 5/2021),0,1/3/2017,0.0,0.0
27,"Montgomery Lane, LLC and Montgomery Lane, Ltd. (8)(9)(10)",Investment company,Common stock (100 shares),0,1/3/2017,0.0,0.6
28,"Montgomery Lane, LLC and Montgomery Lane, Ltd. (8)(9)(10)",Investment company,"Common stock (50,000 shares)",0,1/3/2017,0.0,0.0
29,NYLIM Flatiron CLO 2006-1 LTD. (9)(10),Investment vehicle,"Subordinated securities (10,000 shares)",0,1/3/2017,0.0,0.0
30,"Octagon Investment Partners XVIII, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($16.4 par due 12/2024),13.30%,1/3/2017,7.2,7.1
31,"Octagon Investment Partners XIX, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($25.0 par due 4/2026),11.50%,1/3/2017,11.5,12.0
32,"OHA Credit Partners XI, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($17.8 par due 10/2028),9.50%,1/3/2017,14.5,13.8
33,"Partnership Capital Growth Fund I, L.P. (10)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,0.0,0.1
34,"Partnership Capital Growth Investors III, L.P. (10)(23)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,2.5,3.5
35,"PCG-Ares Sidecar Investment II, L.P. (10)(23)",Investment partnership,Limited partnership interest (100.00% interest),0,10/31/2014,7.5,12.8
36,"PCG-Ares Sidecar Investment, L.P. (10)(23)",Investment partnership,Limited partnership interest (100.00% interest),0,5/22/2014,3.9,4.6
37,"Piper Jaffray Merchant Banking Fund I, L.P. (10)(23)",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,1.6,1.6
38,Qualium Investissement (9)(10),Investment partnership,"Class A common stock (99,000 shares)",0,1/3/2017,7.3,7.5
39,Qualium Investissement (9)(10),Investment partnership,"Class B common stock (100,000 shares)",0,1/3/2017,0.1,0.1
40,Qualium Investissement (9)(10),Investment partnership,"Class C common stock (48,939 shares)",0,1/3/2017,0.1,0.1
41,"Sapphire Valley CDO I, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($14.0 par due 12/2022),0,1/3/2017,0.0,0.0
42,"Senior Direct Lending Program, LLC (8)(10)(25)",Co-investment vehicle,Subordinated certificates ($393.9 par due 12/2036),9.15% (Libor + 8.00%/Q)(19),7/27/2016,393.9,393.9
43,"Senior Direct Lending Program, LLC (8)(10)(25)",Co-investment vehicle,Member interest (87.50% interest),0,7/27/2016,0.0,0.0
44,Senior Secured Loan Fund LLC (8)(11)(24),Co-investment vehicle,"Subordinated certificates ($2,004.0 par due 12/2024)",5.75% (18),10/30/2009,1938.4,1920.5
45,Senior Secured Loan Fund LLC (8)(11)(24),Co-investment vehicle,Member interest (87.50% interest),0,10/30/2009,0.0,0.0
46,"Vitesse CLO, Ltd. (9)(10)",Investment vehicle,"Preferred shares (20,000,000 shares)",0,1/3/2017,0.0,0.0
47,"Voya CLO 2014-4, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($26.7 par due 10/2026),10.00%,1/3/2017,17.6,17.6
48,VSC Investors LLC (10),Investment company,Membership interest (1.95% interest),0,1/24/2008,0.3,1.3
49,"Accruent, LLC and Athena Parent, Inc. (22)",Real estate and facilities management software provider,Second lien senior secured loan ($53.0 par due 11/2022),10.93% (Libor + 9.75%/Q),9/19/2016,53.0,53.0
50,"Accruent, LLC and Athena Parent, Inc. (22)",Real estate and facilities management software provider,Series A preferred stock (778 shares),0,9/19/2016,0.8,0.6
51,"Accruent, LLC and Athena Parent, Inc. (22)",Real estate and facilities management software provider,"Common stock (3,000 shares)",0,5/16/2016,3.0,2.3
52,Achilles Acquisition LLC (22),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured loan ($10.3 par due 6/2023),7.22% (Libor + 6.00%/Q),6/6/2017,10.3,10.2
