,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 units),0,9/7/2007,811,3561
1,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,487,838
2,"Dynamic India Fund IV, LLC (8)(9)",Investment company,Member interest (5.44% interest),0,4/1/2010,4822,2903
3,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,112,411
4,"Imperial Capital Private Opportunities, LP (9)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,5914,12548
5,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,1403,3631
6,"Partnership Capital Growth Investors III, L.P. (9)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,1843,1999
7,"Piper Jaffray Merchant Banking Fund I, L.P. (9)",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,828,767
8,Senior Secured Loan Fund LLC (7)(10),Co-investment vehicle,"Subordinated certificates ($1,814,766 par due 12/2024)",8.23% (Libor + 8.00%/Q)(26),10/30/2009,1814766,1841987
9,Senior Secured Loan Fund LLC (7)(10),Co-investment vehicle,Membership interest (87.50% interest),0,10/30/2009,0,0
10,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),0,1/24/2008,695,1267
11,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",0,12/13/2013,3087,2702
12,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),0,12/13/2013,3,27
13,"ATI Phyiscal Therapy Holdings, LLC",Outpatient rehabilitation services provider,"Class C common stock (51,005 shares)",0,12/13/2013,53,55
14,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"First lien senior secured loan ($4,430 par due 4/2019)",5.75% (Libor + 4.50%/Q),4/12/2013,4430,4430
15,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Preferred units (8,218,160 units)",0,4/12/2013,822,820
16,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Common units (83,010 units)",0,4/12/2013,8,7
17,"California Forensic Medical Group, Incorporated",Correctional facility healthcare operator,"First lien senior secured loan ($53,504 par due 11/2018)",9.25% (Libor + 8.00%/Q),11/16/2012,53504,53504
18,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",0,8/19/2010,602,1423
19,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,First lien senior secured revolving loan ($144 par due 10/2018),6.25% (Base Rate + 3.00%/Q),10/4/2013,144,144
20,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"Class A common stock (9,679 shares)",0,6/15/2007,2543,4449
21,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"Class C common stock (1,546 shares)",0,6/15/2007,0,711
22,"Dialysis Newco, Inc.",Dialysis provider,"First lien senior secured loan ($1,823 par due 8/2020)",5.25% (Libor + 4.25%/Q),8/16/2013,1823,1823
23,"Dialysis Newco, Inc.",Dialysis provider,"First lien senior secured loan ($13,676 par due 8/2020)",5.25% (Libor + 4.25%/Q),8/16/2013,13676,13676
24,"Dialysis Newco, Inc.",Dialysis provider,"Second lien senior secured loan ($56,500 par due 2/2021)",9.75% (Libor + 8.50%/Q),8/16/2013,56500,58195
25,"DNAnexus, Inc.",Bioinformatics company,"First lien senior secured loan ($5,000 par due 10/2017)",9.25%,3/21/2014,4752,5000
26,"DNAnexus, Inc.",Bioinformatics company,"Warrants to purchase up to 454,546 units of Series C preferred stock",0,3/21/2014,0,0
27,"Genocea Biosciences, Inc.",Vaccine discovery technology company,"First lien senior secured loan ($10,000 par due 4/2017)",8.00%,9/30/2013,9818,10000
28,"Genocea Biosciences, Inc.",Vaccine discovery technology company,"Common stock (34,500 shares)",0,9/30/2013,0,654
29,"GI Advo Opco, LLC",Residential behavioral treatment services provider,"First lien senior secured loan ($14,523 par due 6/2017)",6.00% (Libor + 4.75%/Q),12/13/2013,14922,14523
30,"GI Advo Opco, LLC",Residential behavioral treatment services provider,First lien senior secured loan ($280 par due 6/2017),7.00% (Base Rate + 3.75%/Q),12/13/2013,288,280
31,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,"First lien senior secured loan ($125,000 par due 3/2020)",10.00% (Libor + 9.00%/Q),3/11/2014,123835,125000
32,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,"Class A common stock (2,475 shares)",0,3/11/2014,2475,2475
33,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,Class B common stock (938 shares),0,3/11/2014,25,25
