,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,"AGILE Fund I, LLC (9)",Investment partnership,Member interest (0.50% interest),0,4/1/2010,113,21
1,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 units),0,9/7/2007,962,2908
2,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,826,936
3,"Dynamic India Fund IV, LLC (9)",Investment company,Member interest (5.44% interest),0,4/1/2010,4822,3228
4,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,182,350
5,"Imperial Capital Private Opportunities, LP (9)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,5731,12571
6,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,1424,3938
7,"Partnership Capital Growth Investors III, L.P. (9)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,2632,2610
8,"Piper Jaffray Merchant Banking Fund I, L.P. (9)",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,596,547
9,Senior Secured Loan Fund LLC (7)(10),Co-investment vehicle,"Subordinated certificates ($1,570,285 par due 12/2022)",8.27% (Libor + 8.00%/Q)(22),10/30/2009,1568578,1593839
10,Senior Secured Loan Fund LLC (7)(10),Co-investment vehicle,Membership interest (87.50% interest),0,10/30/2009,0,0
11,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),0,1/24/2008,619,1175
12,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"First lien senior secured loan ($7,453 par due 4/2019)",5.75% (Libor + 4.50%/Q),4/12/2013,7453,7453
13,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Preferred units (7,425,000 units)",0,4/12/2013,742,885
14,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Common units (75,000 units)",0,4/12/2013,7,9
15,"California Forensic Medical Group, Incorporated",Correctional facility healthcare operator,"First lien senior secured loan ($53,775 par due 11/2018)",9.25% (Libor + 8.00%/Q),11/16/2012,53775,53775
16,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",0,8/19/2010,602,1475
17,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"First lien senior secured loan ($5,102 par due 3/2017)",8.75% (Base Rate + 5.50%/M),3/15/2011,5102,5102
18,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"First lien senior secured loan ($4,837 par due 3/2017)",8.75% (Base Rate + 5.50%/M),3/15/2011,4837,4837
19,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"First lien senior secured loan ($2,348 par due 3/2017)",7.75% (Libor + 6.50%/M),3/15/2011,2348,2348
