,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,Fair  Value
2,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",Dental services provider,First lien senior secured loan ($9.2 par due 9/2022),11.00% PIK (Libor + 10.00%/Q),1/5/2016,9.2,9.2
3,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",Dental services provider,First lien senior secured loan ($16.4 par due 9/2022),11.00% PIK (Libor + 10.00%/Q),1/5/2016,16.4,16.4
4,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",Dental services provider,"Class A pref units (14,750,000 units)",0,1/5/2016,4.7,5.3
5,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",Dental services provider,"Common units (7,200,000 units)",0,1/5/2016,0.0,0.0
7,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",0,6/22/2017,0.1,0.0
8,"ADCS Billings Intermediate Holdings, LLC (15)",Dermatology practice,First lien senior secured revolving loan ($4.8 par due 5/2022),6.75% (Libor + 5.75%/Q),5/18/2016,4.8,4.7
9,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,First lien senior secured revolving loan ($7.7 par due 9/2022),"7.50% (Libor + 1.50% Cash, 2.75% PIK/M)",9/28/2016,7.7,6.9
10,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,Second lien senior secured loan ($103.3 par due 3/2024),0,9/28/2016,89.0,77.5
11,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,"Membership units (3,000,000 units)",0,9/28/2016,3.0,0.0
13,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($2.8 par due 9/2023),7.50% (Libor + 6.50%/Q),5/15/2017,2.8,2.3
14,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,Second lien senior secured loan ($210.3 par due 2/2027),8.65% (Libor + 8.50%/M),2/11/2019,210.3,210.3
15,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,"Senior preferred stock (121,810 shares)",11.28% PIK (Libor + 11.13%/Q),2/11/2019,149.4,149.4
