,Company(1),Industry,,Investment,Interest(5)(10),Acquisition  Date,,Amortized  Cost,Fair Value
0,"AGILE Fund I, LLC (7)(9)",Investment partnership,0,Member interest (0.50% interest),0,4/1/2010,0,264.0,150.0
1,"BB&T Capital Partners/Windsor Mezzanine Fund, LLC (6)(9)",Investment company,0,Member interest (32.59% interest),0,4/1/2010,0,10108.0,13976.0
2,Carador PLC (6)(8)(9)(16),Investment company,0,"Ordinary shares (7,110,525 shares)",0,12/15/2006,0,9033.0,6613.0
3,"CIC Flex, LP (9)",Investment partnership,0,Limited partnership units (0.94 unit),0,9/7/2007,0,2553.0,2499.0
4,"Covestia Capital Partners, LP (9)",Investment partnership,0,Limited partnership interest (47.00% interest),0,6/17/2008,0,1059.0,1041.0
5,"Dynamic India Fund IV, LLC (9)",Investment company,0,Member interest (5.44% interest),0,4/1/2010,0,4822.0,4728.0
6,Firstlight Financial Corporation (6)(9),Investment company,0,"Senior subordinated loan ($73,993 par due 12/2016)",1.00% PIK,12/31/2006,0,73708.0,56670.0
7,Firstlight Financial Corporation (6)(9),0,0,"Common stock (10,000 shares)",0,12/31/2006,0,10000.0,0.0
8,Firstlight Financial Corporation (6)(9),0,0,"Common stock (30,000 shares)",0,12/31/2006,0,30000.0,0.0
9,"HCI Equity, LLC (7)(8)(9)",Investment company,0,Member interest (100% interest),0,4/1/2010,0,808.0,943.0
10,"Imperial Capital Private Opportunities, LP (6)(9)",Investment partnership,0,Limited partnership interest (80% interest),0,5/10/2007,0,6643.0,5300.0
11,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,0,"Class B deferrable interest notes ($40,000 par due 11/2018)",6.25% (Libor + 6.00%/Q),11/20/2007,0,40000.0,37600.0
12,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",0,0,Subordinated notes ($16 par due 11/2018),15.50%,11/20/2007,0,15515.0,16000.0
13,Knightsbridge CLO 2007-1 Ltd. (7)(8)(9),Investment company,0,"Class E notes ($20,350 par due 1/2022)",9.30% (Libor + 9.00%/Q),3/24/2010,0,14852.0,17324.0
14,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),Investment company,0,"Class C notes ($14,400 par due 6/2018)",7.81% (Libor + 7.50%/Q),3/24/2010,0,14400.0,14400.0
15,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),0,0,"Class D notes ($9,000 par due 6/2018)",8.81% (Libor + 8.50%/Q),3/24/2010,0,9000.0,9000.0
16,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),0,0,"Class E notes ($14,850 par due 6/2018)",5.31% (Libor + 5.00%/Q),3/24/2010,0,13596.0,13634.0
17,"Kodiak Funding, LP (9)",Investment partnership,0,Limited partnership interest (1.52% interest),0,4/1/2010,0,905.0,788.0
18,"Novak Biddle Venture Partners III, L.P. (9)",Investment partnership,0,Limited partnership interest (2.47% interest),0,4/1/2010,0,221.0,265.0
19,"Partnership Capital Growth Fund I, LP (9)",Investment partnership,0,Limited partnership interest (25% interest),0,6/16/2006,0,2700.0,2697.0
20,Senior Secured Loan Fund LLC (7)(15)(17),Investment company,0,"Subordinated certificates ($671,435 par due 12/2015)",8.30% (Libor + 8.00%/Q),10/30/2009,0,660712.0,681255.0
21,"Trivergance Capital Partners, LP (9)",Investment partnership,0,Limited partnership interest (100% interest),0,6/5/2008,0,3586.0,0.0
22,VSC Investors LLC (9),Investment company,0,Membership interest (1.95% interest),0,1/24/2008,0,975.0,975.0
23,"Axium Healthcare Pharmacy, Inc.",Specialty pharmacy provider,0,"Senior subordinated loan ($3,160 par due 3/2015)",8.00%,4/1/2010,0,2926.0,3065.0
24,"CCS Group Holdings, LLC",Correctional facility healthcare operator,0,"Class A units (1,000,000 units)",0,8/19/2010,0,1000.0,1301.0
25,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC",Healthcare analysis services,0,"Senior secured loan ($4,967 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,0,4967.0,4967.0
26,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC",0,0,"Senior secured loan ($5,016 par due 3/2017)",7.75% (Libor + 6.50%/S ),3/15/2011,0,5016.0,5016.0
27,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC",0,0,"Senior secured loan ($5,016 par due 3/2017)",7.75% (Libor + 6.50%/M),3/15/2011,0,5016.0,5016.0
28,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC",0,0,"Common stock (9,679 shares)",0,6/15/2007,0,4000.0,9090.0
29,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC",0,0,"Common stock (1,546 shares)",0,6/15/2007,0,0.0,1452.0
30,DSI Renal Inc. (6),Dialysis provider,0,"Senior secured loan ($9,333 par due 3/2013)",8.50% (Libor + 6.50%/M),4/4/2006,0,9266.0,9333.0
31,DSI Renal Inc. (6),0,0,"Senior subordinated loan ($69,009 par due 4/2014)","6.00% Cash, 10.00% PIK",4/4/2006,0,68522.0,69011.0
32,DSI Renal Inc. (6),0,0,"Common units (19,726 units)",0,4/4/2006,0,19684.0,43125.0
33,"GG Merger Sub I, Inc.",Drug testing services,0,"Senior secured loan ($11,330 par due 12/2014)",4.31% (Libor + 4.00%/Q),12/14/2007,0,10966.0,11103.0
34,"GG Merger Sub I, Inc.",0,0,"Senior secured loan ($12,000 par due 12/2014)",4.31% (Libor + 4.00%/Q),12/14/2007,0,11609.0,11760.0
35,"HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,0,"Class A units (10,044,176 units)",0,6/26/2008,0,10044.0,4687.0
36,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,0,"Senior subordinated loan ($10,076 par due 9/2017)",13.50%,9/27/2010,0,10076.0,10076.0
37,"INC Research, Inc.",0,0,"Common stock (1,000,000 shares)",0,9/27/2010,0,1000.0,628.0
38,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,0,"Senior secured loan ($50,755 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/13/2010,0,50755.0,50755.0
39,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,0,"Senior secured loan ($48,119 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/13/2010,0,48119.0,48119.0
40,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,0,"Senior secured loan ($8,950 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/13/2010,0,8950.0,8950.0
41,"MWD Acquisition Sub, Inc.",Dental services,0,"Junior secured loan ($5,000 par due 5/2013)",8.50% (Base Rate + 5.25%/Q ),5/3/2007,0,5000.0,5000.0
42,"NS Merger Sub. Inc. and NS Holdings, Inc.",Healthcare technology provider,0,Senior subordinated loan ($579 par due 6/2017),13.50%,6/21/2010,0,579.0,579.0
43,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,0,"Senior subordinated loan ($50,000 par due 6/2017)",13.50%,6/21/2010,0,50000.0,50000.0
44,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,0,"Common stock (2,500,000 shares)",0,6/21/2010,0,2500.0,2525.0
45,OnCURE Medical Corp.,Radiation oncology care provider,0,"Common stock (857,143 shares)",0,8/18/2006,0,3000.0,2680.0
