,Industry,Company(1),Business Description,Investment,Interest(6)(12),Acquisition  Date,Amortized  Cost,Fair  Value
0,Investment Funds and Vehicles,"ACAS CLO 2007-1, Ltd. (8)(9)(10)",Investment vehicle,Subordinated notes ($25.9 par due 4/2021),,1/3/2017,0.0,0.0
1,Investment Funds and Vehicles,ACAS Equity Holdings Corporation (8)(10),Investment company,Common stock (589 shares),,1/3/2017,0.5,0.4
2,Investment Funds and Vehicles,Ares IIIR/IVR CLO Ltd. (9)(10),Investment vehicle,Subordinated notes ($20.0 par due 4/2021),10.80%,1/3/2017,5.7,5.4
3,Investment Funds and Vehicles,Babson CLO Ltd. 2006-II (9)(10),Investment vehicle,Income notes ($15.0 par due 10/2020),,1/3/2017,0.0,0.0
4,Investment Funds and Vehicles,Babson CLO Ltd. 2013-II (9)(10),Investment vehicle,Income notes ($5.0 par due 1/2025),10.00%,1/3/2017,3.1,3.1
5,Investment Funds and Vehicles,Babson CLO Ltd. 2014-I (9)(10),Investment vehicle,Subordinated notes ($8.5 par due 7/2025),13.20%,1/3/2017,4.7,5.1
6,Investment Funds and Vehicles,Babson CLO Ltd. 2014-II (9)(10),Investment vehicle,Subordinated notes ($25.0 par due 10/2026),19.00%,1/3/2017,12.9,14.3
7,Investment Funds and Vehicles,"Blue Hill CLO, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($23.1 par due 11/2023),16.00%,1/3/2017,7.7,8.2
8,Investment Funds and Vehicles,"Blue Hill CLO, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($0.3 par due 1/2026),44.70%,1/3/2017,0.0,0.1
9,Investment Funds and Vehicles,"Blue Wolf Capital Fund II, L.P. (9)(10)",Investment partnership,Limited partnership interest (8.50% interest),,1/3/2017,8.0,8.1
10,Investment Funds and Vehicles,"Carlyle Global Market Strategies CLO 2015-3, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($24.6 par due 7/2028),11.60%,1/3/2017,20.0,19.5
11,Investment Funds and Vehicles,"Carlyle Global Market Strategies CLO 2013-3, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($5.0 par due 7/2025),12.50%,1/3/2017,2.8,2.6
12,Investment Funds and Vehicles,Cent CDO 12 Limited (9)(10),Investment vehicle,Income notes ($26.4 par due 11/2020),10.00%,1/3/2017,27.3,26.4
13,Investment Funds and Vehicles,Cent CLO 22 Limited (9)(10),Investment vehicle,Subordinated notes ($45.4 par due 11/2026),10.30%,1/3/2017,25.2,23.4
14,Investment Funds and Vehicles,Cent CLO 24 Limited (9)(10),Investment vehicle,Subordinated notes ($28.0 par due 10/2026),10.30%,1/3/2017,22.0,21.4
15,Investment Funds and Vehicles,Centurion CDO 8 Limited (9)(10),Investment vehicle,Subordinated notes ($5.0 par due 3/2019),,1/3/2017,0.0,0.0
16,Investment Funds and Vehicles,CoLTs 2005-1 Ltd. (8)(9)(10),Investment vehicle,Preferred shares (360 shares),,1/3/2017,0.0,0.0
17,Investment Funds and Vehicles,CoLTs 2005-2 Ltd. (8)(9)(10),Investment vehicle,"Preferred shares (34,170,000 shares)",,1/3/2017,0.0,0.0
18,Investment Funds and Vehicles,CREST Exeter Street Solar 2004-1 (9)(10),Investment vehicle,"Preferred shares (3,500,000 shares)",,1/3/2017,0.0,0.0
19,Investment Funds and Vehicles,Eaton Vance CDO X plc (9)(10),Investment vehicle,Subordinated notes ($15.0 par due 2/2027),11.30%,1/3/2017,4.7,5.6
20,Investment Funds and Vehicles,European Capital UK SME Debt LP (8)(9)(10)(26),Investment partnership,Limited partnership interest (45% interest),,1/3/2017,28.1,30.5
21,Investment Funds and Vehicles,Flagship CLO V (9)(10),Investment vehicle,"Subordinated securities (15,000 shares)",,1/3/2017,0.0,0.0
22,Investment Funds and Vehicles,"GoldenTree Loan Opportunities VII, Limited (9)(10)",Investment vehicle,Subordinated notes ($35.3 par due 4/2025),11.50%,1/3/2017,21.6,21.6
23,Investment Funds and Vehicles,Halcyon Loan Advisors Funding 2014-1 Ltd. (9)(10),Investment vehicle,Subordinated notes ($1.3 par due 4/2026),19.00%,1/3/2017,0.5,0.5
24,Investment Funds and Vehicles,"Halcyon Loan Advisors Funding 2015-2, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($21.7 par due 7/2027),14.80%,1/3/2017,15.4,14.5
25,Investment Funds and Vehicles,"HCI Equity, LLC (8)(9)(10)",Investment company,Member interest (100.00% interest),,4/1/2010,0.0,0.1
26,Investment Funds and Vehicles,Herbert Park B.V. (9)(10),Investment vehicle,Subordinated notes ($24.0 par due 10/2026),13.80%,1/3/2017,19.8,19.7
27,Investment Funds and Vehicles,"Imperial Capital Private Opportunities, LP (10)",Investment partnership,Limited partnership interest (80.00% interest),,5/10/2007,4.1,16.4
28,Investment Funds and Vehicles,"LightPoint CLO VII, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($9.0 par due 5/2021),,1/3/2017,0.0,0.0
29,Investment Funds and Vehicles,"Montgomery Lane, LLC and Montgomery Lane, Ltd. (8)(9)(10)",Investment company,Common stock (100 shares),,1/3/2017,2.0,3.7
30,Investment Funds and Vehicles,"Montgomery Lane, LLC and Montgomery Lane, Ltd. (8)(9)(10)",Investment company,"Common stock (50,000 shares)",,1/3/2017,0.0,0.0
31,Investment Funds and Vehicles,NYLIM Flatiron CLO 2006-1 LTD. (9)(10),Investment vehicle,"Subordinated securities (10,000 shares)",,1/3/2017,0.0,0.0
32,Investment Funds and Vehicles,"Octagon Investment Partners XVIII, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($16.4 par due 12/2024),13.30%,1/3/2017,7.4,8.1
33,Investment Funds and Vehicles,"Octagon Investment Partners XIX, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($25.0 par due 4/2026),11.50%,1/3/2017,11.9,11.6
34,Investment Funds and Vehicles,"OHA Credit Partners XI, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($17.8 par due 10/2028),11.70%,1/3/2017,14.8,14.3
35,Investment Funds and Vehicles,"Partnership Capital Growth Fund I, L.P. (10)",Investment partnership,Limited partnership interest (25.00% interest),,6/16/2006,0.0,0.1
36,Investment Funds and Vehicles,"Partnership Capital Growth Investors III, L.P. (10)(26)",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,2.5,3.5
37,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment II, L.P. (10)(26)",Investment partnership,Limited partnership interest (100.00% interest),,10/31/2014,7.5,12.8
38,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment, L.P. (10)(26)",Investment partnership,Limited partnership interest (100.00% interest),,5/22/2014,4.1,4.1
39,Investment Funds and Vehicles,"Piper Jaffray Merchant Banking Fund I, L.P. (10)(26)",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,1.6,1.5
40,Investment Funds and Vehicles,Qualium Investissement (9)(10),Investment company,"Class A common stock (99,000 shares)",,1/3/2017,7.3,7.0
41,Investment Funds and Vehicles,Qualium Investissement (9)(10),Investment company,"Class B common stock (100,000 shares)",,1/3/2017,0.1,0.1
42,Investment Funds and Vehicles,Qualium Investissement (9)(10),Investment company,"Class C common stock (48,939 shares)",,1/3/2017,0.1,0.0
43,Investment Funds and Vehicles,"Sapphire Valley CDO I, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($14.0 par due 12/2022),,1/3/2017,0.0,0.0
44,Investment Funds and Vehicles,"Senior Direct Lending Program, LLC (8)(10)(28)",Co-investment vehicle,Subordinated certificates ($269.2 par due 12/2036),9.15% (Libor + 8.00%/Q)(22),7/27/2016,269.2,269.2
45,Investment Funds and Vehicles,"Senior Direct Lending Program, LLC (8)(10)(28)",Co-investment vehicle,Member interest (87.50% interest),,7/27/2016,0.0,0.0
46,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (8)(11)(27),Co-investment vehicle,"Subordinated certificates ($2,004.0 par due 12/2024)",6.50% (21),10/30/2009,1938.4,1919.1
47,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (8)(11)(27),Co-investment vehicle,Member interest (87.50% interest),,10/30/2009,0.0,0.0
48,Investment Funds and Vehicles,"Vitesse CLO, Ltd. (9)(10)",Investment vehicle,"Preferred shares (20,000,000 shares)",,1/3/2017,0.0,0.0
49,Investment Funds and Vehicles,"Voya CLO 2014-4, Ltd. (9)(10)",Investment vehicle,Subordinated notes ($26.7 par due 10/2026),12.50%,1/3/2017,18.1,17.2
50,Investment Funds and Vehicles,VSC Investors LLC (10),Investment company,Membership interest (1.95% interest),,1/24/2008,0.3,1.3
51,Investment Funds and Vehicles,VSC Investors LLC (10),Investment company,,,,2519.4,2520.5
52,Business Services,"Accruent, LLC and Athena Parent, Inc. (25)",Real estate and facilities management software provider,First lien senior secured revolving loan ($0.2 par due 5/2022),8.25% (Base Rate + 4.25%/Q),5/16/2016,0.2,0.2
53,Business Services,"Accruent, LLC and Athena Parent, Inc. (25)",Real estate and facilities management software provider,Second lien senior secured loan ($53.0 par due 11/2022),10.79% (Libor + 9.75%/Q),9/19/2016,53.0,53.0
54,Business Services,"Accruent, LLC and Athena Parent, Inc. (25)",Real estate and facilities management software provider,Series A preferred stock (778 shares),,9/19/2016,0.8,0.7
55,Business Services,"Accruent, LLC and Athena Parent, Inc. (25)",Real estate and facilities management software provider,"Common stock (3,000 shares)",,5/16/2016,3.0,2.9
56,Business Services,"Acrisure, LLC, Acrisure Investors FO, LLC and Acrisure Investors SO, LLC",Retail insurance advisor and brokerage,Second lien senior secured loan ($9.7 par due 11/2024),10.40% (Libor + 9.25%/Q),11/22/2016,9.7,9.7
57,Business Services,"Acrisure, LLC, Acrisure Investors FO, LLC and Acrisure Investors SO, LLC",Retail insurance advisor and brokerage,Second lien senior secured loan ($88.6 par due 11/2024),10.25% (Libor + 9.25%/Q),11/22/2016,88.6,88.6
58,Business Services,"Acrisure, LLC, Acrisure Investors FO, LLC and Acrisure Investors SO, LLC",Retail insurance advisor and brokerage,"Membership interests (8,502,697 units)",,11/18/2016,9.7,9.7
59,Business Services,"Acrisure, LLC, Acrisure Investors FO, LLC and Acrisure Investors SO, LLC",Retail insurance advisor and brokerage,"Membership interests (2,125,674 units)",,11/18/2016,2.4,2.4
60,Business Services,"BeyondTrust Software, Inc. (25)",Management software solutions provider,First lien senior secured loan ($29.5 par due 9/2019),8.00% (Libor + 7.00%/Q),1/3/2017,29.1,29.2
61,Business Services,"BluePay Processing, LLC",Payment processing solutions provider,Second lien senior secured loan ($32.8 par due 8/2022),9.54% (Libor + 8.50%/Q),1/3/2017,32.8,32.8
62,Business Services,Brandtone Holdings Limited (9),Mobile communications and marketing services provider,First lien senior secured loan ($4.7 par due 11/2018),,5/11/2015,4.5,0.0
63,Business Services,Brandtone Holdings Limited (9),Mobile communications and marketing services provider,First lien senior secured loan ($3.1 par due 2/2019),,5/11/2015,2.9,0.0
64,Business Services,Brandtone Holdings Limited (9),Mobile communications and marketing services provider,"Warrant to purchase up to 184,003 units of participating convertible preferred shares (expires 8/2026)",,5/11/2015,0.0,0.0
65,Business Services,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,Second lien senior secured loan ($1.7 par due 5/2018),10.55% (Libor + 9.50%/M),7/23/2014,1.7,1.7
66,Business Services,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,Second lien senior secured loan ($1.0 par due 8/2018),10.55% (Libor + 9.50%/M),7/23/2014,1.0,1.0
67,Business Services,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",,7/23/2014,0.0,0.0
68,Business Services,"Cast & Crew Payroll, LLC",Payroll and accounting services provider to the entertainment industry,Second lien senior secured loan ($26.7 par due 8/2023),8.90% (Libor + 7.75%/Q),1/3/2017,26.7,26.7
69,Business Services,"CIBT Investment Holdings, LLC",Expedited travel document processing services,"Class A shares (2,500 shares)",,12/15/2011,2.5,6.4
70,Business Services,"Clearwater Analytics, LLC (25)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software",First lien senior secured revolving loan ($1.2 par due 9/2022),8.50% (Libor + 7.50%/Q),9/1/2016,1.2,1.2
71,Business Services,"CMW Parent LLC (fka Black Arrow, Inc.)",Multiplatform media firm,Series A units (32 units),,9/11/2015,0.0,0.0
72,Business Services,"Columbo Midco Limited, Columbo Bidco Limited and Columbo Topco Limited (8)(9)","Compliance, accounting and tax consulting services provider","Preferred stock (34,028,135 shares)",,1/3/2017,2.3,2.6
73,Business Services,"Columbo Midco Limited, Columbo Bidco Limited and Columbo Topco Limited (8)(9)","Compliance, accounting and tax consulting services provider","Preferred stock (17,653,253 shares)",,1/3/2017,21.6,22.1
74,Business Services,"Columbo Midco Limited, Columbo Bidco Limited and Columbo Topco Limited (8)(9)","Compliance, accounting and tax consulting services provider","Preferred stock (3,232,666 shares)",,1/3/2017,4.0,4.1
75,Business Services,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,Second lien senior secured loan ($10.0 par due 8/2020),9.25% (Libor + 8.25%/Q),9/28/2012,10.0,10.0
76,Business Services,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,Second lien senior secured loan ($11.5 par due 8/2020),9.25% (Libor + 8.25%/Q),9/28/2012,11.5,11.5
