,Company(1),Industry,Investment,Interest(5)(10),Acquisition  Date,Amortized  Cost,Fair  Value
2,"AGILE  Fund I, LLC (7)",Investment partnership,Member interest (0.50%  interest),0,4/1/2010,264.0,217
3,"BB&T  Capital Partners/Windsor Mezzanine Fund, LLC (6)",Investment partnership,Member interest (32.59%  interest),0,4/1/2010,12877.0,15190
4,"Callidus  Debt Partners CDO Fund I, Ltd. (8)",Investment company,"Class C notes  ($18,800 par due 12/2013)",4.59%,4/1/2010,2518.0,1448
5,"Callidus  Debt Partners CDO Fund I, Ltd. (8)",Investment company,"Class D notes  ($9,400 par due 12/2013)",0,4/1/2010,0.0,0
7,"Callidus  Debt Partners CLO Fund III, Ltd. (8)",Investment company,"Preferred shares (23,600,000  shares )",9.05%,4/1/2010,4753.0,6874
8,"Callidus  Debt Partners CLO Fund IV, Ltd. (8)",Investment company,"Class D notes  ($3,000 par due 4/2020)",4.84% (Libor +  4.55%/Q),4/1/2010,1789.0,1741
9,"Callidus  Debt Partners CLO Fund IV, Ltd. (8)",Investment company,"Subordinated notes  ($17,500 par due 4/2020)",14.03%,4/1/2010,7216.0,10285
11,"Callidus  Debt Partners CLO Fund V, Ltd. (8)",Investment company,"Subordinated notes  ($14,150 par due 11/2020)",19.70%,4/1/2010,8692.0,11096
12,"Callidus  Debt Partners CLO Fund VI, Ltd. (8)",Investment company,"Class D notes  ($9,000 par due 10/2021)",6.29% (Libor +  6.00%/Q),4/1/2010,3962.0,4241
13,"Callidus  Debt Partners CLO Fund VI, Ltd. (8)",Investment company,"Subordinated notes  ($25,500 par due 10/2021)",18.39%,4/1/2010,11050.0,17101
15,"Callidus  Debt Partners CLO Fund VII, Ltd. (8)",Investment company,"Subordinated notes  ($28,000 par due 1/2021)",13.27%,4/1/2010,10374.0,15080
16,Callidus  MAPS CLO Fund I LLC,Investment company,"Class E notes  ($17,000 par due 12/2017)",5.80% (Libor +  5.53%/Q),4/1/2010,11679.0,11244
17,Callidus  MAPS CLO Fund I LLC,Investment company,"Subordinated Notes  ($47,900 par due 12/2017)",9.18%,4/1/2010,13419.0,17946
19,"Callidus  MAPS CLO Fund II, Ltd.",Investment company,"Class D notes  ($7,700 par due 7/2022)",4.54% (Libor +  4.25%/Q),4/1/2010,3324.0,4049
20,"Callidus  MAPS CLO Fund II, Ltd.",Investment company,"Subordinated notes  ($17,900 par due 7/2022)",19.30%,4/1/2010,8977.0,12906
22,"Catterton  Partners VI, L.P.",Investment partnership,Limited partnership  interest (0.50% interest),0,4/1/2010,1721.0,2226
23,"CIC  Flex, LP (9)",Investment partnership,Limited partnership  units (0.94 unit),0,9/7/2007,53.0,0
24,"Cortec  Group Fund IV, L.P.",Investment partnership,Limited partnership  interest (2.53% interest),0,4/1/2010,4628.0,4355
25,"Covestia  Capital Partners, LP (9)",Investment partnership,Limited partnership  interest (47.00% interest),0,6/17/2008,1059.0,982
26,Dryden  XVIII Leveraged Loan 2007 Limited (8),Investment company,"Class B notes  ($9,000 par due 10/2019)",4.79% (Libor +  4.50%/Q),4/1/2010,3753.0,3562
27,Dryden  XVIII Leveraged Loan 2007 Limited (8),Investment company,"Subordinated notes  ($21,164 par due 10/2019)",22.03%,4/1/2010,12715.0,16486
29,Dynamic  India Fund IV,Investment company,Member interest (5.44%  interest),0,4/1/2010,4822.0,4822
30,"Fidus  Mezzanine Capital, L.P.",Investment partnership,Limited partnership  interest (29.12% interest),0,4/1/2010,9206.0,9588
31,Firstlight  Financial Corporation (6)(9),Investment company,"Senior subordinated loan  ($73,625 par due 12/2016)",1.00% PIK,12/31/2006,73433.0,47857
32,Firstlight  Financial Corporation (6)(9),Investment company,"Common stock (10,000  shares )",0,12/31/2006,10000.0,0
33,Firstlight  Financial Corporation (6)(9),Investment company,"Common stock (30,000  shares )",0,12/31/2006,30000.0,0
35,"HCI Private  Equity Managers, LP (7) (8)",Investment company,Member interest (100%  interest),0,4/1/2010,808.0,973
36,"Ivy  Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,"Class B deferrable  interest notes ($40,000 par due 11/2018)",6.48% (Libor +  6.00%/Q),11/20/2007,15351.0,14737
37,"Ivy  Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,"Subordinated notes  ($15,351 par due 11/2018)",15.50%,11/20/2007,40000.0,37200
39,Knightsbridge  CLO 2007-1 Ltd. (7)(8),Investment company,"Class E notes  ($20,350 par due 1/2022)",9.29% (Libor +  9.00%/Q),3/24/2010,14852.0,11296
40,Knightsbridge  CLO 2008-1 Ltd. (7)(8),Investment company,"Class C notes  ($14,400 par due 6/2018)",7.79% (Libor +  7.50%/Q),3/24/2010,14400.0,14400
41,Knightsbridge  CLO 2008-1 Ltd. (7)(8),Investment company,"Class D notes  ($9,000 par due 6/2018)",8.79% (Libor +  8.50%/Q),3/24/2010,9000.0,9000
42,Knightsbridge  CLO 2008-1 Ltd. (7)(8),Investment company,"Class E notes  ($14,850 par due 6/2018)",5.29% (Libor +  5.00%/Q),3/24/2010,13596.0,9914
44,Kodiak  Fund LP,Investment partnership,Limited partnership  interest (1.52% interest),0,4/1/2010,932.0,784
