,Company(1),Business Description,Investment,Interest(5)(12),Acquisition  Date,Amortized  Cost,Fair Value
0,"AGILE Fund I, LLC (7)(9)",Investment partnership,Member interest (0.50% interest),0,4/1/2010,245.0,130
1,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 unit),0,9/7/2007,2533.0,3137
2,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,1059.0,1088
3,"Dynamic India Fund IV, LLC (9)",Investment company,Member interest (5.44% interest),0,4/1/2010,4822.0,4728
4,Firstlight Financial Corporation (6)(9),Investment company,"Senior subordinated loan ($71,363 par due 12/2016)",1.00% PIK,12/31/2006,71089.0,55918
5,Firstlight Financial Corporation (6)(9),0,"Class A common stock (10,000 shares)",0,12/31/2006,10000.0,0
6,Firstlight Financial Corporation (6)(9),0,"Class B common stock (30,000 shares)",0,12/31/2006,30000.0,0
7,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,808.0,715
8,"Imperial Capital Private Opportunities, LP (9)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,6643.0,5120
9,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,"Class B deferrable interest notes ($40,000 par due 11/2018)",6.25% (Libor + 6.00%/Q),11/20/2007,40000.0,37600
10,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",0,Subordinated notes ($16 par due 11/2018),15.00%,11/20/2007,15515.0,16000
11,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),Investment company,"Class C notes ($14,400 par due 6/2018)",7.75% (Libor + 7.50%/Q),3/24/2010,14400.0,14400
12,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),0,"Class D notes ($9,000 par due 6/2018)",8.75% (Libor + 8.50%/Q),3/24/2010,9000.0,9000
13,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),0,"Class E notes ($14,850 par due 6/2018)",5.25% (Libor + 5.00%/Q),3/24/2010,13596.0,13749
14,"Kodiak Funding, LP (9)",Investment partnership,Limited partnership interest (1.52% interest),0,4/1/2010,877.0,823
15,"Novak Biddle Venture Partners III, L.P. (9)",Investment partnership,Limited partnership interest (2.47% interest),0,4/1/2010,221.0,196
16,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,2126.0,4006
17,Senior Secured Loan Fund LLC (7)(11)(17),Co-investment vehicle,"Subordinated certificates ($788,128 par due 12/2020)",8.29% (Libor + 8.00%/Q),10/30/2009,777406.0,796513
18,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),0,1/24/2008,1139.0,1139
19,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",0,8/19/2010,602.0,936
20,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Senior secured loan ($7,263 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7263.0,6900
21,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",0,"Senior secured loan ($7,661 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7661.0,7278
22,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",0,"Class A common stock (9,679 shares)",0,6/15/2007,4000.0,9337
23,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",0,"Class C common stock (1,546 shares)",0,6/15/2007,0.0,1491
24,"HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Class A units (10,720,874 units)",0,6/26/2008,10721.0,4437
25,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",0,9/27/2010,1512.0,1101
26,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($12,973 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/15/2010,12973.0,12973
27,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($45,570 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/15/2010,45570.0,45570
28,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($8,476 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/15/2010,8476.0,8476
29,MW Dental Holding Corp.,Dental services,"Senior secured revolving loan ($1,700 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,1700.0,1649
30,MW Dental Holding Corp.,0,"Senior secured loan ($30,723 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,30723.0,29801
31,MW Dental Holding Corp.,0,"Senior secured loan ($49,875 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,49875.0,48379
32,MW Dental Holding Corp.,0,"Senior secured loan ($2,693 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,2693.0,2612
33,Napa Management Services Corporation,Anesthesia management services provider,"Senior secured loan ($10,961 par due 4/2016)",8.50% (Libor + 7.00%/Q),4/15/2011,10605.0,10961
34,Napa Management Services Corporation,0,"Senior secured loan ($29,625 par due 4/2016)",8.50% (Libor + 7.00%/Q),4/15/2011,29625.0,29625
