,Industry,Company(1),Business Description,Investment,Interest(5)(11),Acquisition  Date,Amortized  Cost,Fair Value
0,Investment Funds and Vehicles,"AGILE Fund I, LLC (9)",Investment partnership,Member interest (0.50% interest),,4/1/2010,113.0,21
1,Investment Funds and Vehicles,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 units),,9/7/2007,962.0,2908
2,Investment Funds and Vehicles,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),,6/17/2008,826.0,936
3,Investment Funds and Vehicles,"Dynamic India Fund IV, LLC (9)",Investment company,Member interest (5.44% interest),,4/1/2010,4822.0,3228
4,Investment Funds and Vehicles,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),,4/1/2010,182.0,350
5,Investment Funds and Vehicles,"Imperial Capital Private Opportunities, LP (9)",Investment partnership,Limited partnership interest (80.00% interest),,5/10/2007,5731.0,12571
6,Investment Funds and Vehicles,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),,6/16/2006,1424.0,3938
7,Investment Funds and Vehicles,"Partnership Capital Growth Investors III, L.P. (9)",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,2632.0,2610
8,Investment Funds and Vehicles,"Piper Jaffray Merchant Banking Fund I, L.P. (9)",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,596.0,547
9,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (7)(10),Co-investment vehicle,"Subordinated certificates ($1,570,285 par due 12/2022)",8.27% (Libor + 8.00%/Q)(22),10/30/2009,1568578.0,1593839
10,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (7)(10),,Membership interest (87.50% interest),,10/30/2009,0.0,0
11,Investment Funds and Vehicles,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),,1/24/2008,619.0,1175
12,Investment Funds and Vehicles,VSC Investors LLC (9),,,,,1586485.0,1622123
13,Healthcare-Services,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"First lien senior secured loan ($7,453 par due 4/2019)",5.75% (Libor + 4.50%/Q),4/12/2013,7453.0,7453
14,Healthcare-Services,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",,"Preferred units (7,425,000 units)",,4/12/2013,742.0,885
15,Healthcare-Services,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",,"Common units (75,000 units)",,4/12/2013,7.0,9
16,Healthcare-Services,"California Forensic Medical Group, Incorporated",Correctional facility healthcare operator,"First lien senior secured loan ($53,775 par due 11/2018)",9.25% (Libor + 8.00%/Q),11/16/2012,53775.0,53775
17,Healthcare-Services,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",,8/19/2010,602.0,1475
18,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"First lien senior secured loan ($5,102 par due 3/2017)",8.75% (Base Rate + 5.50%/M),3/15/2011,5102.0,5102
19,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",,"First lien senior secured loan ($4,837 par due 3/2017)",8.75% (Base Rate + 5.50%/M),3/15/2011,4837.0,4837
20,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",,"First lien senior secured loan ($2,348 par due 3/2017)",7.75% (Libor + 6.50%/M),3/15/2011,2348.0,2348
21,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",,"First lien senior secured loan ($2,226 par due 3/2017)",7.75% (Libor + 6.50%/M),3/15/2011,2226.0,2226
22,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",,"Class A common stock (9,679 shares)",,6/15/2007,4000.0,6448
23,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",,"Class C common stock (1,546 shares)",,6/15/2007,0.0,1778
24,Healthcare-Services,"Dialysis Newco, Inc.",Dialysis provider,"First lien senior secured loan ($27,245 par due 8/2020)",6.50% (Base Rate + 3.25%/Q),8/16/2013,27245.0,27245
25,Healthcare-Services,"Dialysis Newco, Inc.",,"Second lien senior secured loan ($56,500 par due 2/2021)",9.75% (Libor + 8.50%/Q),8/16/2013,56500.0,56500
26,Healthcare-Services,"Genocea Biosciences, Inc.",Vaccine discovery technology company,"First lien senior secured loan ($3,500 par due 4/2017)",8.00%,9/30/2013,3430.0,3500
27,Healthcare-Services,"Genocea Biosciences, Inc.",,"Warrant to purchase up to 689,655 shares of Series C convertible preferred stock",,9/30/2013,0.0,0
28,Healthcare-Services,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",,9/27/2010,1512.0,1381
29,Healthcare-Services,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Second lien senior secured loan ($112,000 par due 6/2019)",10.25% (Libor + 9.00%/Q),12/27/2012,112000.0,112000
