,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
2,,Investments,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,
6,,NTS Technical Systems*#~^,Senior loan,,L + 5.50%,(c),,6.50%,,06/2023,,,"40,274",,,,"40,056",,,1.6,%,,"40,274",,,,
7,,NTS Technical Systems~,Second lien,,L + 9.75%,(c),,10.75%,,12/2023,,"4,589",,,"4,517",,,0.2,,"4,589",,,,,,,
8,,NTS Technical Systems+(5),Senior loan,,L + 5.50%,,,N/A(6),,06/2023,,0,,,(30),,,0,,0,,,,,,,
9,,NTS Technical Systems+(5),Senior loan,,L + 5.50%,,,N/A(6),,06/2023,,0,,,(60),,,0,,0,,,,,,,
10,,"Tronair Parent, Inc.+",Senior loan,,L + 5.75%,(e),,6.75%,,09/2023,,680,,,676,,,0,,606,,,,,,,
11,,"Tronair Parent, Inc.+",Senior loan,,L + 5.75%,(c),,5.91%,,06/2023,,76,,,73,,,0,,62,,,,,,,
12,,Whitcraft LLC*#+~,One stop,,L + 6.00%,(c),,7.00%,,04/2023,,"63,413",,,"63,691",,,2.4,,"61,512",,,,,,,
13,,Whitcraft LLC+(5),One stop,,L + 6.00%,,,N/A(6),,04/2023,,0,,,(1),,,0,,(9),,,,,,,
15,,,,,,,,,,,,"109,032",,,"108,922",,,4.2,,"107,034",,,,,,,
16,,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Aurora Lux Finco S.A.R.L.+(8)(13),One stop,,L + 6.00%,(c),,7.00%,,12/2026,,987,,,969,,,0,,938,,,,,,,
19,,Auto Components,,,,,,,,,,,,,,,,,,,,,,,,,
20,,"North Haven Falcon Buyer, LLC",One stop,,L + 6.00%,(c),,7.00%,,05/2027,,"6,176",,,"6,055",,,0.2,,"6,114",,,,,,,
21,,"North Haven Falcon Buyer, LLC+(5)",One stop,,L + 6.00%,,,N/A(6),,05/2027,,0,,,(20),,,0,,(20),,,,,,,
22,,Polk Acquisition Corp.*#+,Senior loan,,L + 6.00%,(a),,7.00%,,12/2023,,"18,153",,,"18,032",,,0.7,,"18,153",,,,,,,
23,,Polk Acquisition Corp.+,Senior loan,,L + 6.00%,(a),,7.00%,,12/2023,,107,,,105,,,0,,107,,,,,,,
24,,Polk Acquisition Corp.+,Senior loan,,L + 6.00%,(a),,7.00%,,12/2023,,71,,,70,,,0,,71,,,,,,,
25,,"Power Stop, LLC+~",Senior loan,,L + 4.50%,(a),,4.60%,,10/2025,,"2,821",,,"2,866",,,0.1,,"2,821",,,,,,,
26,,,,,,,,,,,,"27,328",,,"27,108",,,1.0,,,"27,246",,,,,,
27,,Automobiles,,,,,,,,,,,,,,,,,,,,,,,,,
28,,JHCC Holdings LLC,One stop,,L + 5.50%,(c),,6.50%,,09/2025,,"15,512",,,"15,295",,,0.6,,"15,512",,,,,,,
29,,JHCC Holdings LLC+,One stop,,L + 5.50%,(c),,6.50%,,09/2025,,205,,,203,,,0.1,,205,,,,,,,
30,,JHCC Holdings LLC+,One stop,,P + 4.50%,(c)(f),,6.85%,,09/2025,,36,,,35,,,0.1,,36,,,,,,,
31,,"MOP GM Holding, LLC*#~^",One stop,,L + 5.75%,(c),,6.75%,,11/2026,,"24,283",,,"24,008",,,1.0,,"24,283",,,,,,,
32,,"MOP GM Holding, LLC+",One stop,,L + 5.75%,(d),,6.75%,,11/2026,,"2,611",,,"2,581",,,0.1,,"2,611",,,,,,,
33,,"MOP GM Holding, LLC+",One stop,,L + 5.75%,(c)(d),,6.75%,,11/2026,,"1,930",,,"1,908",,,0.1,,"1,930",,,,,,,
34,,"MOP GM Holding, LLC+(5)",One stop,,L + 5.75%,,,N/A(6),,11/2026,,0,,,(2),,,0,,0,,,,,,,
35,,"Quick Quack Car Wash Holdings, LLC*#",One stop,,L + 6.50%,(c),,7.50%,,10/2024,,"12,983",,,"12,997",,,0.6,,"12,983",,,,,,,
36,,"Quick Quack Car Wash Holdings, LLC+",One stop,,L + 6.50%,(c),,7.50%,,10/2024,,"3,202",,,"3,127",,,0.1,,"3,202",,,,,,,
37,,"Quick Quack Car Wash Holdings, LLC#+",One stop,,L + 6.50%,(c),,7.50%,,10/2024,,"2,343",,,"2,322",,,0.1,,"2,343",,,,,,,
38,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,L + 6.50%,(c),,7.50%,,10/2024,,"2,046",,,"2,083",,,0.1,,"2,046",,,,,,,
39,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,L + 6.50%,(c),,7.50%,,10/2024,,"1,368",,,"1,392",,,0.1,,"1,368",,,,,,,
40,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,L + 6.50%,(c),,7.50%,,10/2024,,"1,113",,,"1,149",,,0.1,,"1,113",,,,,,,
41,,"Quick Quack Car Wash Holdings, LLC+",One stop,,L + 6.50%,(c),,7.50%,,10/2024,,30,,,30,,,0.1,,30,,,,,,,
42,,"TWAS Holdings, LLC*+^",One stop,,L + 6.75%,(c),,7.75%,,12/2026,,"30,955",,,"30,600",,,1.2,,"30,955",,,,,,,
43,,"TWAS Holdings, LLC+",One stop,,L + 6.75%,(c),,7.75%,,12/2026,,"4,021",,,"3,935",,,0.2,,"4,021",,,,,,,
44,,"TWAS Holdings, LLC+(5)",One stop,,L + 6.75%,,,N/A(6),,12/2026,,0,,,(4),,,0,,0,,,,,,,
45,,,,,,,,,,,,"102,638",,,"101,659",,,4.6,,"102,638",,,,,,,
47,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
48,,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,
49,,"Abita Brewing Co., L.L.C.+",One stop,,L + 6.25%,(a),,7.25%,,04/2024,,,"7,045",,,,"7,038",,,0.3,%,,"7,045",,,,
50,,"Abita Brewing Co., L.L.C.+",Second lien,,L + 8.00%,(d),,9.00%,,04/2024,,"3,321",,,"3,309",,,0.1,,"2,657",,,,,,,
51,,"Abita Brewing Co., L.L.C.+",One stop,,L + 6.25%,,,N/A(6),,04/2024,,0,,,0,,,0,,0,,,,,,,
52,,"Fintech Midco, LLC*#",One stop,,L + 5.00%,(c),,6.00%,,08/2024,,"24,225",,,"24,504",,,1.0,,"24,225",,,,,,,
53,,"Fintech Midco, LLC#+",One stop,,L + 5.00%,(c),,6.00%,,08/2024,,"1,122",,,"1,153",,,0.1,,"1,122",,,,,,,
54,,"Fintech Midco, LLC+(5)",One stop,,L + 5.00%,,,N/A(6),,08/2024,,0,,,(1),,,0,,0,,,,,,,
55,,"Watermill Express, LLC+",One stop,,L + 5.75%,(c),,6.75%,,04/2027,,"2,273",,,"2,251",,,0.1,,"2,227",,,,,,,
56,,"Watermill Express, LLC+",One stop,,L + 5.75%,,,N/A(6),,04/2027,,0,,,0,,,0,,0,,,,,,,
57,,"Watermill Express, LLC+(5)",One stop,,L + 5.75%,,,N/A(6),,04/2027,,0,,,(1),,,0,,(4),,,,,,,
58,,"Winebow Holdings, Inc.",One stop,,L + 6.25%,(a),,7.25%,,07/2025,,"7,898",,,"7,785",,,0.3,,"7,780",,,,,,,
59,,,,,,,,,,,,"45,884",,,"46,038",,,1.9,,"45,052",,,,,,,
60,,Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,
61,,"BIO18 Borrower, LLC#+",One stop,,L + 4.75%,(a),,5.75%,,11/2024,,"10,991",,,"11,021",,,0.4,,"10,991",,,,,,,
62,,"BIO18 Borrower, LLC*#+",One stop,,L + 4.75%,(a),,5.75%,,11/2024,,"3,934",,,"3,905",,,0.2,,"3,934",,,,,,,
63,,"BIO18 Borrower, LLC+",One stop,,L + 4.75%,(a),,5.75%,,11/2024,,210,,,210,,,0.1,,210,,,,,,,
64,,,,,,,,,,,,"15,135",,,"15,136",,,0.7,,"15,135",,,,,,,
65,,Building Products,,,,,,,,,,,,,,,,,,,,,,,,,
