,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,
1,Investments,,,,,,,,,,,,,,,,,,,,,,,,
2,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,,
3,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,
4,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,
5,"ILC Dover, LP  #+!~",Senior loan,,L + 4.75,(a),,6.55,,12/2023,,,6600,,,,6568,,,0.3,,,,6600,,
6,NTS Technical Systems  ^*#+!~,One stop,,L + 6.25,(a),,7.94,,06/2021,,25584,,,25550,,,1.1,,,25584,,,,,
7,NTS Technical Systems  #+!~,One stop,,L + 6.25,(a),,7.94,,06/2021,,4199,,,4192,,,0.2,,,4199,,,,,
8,NTS Technical Systems  (5),One stop,,L + 6.25,,,N/A  (6),,06/2021,,-,,,(34,,,-,,,-,,,,,
9,"Tronair Parent, Inc.  ^+",Senior loan,,L + 4.75,(c),,6.93,,09/2023,,726,,,717,,,-,,,681,,,,,
10,"Tronair Parent, Inc.",Senior loan,,L + 4.50,(c)(f),,6.68,,09/2021,,160,,,158,,,-,,,148,,,,,
11,Whitcraft LLC  ^*+,One stop,,L + 5.50,(c),,7.44,,04/2023,,41993,,,42925,,,1.9,,,41993,,,,,
12,Whitcraft LLC,One stop,,L + 5.50,(c),,7.44,,04/2023,,8280,,,8210,,,0.4,,,8280,,,,,
13,Whitcraft LLC,One stop,,L + 5.50,(c),,7.44,,04/2023,,4527,,,4524,,,0.2,,,4527,,,,,
14,Whitcraft LLC  +,One stop,,L + 5.50,(c),,7.44,,04/2023,,1000,,,990,,,0.1,,,1000,,,,,
15,Whitcraft LLC,One stop,,P + 4.50,(f),,9.25,,04/2023,,70,,,69,,,-,,,70,,,,,
16,,,,,,,,,,,93139,,,93869,,,4.2,,,93082,,,,,
17,Automobile,,,,,,,,,,,,,,,,,,,,,,,,
18,Dent Wizard International Corporation  #+!~,Senior loan,,L + 4.00,(a),,5.80,,04/2022,,12307,,,12452,,,0.6,,,12307,,,,,
19,"Grease Monkey International, LLC  ^*",Senior loan,,L + 5.00,(a),,6.80,,11/2022,,7814,,,7904,,,0.3,,,7735,,,,,
20,"Grease Monkey International, LLC  #!~",Senior loan,,L + 5.00,(a),,6.80,,11/2022,,2388,,,2480,,,0.1,,,2364,,,,,
21,"Grease Monkey International, LLC  #!~",Senior loan,,L + 5.00,(a),,6.80,,11/2022,,1212,,,1260,,,0.1,,,1200,,,,,
22,"Grease Monkey International, LLC  #+!~",Senior loan,,L + 5.00,(a),,6.80,,11/2022,,1097,,,1138,,,0.1,,,1086,,,,,
23,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(a),,6.80,,11/2022,,685,,,688,,,-,,,675,,,,,
24,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(a),,6.80,,11/2022,,110,,,111,,,-,,,108,,,,,
25,JHCC Holdings LLC,One stop,,L + 5.50,(a),,7.21,,09/2025,,15749,,,15450,,,0.7,,,15749,,,,,
26,JHCC Holdings LLC,One stop,,P + 4.50,(f),,9.25,,09/2025,,36,,,35,,,-,,,36,,,,,
27,JHCC Holdings LLC  (5),One stop,,L + 5.50,,,N/A  (6),,09/2025,,-,,,(3,,,-,,,-,,,,,
