,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,"September 30, 2013",,"September 30, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Investments, at fair value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Non-controlled/non-affiliate company investments,,,1011586,,,,665408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Non-controlled affiliate company investments,,,8225,,,,7502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Controlled affiliate company investments,,,4834,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Total investments at fair value (cost of $1,017,961 and $669,841, respectively)",,,1024645,,,,672910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cash and cash equivalents,,,16309,,,,13891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Restricted cash and cash equivalents,,,38408,,,,37036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Interest receivable,,,4316,,,,3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Deferred financing costs,,,7742,,,,5898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Other assets,,,236,,,,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Total Assets,,,1091656,,,,734096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Debt,,,412100,,,,352300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Secured borrowings, at fair value (proceeds of $8,683 and  $0, respectively)",,,8809,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Interest payable,,,1277,,,,1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Management and incentive fees payable,,,5579,,,,4203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Payable for open trades,,,3677,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Accounts payable and accrued expenses,,,1978,,,,1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Total Liabilities,,,433420,,,,358967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Preferred stock, par value $0.001 per share, 1,000,000 shares authorized, zero shares issued and outstanding as of September 30, 2013 and September 30, 2012",,,-,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Common stock, par value $0.001 per share, 100,000,000 shares authorized, 43,282,932 and 25,688,101 shares issued and outstanding as of September 30, 2013 and September 30, 2012, respectively",,,43,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Paid in capital in excess of par,,,652669,,,,375563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Undistributed net investment income,,,2725,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Net unrealized appreciation on investments and derivative instruments,,,9225,,,,5737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Net realized loss on investments and derivative instruments,,,"(6,426",,,,"(6,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Total Net Assets,,,658236,,,,375129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Total Liabilities and Total Net Assets,,,1091656,,,,734096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Number of common shares outstanding,,,43282932,,,,25688101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Net asset value per common share,,,15.21,,,,14.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount,,Cost,,Percentage of Net Assets,,Fair Value,,,,,,,,,,,,,,,,,,,,,,,,
33,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Leisure, Amusement, Motion Pictures, Entertainment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Extreme Fitness,  Inc.  (3)(8)",,,Subordinated debt,,,,No Value,,,,12.00 cash/  2.50 PIK,,,,11/2015,,,,2842,,,,2810,,,,-,,,,-,,,,,,,,,
38,Total Canada,,,,,,,,,,,,,,,,,,,2842,,,,2810,,,,-,,,,-,,,,,,,,,
39,Fair Value as percentage of Principal Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
40,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"ILC Dover, LP",,,Senior loan,,,,L + 6.00,,,,7.25,,,,07/2017,,,,606,,,,601,,,,0.1,,,,594,,,,,,,,,
44,"ILC Dover, LP",,,Senior loan,,,,P + 5.00,,,,8.25,,,,07/2017,,,,148,,,,141,,,,-,,,,139,,,,,,,,,
45,"ILC Dover, LP",,,Senior loan,,,,L + 6.00,,,,7.25,,,,07/2017,,,,4352,,,,4286,,,,0.6,,,,4265,,,,,,,,,
46,"Tresys Technology Holdings, Inc.  (4)",,,One stop,,,,L + 6.75,,,,No Value,(5),,,12/2017,,,,-,,,,(8,,,,-,,,,(34,,,,,,,,,
47,"Tresys Technology Holdings, Inc.",,,One stop,,,,L + 6.75,,,,8.00,,,,12/2017,,,,3975,,,,3891,,,,0.6,,,,3776,,,,,,,,,
48,TurboCombustor Technology Inc.*,,,Senior loan,,,,L + 4.75,,,,5.75,,,,12/2017,,,,381,,,,379,,,,0.1,,,,381,,,,,,,,,
49,TurboCombustor Technology Inc.*,,,Senior loan,,,,L + 5.00,,,,6.00,,,,12/2017,,,,895,,,,892,,,,0.1,,,,895,,,,,,,,,
50,Whitcraft LLC,,,Subordinated debt,,,,No Value,,,,12.00,,,,12/2018,,,,1877,,,,1853,,,,0.3,,,,1877,,,,,,,,,
51,"White Oak Technologies, Inc.  (4)",,,Senior loan,,,,L + 5.00,,,,No Value,(5),,,03/2017,,,,-,,,,(9,,,,-,,,,-,,,,,,,,,
52,"White Oak Technologies, Inc.*",,,Senior loan,,,,L + 5.00,,,,6.25,,,,03/2017,,,,1833,,,,1797,,,,0.3,,,,1833,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,14067,,,,13823,,,,2.1,,,,13726,,,,,,,,,
54,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"ABRA, Inc.  (9)",,,One stop,,,,P + 4.50,,,,7.75,,,,05/2018,,,,841,,,,821,,,,0.1,,,,841,,,,,,,,,
56,"ABRA, Inc.*  (9)",,,One stop,,,,L + 5.75,,,,7.00,,,,05/2018,,,,26372,,,,26189,,,,4.0,,,,26372,,,,,,,,,
57,"ABRA, Inc.*  (4),(9)",,,One stop,,,,L + 5.75,,,,No Value,(5),,,05/2018,,,,-,,,,(12,,,,-,,,,-,,,,,,,,,
58,"ABRA, Inc.  (4),(9)",,,One stop,,,,L + 5.75,,,,No Value,(5),,,05/2018,,,,-,,,,(48,,,,-,,,,-,,,,,,,,,
59,"American Driveline Systems, Inc.",,,Senior loan,,,,P + 6.50,,,,9.75,,,,01/2016,,,,391,,,,386,,,,0.1,,,,352,,,,,,,,,
60,"American Driveline Systems, Inc.*",,,Senior loan,,,,P + 6.50,,,,9.75,,,,01/2016,,,,2826,,,,2793,,,,0.4,,,,2543,,,,,,,,,
61,"Express Oil Change,  LLC",,,Senior loan,,,,P + 3.50,,,,6.75,,,,12/2017,,,,116,,,,112,,,,-,,,,116,,,,,,,,,
62,"Express Oil Change,  LLC",,,Senior loan,,,,P + 3.50,,,,6.75,,,,12/2017,,,,181,,,,178,,,,-,,,,181,,,,,,,,,
63,"Express Oil Change, LLC*",,,Senior loan,,,,P + 3.50,,,,6.75,,,,12/2017,,,,1818,,,,1803,,,,0.3,,,,1818,,,,,,,,,
64,"K&N Engineering,  Inc.  (4)",,,Senior loan,,,,L + 4.50,,,,No Value,(5),,,04/2018,,,,-,,,,(7,,,,-,,,,-,,,,,,,,,
65,"K&N Engineering,  Inc.*",,,Senior loan,,,,L + 4.50,,,,5.75,,,,04/2018,,,,7279,,,,7179,,,,1.1,,,,7279,,,,,,,,,
66,"Take 5 Oil Change, L.L.C.",,,Senior loan,,,,L + 5.25,,,,6.25,,,,07/2018,,,,118,,,,114,,,,-,,,,114,,,,,,,,,
67,"Take 5 Oil Change, L.L.C.",,,Senior loan,,,,L + 5.25,,,,6.25,,,,07/2018,,,,2978,,,,2957,,,,0.5,,,,2956,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,42920,,,,42465,,,,6.5,,,,42572,,,,,,,,,
69,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Prommis Fin Co.*  (3),,,Senior loan,,,,P + 10.50,,,,2.25 cash/  11.50 PIK,,,,06/2015,,,,146,,,,145,,,,-,,,,40,,,,,,,,,
71,Prommis Fin Co.,,,Senior loan,,,,P + 11.00,,,,13.25,,,,06/2015,,,,98,,,,98,,,,-,,,,23,,,,,,,,,
72,Prommis Fin Co.*  (3),,,Second lien,,,,P + 10.50,,,,2.25 cash/  11.50 PIK,,,,06/2015,,,,384,,,,382,,,,-,,,,-,,,,,,,,,
