,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,NTS Technical Systems*#+~,Senior loan,,L + 5.50,(c),,6.50,,06/2023,,,40072,,,,39910,,,1.5,,,40072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,NTS Technical Systems~,Second lien,,L + 9.75,(c),,10.75,,12/2023,,4589,,,4532,,,0.2,,4589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,NTS Technical Systems+,Senior loan,,L + 5.50,(c),,6.50,,06/2023,,3091,,,3047,,,0.1,,3091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
8,,NTS Technical Systems+(5),Senior loan,,L + 5.50,,,N/A(6),,06/2023,,0,,,(22),,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"Tronair Parent, Inc.+",Senior loan,,L + 6.25,(c),,6.75 cash/0.50 PIK,,09/2023,,682,,,678,,,0,,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,"Tronair Parent, Inc.+",Senior loan,,L + 6.25,(c),,6.75 cash/0.50 PIK,,06/2023,,32,,,30,,,0,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Whitcraft LLC*#+~,One stop,,L + 6.00,(c),,7.00,,04/2023,,63091,,,63292,,,2.4,,61198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Whitcraft LLC+(5),One stop,,L + 6.00,,,N/A(6),,04/2023,,0,,,(1),,,0,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,111557,,,111466,,,4.2,,109563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Aurora Lux Finco S.A.R.L.+(8)(13),One stop,,L + 6.00,(c),,7.00,,12/2026,,982,,,966,,,0,,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Auto Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
