,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,
1,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,,,,,
2,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net  Assets,,,Value,,,,,,,,,,
3,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"ILC Dover, LP",,One stop,,P + 6.00,,,9.25,,,03/2019,,,721,,,,708,,,,0.1,,,,637,,,,,
8,"ILC Dover, LP*^",,One stop,,L + 7.00,,,8.00,,,03/2020,,,18241,,,,18047,,,,2.1,,,,16964,,,,,
9,"ILC Industries, Inc.  (3)",,One stop,,L + 4.75,,,No Value,(4),,07/2020,,,-,,,,(24,,,,-,,,,-,,,,,
10,"ILC Industries, Inc.*^",,One stop,,L + 4.75,,,5.75,,,07/2020,,,18036,,,,17863,,,,2.2,,,,18036,,,,,
11,NTS Technical Systems  (3),,One stop,,L + 6.00,,,No Value,(4),,06/2021,,,-,,,,(49,,,,-,,,,(50,,,,,
12,NTS Technical Systems  (3),,One stop,,L + 6.00,,,No Value,(4),,06/2021,,,-,,,,(105,,,,-,,,,(106,,,,,
13,NTS Technical Systems*^,,One stop,,L + 6.00,,,7.00,,,06/2021,,,26441,,,,25983,,,,3.2,,,,25978,,,,,
14,"Tresys Technology Holdings, Inc.",,One stop,,L + 6.75,,,8.00,,,12/2017,,,349,,,,344,,,,-,,,,349,,,,,
15,"Tresys Technology Holdings, Inc.  (6)",,One stop,,L + 6.75,,,8.00,,,12/2017,,,3899,,,,3845,,,,0.1,,,,975,,,,,
16,Whitcraft LLC,,One stop,,P + 4.75,,,8.00,,,05/2020,,,22,,,,21,,,,-,,,,21,,,,,
17,Whitcraft LLC,,One stop,,L + 6.00,,,7.00,,,05/2020,,,8675,,,,8590,,,,1.1,,,,8588,,,,,
18,,,,,,,,,,,,,,76384,,,,75223,,,,8.8,,,,71392,,,,,
