,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
1,Investments,,,,,,,,,,,,,,,,,,,,,,,
2,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,
3,Debt investments,,,,,,,,,,,,,,,,,,,,,,,
4,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,
5,"ILC Dover, LP  ~",Senior loan,,L + 4.75,(c)(d),,6.96,,12/2023,,,9853,,,,9778,,,1.0,,,,9853,
6,NTS Technical Systems  ^*~,One stop,,L + 6.25,(a),,8.69,,06/2021,,22377,,,22160,,,2.3,,,22377,,,,
7,NTS Technical Systems  ~,One stop,,L + 6.25,(a),,8.69,,06/2021,,3672,,,3635,,,0.4,,,3672,,,,
8,NTS Technical Systems  (5),One stop,,L + 6.25,,,N/A  (6),,06/2021,,0,,,(46,,,0,,,0,,,,
9,"Tresys Technology Holdings, Inc.  (7)",One stop,,L + 6.75,(a),,9.15,,06/2020,,3899,,,3844,,,0.3,,,3119,,,,
10,"Tresys Technology Holdings, Inc.  (7)",One stop,,L + 6.75,(a),,9.15,,06/2020,,659,,,658,,,0.1,,,659,,,,
11,"Tronair Parent, Inc.  ^",Senior loan,,L + 4.75,(c),,7.57,,09/2023,,363,,,361,,,0.1,,,342,,,,
12,"Tronair Parent, Inc.",Senior loan,,L + 4.50,(c)(f),,7.33,,09/2021,,80,,,79,,,0,,,76,,,,
13,Whitcraft LLC  ^*,One stop,,L + 5.50,(c),,7.83,,04/2023,,16202,,,16017,,,1.7,,,16040,,,,
14,Whitcraft LLC  (5),One stop,,L + 5.50,,,N/A  (6),,04/2023,,0,,,(1,,,0,,,(1,,,,
15,Whitcraft LLC  (5),One stop,,L + 5.50,,,N/A  (6),,04/2023,,0,,,(8,,,0,,,(9,,,,
16,,,,,,,,,,,57105,,,56477,,,5.9,,,56128,,,,
17,Automobile,,,,,,,,,,,,,,,,,,,,,,,
18,Dent Wizard International Corporation  ~,Senior loan,,L + 4.00,(a),,6.40,,04/2022,,8354,,,8328,,,0.9,,,8312,,,,
19,"Grease Monkey International, LLC  ^*",Senior loan,,L + 5.00,(a),,7.40,,11/2022,,4826,,,4786,,,0.5,,,4826,,,,
20,"Grease Monkey International, LLC  ~",Senior loan,,L + 5.00,(a),,7.40,,11/2022,,148,,,146,,,0,,,148,,,,
21,"Grease Monkey International, LLC  ~",Senior loan,,L + 5.00,(a),,7.40,,11/2022,,104,,,104,,,0,,,104,,,,
22,"Grease Monkey International, LLC  ~",Senior loan,,L + 5.00,(a),,7.40,,11/2022,,75,,,75,,,0,,,75,,,,
23,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(a),,7.40,,11/2022,,55,,,54,,,0,,,55,,,,
24,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(a),,7.40,,11/2022,,12,,,11,,,0,,,12,,,,
25,Polk Acquisition Corp.  *,Senior loan,,L + 5.25,(c),,7.58,,06/2022,,126,,,125,,,0,,,124,,,,
26,"Power Stop, LLC  ~",Senior loan,,L + 4.75,(c)(f),,7.08,,10/2025,,1349,,,1343,,,0.1,,,1349,,,,
27,"Quick Quack Car Wash Holdings, LLC  *",One stop,,L + 6.50,(a),,8.90,,04/2023,,8686,,,8602,,,0.9,,,8686,,,,
