,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,
1,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,,,,,
2,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net Assets,,,Value,,,,,,,,,,
3,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"ILC Dover, LP",,One stop,,P + 6.00,,,9.25,,,03/2019,,,720,,,,708,,,,0.1,,,,685,,,,,
8,"ILC Dover, LP*^",,One stop,,L + 7.00,,,8.00,,,03/2020,,,18359,,,,18155,,,,2.4,,,,17809,,,,,
9,"ILC Industries, Inc.  (3)",,One stop,,L + 4.75,,,N/A,(4),,07/2020,,,-,,,,(29,,,,-,,,,-,,,,,
10,"ILC Industries, Inc.*^",,One stop,,L + 4.75,,,5.75,,,07/2020,,,28153,,,,27902,,,,3.8,,,,28153,,,,,
11,NTS Technical Systems  (3),,One stop,,L + 5.50,,,N/A,(4),,11/2018,,,-,,,,(32,,,,-,,,,-,,,,,
12,NTS Technical Systems*^,,One stop,,L + 5.50,,,6.75,,,11/2018,,,18776,,,,18483,,,,2.5,,,,18776,,,,,
13,NTS Technical Systems,,One stop,,L + 5.50,,,6.75,,,11/2018,,,2790,,,,2724,,,,0.4,,,,2790,,,,,
14,"Tresys Technology Holdings, Inc.",,One stop,,L + 6.75,,,8.00,,,12/2017,,,349,,,,344,,,,-,,,,349,,,,,
15,"Tresys Technology Holdings, Inc.  (6)",,One stop,,L + 6.75,,,8.00,,,12/2017,,,3899,,,,3845,,,,0.1,,,,975,,,,,
16,Whitcraft LLC,,Subordinated debt,,N/A,,,12.00,,,12/2018,,,1877,,,,1860,,,,0.3,,,,1877,,,,,
17,,,,,,,,,,,,,,74923,,,,73960,,,,9.6,,,,71414,,,,,
18,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
