,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,
1,,,Investment,,Above,,Interest,,,Maturity,,"Principal  / Par ($),",,,Amortized,,,of,,,Fair,,,,,,
2,,,Type,,Index  (1),,Rate  (2),,,Date,,Shares/Units  (3),,,Cost,,,Net  Assets,,,Value,,,,,,
3,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Non-controlled/non-affiliate  company investments,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Debt  investments,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aerospace  and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"ILC  Dover, LP",,One stop,,P + 6.00,,,9.50,,,03/2019,,,781,,,,771,,,,0.1,,,,630,
8,"ILC  Dover, LP*^  #",,One stop,,P + 6.00,,,9.50,,,03/2020,,,17888,,,,17729,,,,1.9,,,,15205,
9,"ILC  Industries, Inc.  (4)",,One stop,,L + 6.00,,,N/A,(5),,07/2020,,,-,,,,(20,,,,-,,,,-,
10,"ILC  Industries, Inc.*^  #",,One stop,,L + 6.00,,,7.00,,,07/2020,,,22556,,,,22428,,,,2.8,,,,22556,
11,Loar  Group Inc.  #,,Senior loan,,L + 4.75,,,5.75,,,01/2022,,,2244,,,,2205,,,,0.3,,,,2233,
12,NTS  Technical Systems  (4),,One stop,,L + 6.00,,,N/A,(5),,06/2021,,,-,,,,(92,,,,-,,,,-,
13,NTS  Technical Systems*^  #,,One stop,,L + 6.00,,,7.00,,,06/2021,,,26308,,,,25910,,,,3.2,,,,26308,
14,NTS  Technical Systems  (4),,One stop,,L + 6.00,,,N/A,(5),,06/2021,,,-,,,,(43,,,,-,,,,-,
15,"Tresys  Technology Holdings, Inc.",,One stop,,L + 6.75,,,8.00,,,12/2017,,,349,,,,346,,,,-,,,,349,
16,"Tresys  Technology Holdings, Inc.  (6)",,One stop,,L + 6.75,,,8.00,,,12/2017,,,3899,,,,3845,,,,0.1,,,,1170,
17,Whitcraft LLC  (4),,One stop,,L + 6.50,,,N/A,(5),,05/2020,,,-,,,,(1,,,,-,,,,-,
18,Whitcraft  LLC*^,,One  stop,,L  + 6.50,,,7.50,,,05/2020,,,13572,,,,13458,,,,1.7,,,,13572,
19,,,,,,,,,,,,,,87597,,,,86536,,,,10.1,,,,82023,
20,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"American  Driveline Systems, Inc.",,Senior loan,,P + 4.75,,,8.25,,,03/2020,,,25,,,,18,,,,-,,,,16,
22,"American  Driveline Systems, Inc.*",,Senior loan,,L + 5.75,,,6.75,,,03/2020,,,1807,,,,1761,,,,0.2,,,,1717,
23,"American  Driveline Systems, Inc.^",,Senior loan,,L + 5.75,,,6.75,,,03/2020,,,233,,,,228,,,,-,,,,228,
24,CH  Hold Corp. (Caliber Collision)*  #,,Senior loan,,L + 5.25,,,6.25,,,11/2019,,,5170,,,,5127,,,,0.6,,,,5170,
25,Dent  Wizard International Corporation*,,Senior loan,,L + 4.75,,,5.75,,,04/2020,,,2482,,,,2471,,,,0.3,,,,2482,
26,"Integrated  Supply Network, LLC  (4)",,Senior loan,,L + 5.25,,,N/A,(5),,02/2020,,,-,,,,(8,,,,-,,,,-,
27,"Integrated  Supply Network, LLC*^",,Senior loan,,L + 5.25,,,6.25,,,02/2020,,,6942,,,,6862,,,,0.9,,,,6942,
28,"K&N Engineering,  Inc.  (4)",,Senior loan,,L + 4.25,,,N/A,(5),,07/2019,,,-,,,,(3,,,,-,,,,(3,
29,"K&N Engineering,  Inc.^",,Senior loan,,L + 4.25,,,5.25,,,07/2019,,,2869,,,,2837,,,,0.4,,,,2811,
30,"K&N Engineering,  Inc.^",,Senior loan,,L + 4.25,,,5.25,,,07/2019,,,135,,,,123,,,,-,,,,133,
31,T5 Merger Corporation  (4),,One stop,,L + 6.25,,,N/A,(5),,03/2022,,,-,,,,(2,,,,-,,,,(1,
32,T5  Merger Corporation^,,One  stop,,L  + 6.25,,,7.25,,,03/2022,,,2400,,,,2358,,,,0.3,,,,2376,
33,,,,,,,,,,,,,,22063,,,,21772,,,,2.7,,,,21871,
34,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,
35,HedgeServ  Holding L.P.  (4),,One stop,,L + 8.00,,,N/A,(5),,02/2019,,,-,,,,(5,,,,-,,,,-,
36,HedgeServ  Holding L.P.*  ^#,,One  stop,,L  + 8.00,,,7.00  cash/2.00  PIK,,02/2019,,,17353,,,,17258,,,,2.1,,,,17353,,
37,,,,,,,,,,,,,,17353,,,,17253,,,,2.1,,,,17353,
38,"Beverage,  Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Abita  Brewing Co., L.L.C.",,One stop,,L + 5.75,,,6.75,,,04/2021,,,8,,,,7,,,,-,,,,8,
40,"Abita  Brewing Co., L.L.C.",,One stop,,L + 5.75,,,6.75,,,04/2021,,,8033,,,,7898,,,,1.0,,,,8033,
41,ABP  Corporation,,Senior loan,,P + 3.50,,,7.25,,,09/2018,,,209,,,,205,,,,-,,,,209,
42,ABP  Corporation*,,Senior loan,,L + 4.75,,,6.00,,,09/2018,,,4721,,,,4682,,,,0.6,,,,4721,
43,"Atkins  Nutritionals, Inc*  ^#",,One stop,,L + 5.00,,,6.25,,,01/2019,,,16872,,,,16726,,,,2.1,,,,16872,
44,"Atkins  Nutritionals, Inc*^",,One stop,,L + 8.50,,,9.75,,,04/2019,,,21636,,,,21429,,,,2.7,,,,21636,
45,"C.  J. Foods, Inc.  (4)",,One stop,,L + 5.50,,,N/A,(5),,05/2019,,,-,,,,(6,,,,-,,,,-,
46,"C.  J. Foods, Inc.",,One stop,,L + 5.50,,,6.50,,,05/2019,,,668,,,,660,,,,0.1,,,,668,
47,"C.  J. Foods, Inc.*",,One stop,,L + 5.50,,,6.50,,,05/2019,,,3176,,,,3145,,,,0.4,,,,3176,
48,"Candy  Intermediate Holdings, Inc. (Ferrara Candy)^",,Senior loan,,L + 6.25,,,7.50,,,06/2018,,,4813,,,,4751,,,,0.6,,,,4825,
49,"Firebirds  International, LLC  (4)",,One stop,,L + 5.75,,,N/A,(5),,05/2018,,,-,,,,(1,,,,-,,,,-,
50,"Firebirds  International, LLC*",,One stop,,L + 5.75,,,7.00,,,05/2018,,,1079,,,,1071,,,,0.1,,,,1079,
51,"Firebirds  International, LLC*",,One stop,,L + 5.75,,,7.00,,,05/2018,,,303,,,,300,,,,-,,,,303,
52,"Firebirds  International, LLC  (4)",,One stop,,L + 5.75,,,N/A,(5),,05/2018,,,-,,,,(3,,,,-,,,,-,
53,"First  Watch Restaurants, Inc.",,One stop,,P + 5.00,,,8.50,,,12/2020,,,1634,,,,1625,,,,0.2,,,,1634,
54,"First  Watch Restaurants, Inc.*  ^#",,One stop,,L + 6.00,,,7.00,,,12/2020,,,25727,,,,25491,,,,3.1,,,,25727,
55,"First  Watch Restaurants, Inc.  (4)",,One stop,,L + 6.00,,,N/A,(5),,12/2020,,,-,,,,(11,,,,-,,,,-,
56,"First  Watch Restaurants, Inc.  (4)",,One stop,,L + 6.00,,,N/A,(5),,12/2020,,,-,,,,(11,,,,-,,,,-,
57,"First  Watch Restaurants, Inc.  (4)",,One stop,,L + 6.00,,,N/A,(5),,12/2020,,,-,,,,(9,,,,-,,,,-,
58,"Hopdoddy  Holdings, LLC",,One stop,,L + 8.00,,,N/A,(5),,08/2020,,,-,,,,-,,,,-,,,,-,
59,"Hopdoddy  Holdings, LLC",,One stop,,L + 8.00,,,9.00,,,08/2020,,,663,,,,651,,,,0.1,,,,663,
60,"Hopdoddy  Holdings, LLC  (4)",,One stop,,L + 8.00,,,N/A,(5),,08/2020,,,-,,,,(3,,,,-,,,,-,
61,IT'SUGAR  LLC,,Subordinated debt,,N/A,,,8.00,,,10/2017,,,1707,,,,1707,,,,0.2,,,,1911,
62,"Northern  Brewer, LLC",,One stop,,P + 5.25,,,8.75,,,02/2018,,,699,,,,692,,,,0.1,,,,647,
63,"Northern  Brewer, LLC",,One stop,,L + 6.50,,,8.07,,,02/2018,,,6002,,,,5935,,,,0.7,,,,5552,
64,Smashburger  Finance LLC  (4),,Senior loan,,L + 5.50,,,N/A,(5),,05/2018,,,-,,,,(2,,,,-,,,,-,
65,Smashburger  Finance LLC,,Senior loan,,L + 5.50,,,6.75,,,05/2018,,,87,,,,87,,,,-,,,,87,
66,Surfside  Coffee Company LLC,,One stop,,L + 5.25,,,6.25,,,06/2020,,,21,,,,20,,,,-,,,,21,
67,Surfside  Coffee Company LLC^,,One stop,,L + 5.25,,,6.25,,,06/2020,,,4492,,,,4454,,,,0.5,,,,4492,
68,Surfside  Coffee Company LLC,,One stop,,L + 5.25,,,6.25,,,06/2020,,,131,,,,123,,,,-,,,,131,
69,"Tate's  Bake Shop, Inc.  #",,Senior loan,,L + 5.00,,,6.00,,,08/2019,,,600,,,,595,,,,0.1,,,,600,
70,The  Original Cakerie Ltd.  (7)(8),,Senior loan,,L + 5.00,,,N/A,(5),,12/2020,,,-,,,,-,,,,-,,,,-,
71,The  Original Cakerie Ltd.  #(7)(8),,Senior loan,,L + 5.00,,,6.00,,,12/2020,,,1652,,,,1636,,,,0.2,,,,1652,
72,Uinta  Brewing Company,,One stop,,L + 7.00,,,8.00,,,08/2019,,,678,,,,673,,,,0.1,,,,666,
73,Uinta  Brewing Company^,,One stop,,L + 7.00,,,8.00,,,08/2019,,,3195,,,,3174,,,,0.4,,,,3147,
74,United  Craft Brews LLC,,One stop,,L + 6.25,,,7.25,,,03/2020,,,1084,,,,1070,,,,0.1,,,,1084,
75,United  Craft Brews LLC,,One stop,,L + 6.25,,,7.25,,,03/2020,,,539,,,,526,,,,0.1,,,,539,
76,United  Craft Brews LLC,,One  stop,,L  + 6.25,,,7.25,,,03/2020,,,12097,,,,11884,,,,1.5,,,,12097,
77,,,,,,,,,,,,,,122526,,,,121171,,,,15.0,,,,122180,
78,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,
79,,,Investment,,Above,,Interest,,,Maturity,,"Principal / Par ($),",,,Amortized,,,of,,,Fair,,,,,,
80,,,Type,,Index  (1),,Rate  (2),,,Date,,Shares/Units  (3),,,Cost,,,Net Assets,,,Value,,,,,,
81,Broadcasting and Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"TouchTunes  Interactive Networks, Inc.^",,Senior loan,,L + 4.75,,,5.75,,,05/2021,,,1484,,,,1478,,,,0.2,,,,1485,
83,Building and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Accruent, LLC*",,One stop,,L + 6.25,,,7.27,,,11/2019,,,4697,,,,4663,,,,0.6,,,,4697,
85,"Brooks Equipment Company, LLC  (4)",,One stop,,L + 5.00,,,N/A,(5),,08/2020,,,-,,,,(15,,,,-,,,,-,
86,"Brooks Equipment Company, LLC*^",,One stop,,L + 5.00,,,6.00,,,08/2020,,,23967,,,,23706,,,,2.9,,,,23967,
87,"ITEL Laboratories, Inc.  (4)",,Senior loan,,L + 4.75,,,N/A,(5),,06/2018,,,-,,,,(1,,,,-,,,,-,
88,"ITEL Laboratories, Inc.*",,Senior loan,,L + 4.75,,,6.00,,,06/2018,,,637,,,,633,,,,0.1,,,,637,
89,,,,,,,,,,,,,,29301,,,,28986,,,,3.6,,,,29301,
90,Cargo Transport,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Worldwide Express Operations, LLC*^",,Senior loan,,L + 5.00,,,6.00,,,07/2019,,,4900,,,,4851,,,,0.6,,,,4851,
92,"Worldwide Express Operations,  LLC  (4)",,Senior loan,,L + 5.00,,,N/A,(5),,07/2019,,,-,,,,(1,,,,-,,,,(1,
93,,,,,,,,,,,,,,4900,,,,4850,,,,0.6,,,,4850,
94,"Containers, Packaging and  Glass",,,,,,,,,,,,,,,,,,,,,,,,,,
95,Fort Dearborn Company*^,,Senior loan,,L + 4.25,,,5.25,,,10/2017,,,538,,,,536,,,,0.1,,,,538,
96,Fort Dearborn Company*^,,Senior loan,,L + 4.75,,,5.75,,,10/2018,,,2577,,,,2567,,,,0.3,,,,2577,
97,"Packaging Coordinators, Inc.*",,Senior loan,,L + 4.25,,,5.25,,,08/2021,,,2836,,,,2814,,,,0.3,,,,2810,
98,"Packaging Coordinators,  Inc.",,Second lien,,L + 8.00,,,9.00,,,08/2022,,,10000,,,,9920,,,,1.2,,,,9450,
99,,,,,,,,,,,,,,15951,,,,15837,,,,1.9,,,,15375,
100,Diversified Conglomerate  Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,
