,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,
1,Investments,,,,,,,,,,,,,,,,,,,,,,,,
2,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,,
3,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,
4,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,
5,"ILC Dover, LP  #",Senior loan,,L + 4.75,(a)(d),,6.58,,12/2023,,,9978,,,,9882,,,1.0,,,,9878,,
6,NTS Technical Systems  *^#,One stop,,L + 6.25,(a),,7.91,,06/2021,,21773,,,21525,,,2.3,,,21773,,,,,
<<<<<<< HEAD
7,NTS Technical Systems  (5),One stop,,L + 6.25,,,N/A  (6),,06/2021,,0,,,(63,,,0,,,0,,,,,
8,NTS Technical Systems  (5),One stop,,L + 6.25,,,N/A  (6),,06/2021,,0,,,(104,,,0,,,0,,,,,
9,"Tresys Technology Holdings, Inc.  (7)",One stop,,L + 6.75,(a),,8.64,,12/2018,,3899,,,3845,,,0.1,,,1170,,,,,
10,"Tresys Technology Holdings, Inc.  (7)",One stop,,L + 6.75,(a),,8.64,,12/2018,,659,,,658,,,0.1,,,659,,,,,
11,"Tronair Parent, Inc.  ^",Senior loan,,L + 4.75,(c)(e),,6.56,,09/2023,,368,,,365,,,0,,,368,,,,,
12,"Tronair Parent, Inc.",Senior loan,,L + 4.50,(c)(e),,7.24,,09/2021,,62,,,61,,,0,,,62,,,,,
13,Whitcraft LLC  *^,One stop,,L + 6.25,(c),,8.56,,04/2023,,12502,,,12344,,,1.3,,,12502,,,,,
14,Whitcraft LLC,One stop,,L + 6.25,(c),,8.56,,04/2023,,195,,,193,,,0,,,195,,,,,
15,Whitcraft LLC  (5),One stop,,L + 6.25,,,N/A  (6),,04/2023,,0,,,(1,,,0,,,0,,,,,
16,Whitcraft LLC  (5),One stop,,L + 6.25,,,N/A  (6),,04/2023,,0,,,(2,,,0,,,0,,,,,
=======
7,NTS Technical Systems  (5),One stop,,L + 6.25,,,N/A  (6),,06/2021,,-,,,(63,,,-,,,-,,,,,
8,NTS Technical Systems  (5),One stop,,L + 6.25,,,N/A  (6),,06/2021,,-,,,(104,,,-,,,-,,,,,
9,"Tresys Technology Holdings, Inc.  (7)",One stop,,L + 6.75,(a),,8.64,,12/2018,,3899,,,3845,,,0.1,,,1170,,,,,
10,"Tresys Technology Holdings, Inc.  (7)",One stop,,L + 6.75,(a),,8.64,,12/2018,,659,,,658,,,0.1,,,659,,,,,
11,"Tronair Parent, Inc.  ^",Senior loan,,L + 4.75,(c)(e),,6.56,,09/2023,,368,,,365,,,-,,,368,,,,,
12,"Tronair Parent, Inc.",Senior loan,,L + 4.50,(c)(e),,7.24,,09/2021,,62,,,61,,,-,,,62,,,,,
13,Whitcraft LLC  *^,One stop,,L + 6.25,(c),,8.56,,04/2023,,12502,,,12344,,,1.3,,,12502,,,,,
14,Whitcraft LLC,One stop,,L + 6.25,(c),,8.56,,04/2023,,195,,,193,,,-,,,195,,,,,
15,Whitcraft LLC  (5),One stop,,L + 6.25,,,N/A  (6),,04/2023,,-,,,(1,,,-,,,-,,,,,
16,Whitcraft LLC  (5),One stop,,L + 6.25,,,N/A  (6),,04/2023,,-,,,(2,,,-,,,-,,,,,
>>>>>>> GSBD
