,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
1,Investments,,,,,,,,,,,,,,,,,,,,,,,
2,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,
3,Debt investments,,,,,,,,,,,,,,,,,,,,,,,
4,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,
5,"ILC Dover, LP  ~",Senior loan,,L + 4.75,(c),,7.63,,12/2023,,,9878,,,,9799,,,1.0,,,,9878,
6,NTS Technical Systems  ^*~,One stop,,L + 6.25,(a),,8.74,,06/2021,,22299,,,22116,,,2.3,,,22299,,,,
7,NTS Technical Systems  ~,One stop,,L + 6.25,(a),,8.74,,06/2021,,3682,,,3649,,,0.4,,,3682,,,,
8,NTS Technical Systems  (5),One stop,,L + 6.25,,,N/A  (6),,06/2021,,-,,,(43,,,-,,,-,,,,
9,"Tresys Technology Holdings, Inc.  (7)",One stop,,L + 6.75,(a),,9.25,,12/2019,,3899,,,3845,,,0.1,,,1170,,,,
10,"Tresys Technology Holdings, Inc.  (7)",One stop,,L + 6.75,(a),,9.25,,12/2019,,659,,,658,,,0.1,,,659,,,,
11,"Tronair Parent, Inc.  ^",Senior loan,,L + 4.75,(a)(c),,7.56,,09/2023,,364,,,362,,,0.1,,,350,,,,
12,"Tronair Parent, Inc.",Senior loan,,L + 4.50,(a)(c)(f),,7.47,,09/2021,,80,,,79,,,-,,,77,,,,
13,Whitcraft LLC  ^*,One stop,,L + 6.25,(c),,8.85,,04/2023,,12376,,,12250,,,1.3,,,12376,,,,
14,Whitcraft LLC  ^,One stop,,L + 6.25,(c),,8.85,,04/2023,,193,,,191,,,-,,,193,,,,
15,Whitcraft LLC  (5),One stop,,L + 6.25,,,N/A  (6),,04/2023,,-,,,(1,,,-,,,-,,,,
16,,,,,,,,,,,53430,,,52905,,,5.3,,,50684,,,,
17,Automobile,,,,,,,,,,,,,,,,,,,,,,,
18,Dent Wizard International Corporation  ~,Senior loan,,L + 4.00,(a),,6.50,,04/2020,,4454,,,4445,,,0.5,,,4454,,,,
19,"Grease Monkey International, LLC  ^*",Senior loan,,L + 5.00,(a),,7.50,,11/2022,,4838,,,4795,,,0.5,,,4838,,,,
20,"Grease Monkey International, LLC  ~",Senior loan,,L + 5.00,(a),,7.50,,11/2022,,149,,,146,,,-,,,149,,,,
21,"Grease Monkey International, LLC  ~",Senior loan,,L + 5.00,(a),,7.50,,11/2022,,105,,,104,,,-,,,105,,,,
22,"Grease Monkey International, LLC  ~",Senior loan,,L + 5.00,(a),,7.50,,11/2022,,75,,,75,,,-,,,75,,,,
23,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(a),,7.50,,11/2022,,43,,,42,,,-,,,43,,,,
24,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(a),,7.50,,11/2022,,12,,,11,,,-,,,12,,,,
25,Polk Acquisition Corp.  *,Senior loan,,L + 5.25,(c),,7.85,,06/2022,,127,,,125,,,-,,,124,,,,
26,"Power Stop, LLC  ~",Senior loan,,L + 4.75,(c)(f),,7.35,,10/2025,,1352,,,1346,,,0.1,,,1352,,,,
27,"Quick Quack Car Wash Holdings, LLC  *",One stop,,L + 6.50,(a),,9.00,,04/2023,,8707,,,8618,,,0.9,,,8707,,,,
