,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,NTS Technical Systems  ^*#+~,One stop,,L + 6.00,(a),,7.58,,06/2021,,,25606,,,,25575,,,1.2,,,,24325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,NTS Technical Systems  +~,One stop,,L + 6.00,(a),,7.58,,06/2021,,4189,,,4183,,,,0.2,,,,3980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,NTS Technical Systems,One stop,,L + 6.00,(a)(c),,7.00,,06/2021,,4022,,,3993,,,,0.2,,,,3819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,"Tronair Parent, Inc.  ^+",Senior loan,,L + 4.75,(c),,6.46,,09/2023,,721,,,715,,,,0,,,,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"Tronair Parent, Inc.",Senior loan,,L + 4.50,(c)(f),,6.32,,09/2021,,160,,,158,,,,0,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Whitcraft LLC  ^*#+~,One stop,,L + 6.00,(c),,7.45,,04/2023,,64220,,,64687,,,,3.2,,,,61652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Whitcraft LLC,One stop,,L + 6.00,(c),,7.45,,04/2023,,240,,,238,,,,0,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,99158,,,99549,,,4.8,,,94770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,"Grease Monkey International, LLC  ^*#+",Senior loan,,L + 5.00,(c),,6.45,,11/2022,,,8717,,,,8791,,,,0.4,,,,8193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,"Grease Monkey International, LLC  !~",Senior loan,,L + 5.00,(c),,6.45,,11/2022,,,2382,,,,2466,,,,0.1,,,,2239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
