,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,,,"September 30,  2014",,"September 30,  2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Investments, at fair value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Non-controlled/non-affiliate company investments,,,1309701,,,,1011586,,,,,,,,,,,,,,,,,,,,,,,,,
4,Non-controlled affiliate company investments,,,3080,,,,8225,,,,,,,,,,,,,,,,,,,,,,,,,
5,Controlled affiliate company investments,,,34831,,,,4834,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Total investments at fair value (cost of $1,337,580 and $1,017,961, respectively)",,,1347612,,,,1024645,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cash and cash equivalents,,,5135,,,,16309,,,,,,,,,,,,,,,,,,,,,,,,,
8,Restricted cash and cash equivalents,,,74808,,,,38408,,,,,,,,,,,,,,,,,,,,,,,,,
9,Interest receivable,,,5791,,,,4316,,,,,,,,,,,,,,,,,,,,,,,,,
10,Deferred financing costs,,,9515,,,,7742,,,,,,,,,,,,,,,,,,,,,,,,,
11,Other assets,,,527,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,
12,Total Assets,,,1443388,,,,1091656,,,,,,,,,,,,,,,,,,,,,,,,,
13,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Debt,,,697150,,,,412100,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Secured borrowings, at fair value (proceeds of $384 and $8,683, respectively)",,,389,,,,8809,,,,,,,,,,,,,,,,,,,,,,,,,
16,Interest payable,,,3196,,,,1277,,,,,,,,,,,,,,,,,,,,,,,,,
17,Management and incentive fees payable,,,8451,,,,5579,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
18,Payable for open trades,,,0,,,,3677,,,,,,,,,,,,,,,,,,,,,,,,,
19,Accounts payable and accrued expenses,,,1397,,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
20,Accrued trustee fees,,,66,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
21,Total Liabilities,,,710649,,,,433420,,,,,,,,,,,,,,,,,,,,,,,,,
22,Commitments and Contingencies (Note 10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Preferred stock, par value $0.001 per share, 1,000,000 shares authorized, zero shares issued and outstanding as of September 30, 2014 and September 30, 2013",,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
=======
18,Payable for open trades,,,-,,,,3677,,,,,,,,,,,,,,,,,,,,,,,,,
19,Accounts payable and accrued expenses,,,1397,,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
20,Accrued trustee fees,,,66,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
21,Total Liabilities,,,710649,,,,433420,,,,,,,,,,,,,,,,,,,,,,,,,
22,Commitments and Contingencies (Note 10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Preferred stock, par value $0.001 per share, 1,000,000 shares authorized, zero shares issued and outstanding as of September 30, 2014 and September 30, 2013",,,-,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> GSBD
25,"Common stock, par value $0.001 per share, 100,000,000 shares authorized, 47,119,498 and 43,282,932 shares issued and outstanding as of September 30, 2014 and September 30, 2013, respectively",,,47,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,
26,Paid in capital in excess of par,,,720479,,,,652669,,,,,,,,,,,,,,,,,,,,,,,,,
27,Undistributed net investment income,,,3627,,,,2725,,,,,,,,,,,,,,,,,,,,,,,,,
28,Net unrealized appreciation on investments and derivative instruments,,,12694,,,,9225,,,,,,,,,,,,,,,,,,,,,,,,,
29,Net realized loss on investments and derivative instruments,,,"(4,108",,,,"(6,426",,,,,,,,,,,,,,,,,,,,,,,,,
30,Total Net Assets,,,732739,,,,658236,,,,,,,,,,,,,,,,,,,,,,,,,
31,Total Liabilities and Total Net Assets,,,1443388,,,,1091656,,,,,,,,,,,,,,,,,,,,,,,,,
32,Number of common shares outstanding,,,47119498,,,,43282932,,,,,,,,,,,,,,,,,,,,,,,,,
33,Net asset value per common share,,,15.55,,,,15.21,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/  Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
35,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"ILC Dover, LP",,,One stop,,,,P + 4.50,,,,7.75,,,,03/2019,,,,360,,,,352,,,,0.1,,,,360,
40,"ILC Dover, LPˆ",,,One stop,,,,L + 5.50,,,,6.50,,,,03/2020,,,,18594,,,,18467,,,,2.5,,,,18594,
<<<<<<< HEAD
41,"ILC Industries, Inc.  (3)",,,One stop,,,,L + 4.75,,,,No Value,(4),,,07/2020,,,,0,,,,(32,,,,0,,,,(25,
42,"ILC Industries, Inc.*ˆ",,,One stop,,,,L + 4.75,,,,5.75,,,,07/2020,,,,28510,,,,28234,,,,3.9,,,,28296,
43,Novetta Solutions LLC,,,Senior loan,,,,P + 3.00,,,,6.25,,,,03/2017,,,,184,,,,178,,,,0,,,,184,
44,Novetta Solutions LLC*,,,Senior loan,,,,L + 5.00,,,,6.25,,,,03/2017,,,,1697,,,,1673,,,,0.2,,,,1697,
