,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,"September 30, 2018",,"September 30, 2017",,,,,,,,,,,,,,,,,,,,
1,Assets,,,,,,,,,,,,,,,,,,,,,,,
2,"Investments, at fair value",,,,,,,,,,,,,,,,,,,,,,,
3,Non-controlled/non-affiliate company investments,,1704473,,,,1586293,,,,,,,,,,,,,,,,,
4,Non-controlled affiliate company investments,7284,,,3707,,,,,,,,,,,,,,,,,,,
5,Controlled affiliate company investments,71084,,,95015,,,,,,,,,,,,,,,,,,,
6,"Total investments at fair value (amortized cost of $1,780,652 and $1,671,239, respectively)",1782841,,,1685015,,,,,,,,,,,,,,,,,,,
7,Cash and cash equivalents,5878,,,3988,,,,,,,,,,,,,,,,,,,
8,"Foreign currencies (cost of $159 and $0, respectively)",159,,,-,,,,,,,,,,,,,,,,,,,
9,Restricted cash and cash equivalents,39668,,,58570,,,,,,,,,,,,,,,,,,,
10,Interest receivable,6664,,,6271,,,,,,,,,,,,,,,,,,,
11,Other assets,342,,,332,,,,,,,,,,,,,,,,,,,
12,Total Assets,,1835552,,,,1754176,,,,,,,,,,,,,,,,,
13,Liabilities,,,,,,,,,,,,,,,,,,,,,,,
14,Debt,,845683,,,,781100,,,,,,,,,,,,,,,,,
15,Less unamortized debt issuance costs,2934,,,4273,,,,,,,,,,,,,,,,,,,
16,Debt less unamortized debt issuance costs,842749,,,776827,,,,,,,,,,,,,,,,,,,
17,Interest payable,4135,,,3800,,,,,,,,,,,,,,,,,,,
18,Management and incentive fees payable,17671,,,13215,,,,,,,,,,,,,,,,,,,
19,Accounts payable and accrued expenses,2069,,,2312,,,,,,,,,,,,,,,,,,,
20,Accrued trustee fees,74,,,76,,,,,,,,,,,,,,,,,,,
21,Total Liabilities,866698,,,796230,,,,,,,,,,,,,,,,,,,
22,Commitments and Contingencies (Note 8),,,,,,,,,,,,,,,,,,,,,,,
23,Net Assets,,,,,,,,,,,,,,,,,,,,,,,
24,"Preferred stock, par value $0.001 per share, 1,000,000 shares authorized, zero shares issued and outstanding as of September 30, 2018 and September 30, 2017",-,,,-,,,,,,,,,,,,,,,,,,,
25,"Common stock, par value $0.001 per share, 100,000,000 shares authorized, 60,165,454 and 59,577,293 shares issued and outstanding as of September 30, 2018 and September 30, 2017, respectively",60,,,60,,,,,,,,,,,,,,,,,,,
26,Paid in capital in excess of par,949547,,,939307,,,,,,,,,,,,,,,,,,,
27,Distributable earnings  (1),19247,,,18579,,,,,,,,,,,,,,,,,,,
28,Total Net Assets,968854,,,957946,,,,,,,,,,,,,,,,,,,
29,Total Liabilities and Total Net Assets,,1835552,,,,1754176,,,,,,,,,,,,,,,,,
30,Number of common shares outstanding,60165454,,,59577293,,,,,,,,,,,,,,,,,,,
31,Net asset value per common share,,16.10,,,,16.08,,,,,,,,,,,,,,,,,
32,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
33,Investments,,,,,,,,,,,,,,,,,,,,,,,
34,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,
35,Debt investments,,,,,,,,,,,,,,,,,,,,,,,
36,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,
37,"ILC Dover, LP",Senior loan,,L + 4.75,(c),,7.14,,12/2023,,,9928,,,,9841,,,1.0,,,,9928,
38,NTS Technical Systems*^,One stop,,L + 6.25,(a),,8.36,,06/2021,,21718,,,21508,,,2.2,,,21718,,,,
39,NTS Technical Systems  (5),One stop,,L + 6.25,,,N/A  (6),,06/2021,,-,,,(53,,,-,,,-,,,,
40,"Tresys Technology Holdings, Inc  .(7)",One stop,,L + 6.75,(a),,8.99,,12/2018,,3899,,,3845,,,0.1,,,780,,,,
41,"Tresys Technology Holdings, Inc.  (7)",One stop,,L + 6.75,(a),,8.99,,12/2018,,659,,,658,,,0.1,,,659,,,,
42,"Tronair Parent, Inc.^",Senior loan,,L + 4.75,(c),,7.56,,09/2023,,366,,,363,,,0.1,,,366,,,,
43,"Tronair Parent, Inc.",Senior loan,,L + 4.50,(a)(b)(c)(f),,7.03,,09/2021,,80,,,79,,,-,,,80,,,,
44,Whitcraft LLC*^,One stop,,L + 6.25,(c),,8.64,,04/2023,,12439,,,12298,,,1.3,,,12439,,,,
45,Whitcraft LLC^,One stop,,L + 6.25,(c),,8.64,,04/2023,,194,,,192,,,-,,,194,,,,
46,Whitcraft LLC  (5),One stop,,L + 6.25,,,N/A  (6),,04/2023,,-,,,(1,,,-,,,-,,,,
47,Whitcraft LLC  (5),One stop,,L + 6.25,,,N/A  (6),,04/2023,,-,,,(2,,,-,,,-,,,,
48,,,,,,,,,,,49283,,,48728,,,4.8,,,46164,,,,
