,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,Description of the Matter,"At September 30, 2020, the fair value of the Company’s investments categorized as Level 3 investments within the fair value hierarchy (Level 3 investments) totaled $4,238,210 thousand. Management determines the fair value of the Company’s Level 3 investments by applying the methodologies outlined in Notes 2 and 6 to the consolidated financial statements and using significant unobservable inputs and assumptions. Determining the fair value of the Level 3 investments requires management to make judgments about the valuation methodologies (i.e., market approach or income approach) and significant unobservable inputs and assumptions including, among others, EBITDA multiples, revenue multiples, and market interest rates for similar loans with similar credit profiles, used in determining the fair value measurements.  Auditing the fair value of the Company’s Level 3 investments was complex, as the unobservable inputs and assumptions used by the Company are highly judgmental, are sensitive to economic dislocations, and could have a significant effect on the fair value measurements of such investments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,How We Addressed the Matter in Our Audit,"We obtained an understanding, evaluated the design and tested the operating effectiveness of controls over the Company’s investment valuation process. This included controls over management’s assessment of the valuation methodologies and significant unobservable inputs and assumptions used in determining the fair value measurements of the Level 3 investments.  Our audit procedures included, among others, evaluating the Company’s valuation methodologies, testing the significant unobservable inputs and assumptions used by the Company in determining the fair value of the Company’s Level 3 investments, and testing the mathematical accuracy of the Company’s valuation calculations. For each Level 3 investment, we reviewed the information considered by the Board of Directors relating to the Company’s determination of fair value. For a sample of the Company’s Level 3 investments, with the involvement of our valuation specialists, we independently developed fair value estimates and compared them to the Company’s estimates. We developed our independent fair value estimates by using borrower financial information, which we compared to agreements or underlying source documents provided to the Company by the borrowers, and available market information from third-party sources, such as market spreads, market multiples, and leverage. In developing our independent fair value estimates, we considered the impact of current economic conditions on trends in borrower financial information and the resulting fair value estimates. We also evaluated subsequent events and other available information and considered whether they corroborated or contradicted the Company’s year-end valuations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,NTS Technical Systems*#~^,One stop,,L + 6.00,(c),,7.00,,06/2021,,,25330,,,,25312,,,1.0,,,25330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,NTS Technical Systems~^,One stop,,L + 6.00,(c),,7.00,,06/2021,,4150,,,4147,,,0.2,,4150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,NTS Technical Systems(5),One stop,,L + 6.00,,,N/A(6),,06/2021,,-,,,(17),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,"Tronair Parent, Inc.+",Senior loan,,L + 4.75,(c),,5.75,,09/2023,,718,,,711,,,-,,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,"Tronair Parent, Inc.",Senior loan,,L + 4.50,(c)(f),,4.73,,09/2021,,160,,,159,,,-,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Whitcraft LLC*#+~,One stop,,L + 6.00,(c),,7.00,,04/2023,,63896,,,64289,,,2.5,,58785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Whitcraft LLC,One stop,,L + 6.00,(c),,7.00,,04/2023,,120,,,118,,,-,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,94374,,,94719,,,3.7,,89151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Aurora Lux Finco S.A.R.L.!(8)(13),One stop,,L + 6.00,(c),,7.00,,12/2026,,995,,,973,,,-,,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Auto Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Polk Acquisition Corp.*#,Senior loan,,L + 6.50,(a),,3.50 cash/4.00 PIK,,12/2023,,18042,,,17859,,,0.7,,16599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Polk Acquisition Corp.,Senior loan,,L + 6.50,(a),,3.50 cash/4.00 PIK,,12/2023,,106,,,104,,,-,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Polk Acquisition Corp.,Senior loan,,L + 6.50,(a),,3.50 cash/4.00 PIK,,12/2023,,22,,,21,,,-,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,"Power Stop, LLC+~",Senior loan,,L + 4.50,(a),,4.65,,10/2025,,2842,,,2896,,,0.1,,2785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,21012,,,20880,,,0.8,,19492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Automobiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,"Grease Monkey International, LLC*#+",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,8672,,,8733,,,0.4,,8672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,"Grease Monkey International, LLC!~",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,2370,,,2437,,,0.1,,2370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
