,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,,Valuation of investments using significant unobservable inputs and assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Description of the Matter,"At September 30, 2022, the fair value of the Company’s investments categorized as Level 3 investments within the fair value hierarchy (Level 3 investments) totaled $5,446,356 thousand. Management determines the fair value of the Company’s Level 3 investments by applying the methodologies outlined in Notes 2 and 6 to the consolidated financial statements and using significant unobservable inputs and assumptions. Determining the fair value of the Level 3 investments requires management to make judgments about the valuation methodologies (i.e., market approach or income approach) and significant unobservable inputs and assumptions including, among others, EBITDA multiples, revenue multiples, and market interest rates for similar loans with similar credit profiles, used in determining the fair value measurements.  Auditing the fair value of the Company’s Level 3 investments was complex, as the unobservable inputs and assumptions used by the Company are highly judgmental, are sensitive to economic dislocations, and could have a significant effect on the fair value measurements of such investments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,How We Addressed the Matter in Our Audit,"We obtained an understanding, evaluated the design, and tested the operating effectiveness of controls over the Company’s investment valuation process. This included controls over management’s assessment of the valuation methodologies and significant unobservable inputs and assumptions used in determining the fair value measurements of the Level 3 investments.  Our audit procedures included, among others, evaluating the Company’s valuation methodologies, testing the significant unobservable inputs and assumptions used by the Company in determining the fair value of the Company’s Level 3 investments, and testing the mathematical accuracy of the Company’s valuation calculations. For each Level 3 investment, we reviewed the information considered by the Board of Directors relating to the Company’s determination of fair value. For a sample of the Company’s Level 3 investments, with the involvement of our valuation specialists, we independently developed fair value estimates and compared them to the Company’s estimates. We developed our independent fair value estimates by using borrower financial information, which we compared to agreements or underlying source documents provided to the Company by the borrowers, and available market information from third-party sources, such as market spreads, market multiples, and leverage. In developing our independent fair value estimates, we considered the impact of current economic conditions on trends in borrower financial information and the resulting fair value estimates. We also evaluated subsequent events and other available information and considered whether they corroborated or contradicted the Company’s year-end valuations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,"Tronair Parent, Inc.+",Senior loan,,L +,6.25,(b),,8.67,cash/,0.50,PIK,,09/2023,,,672,,,,670,,,-,,,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"Tronair Parent, Inc.+",Senior loan,,L +,6.25,(b),,8.67,cash/,0.50,PIK,,06/2023,,100,,,99,,,-,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
