,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"Hopdoddy  Holdings, LLC  (4)",One stop,L + 8.00,,(5),,,08/2020,,,0,,,(3,,,0,,,0
1,"Hopdoddy  Holdings, LLC",One stop,L + 8.00,,(5),,,08/2020,,,0,,,0,,,0,,,0
2,"Hopdoddy  Holdings, LLC",One stop,L + 8.00,,9.00,,,08/2020,,,666,,,654,,,0.1,,,666
3,IT'SUGAR  LLC,Subordinated debt,No Value,,5.00,,,10/2017,,,1707,,,1707,,,0.2,,,1721
4,"Northern  Brewer, LLC",One stop,P + 5.25,,8.75,,,02/2018,,,699,,,692,,,0.1,,,629
5,"Northern  Brewer, LLC",One stop,L + 6.50,,8.00,,,02/2018,,,6376,,,6296,,,0.7,,,5738
6,Smashburger  Finance LLC  (4),Senior loan,L + 5.00,,(5),,,05/2018,,,0,,,(3,,,0,,,0
7,Surfside  Coffee Company LLC,One stop,L + 5.25,,6.25,,,06/2020,,,132,,,122,,,0,,,132
8,Surfside  Coffee Company LLC,One stop,L + 5.25,,6.25,,,06/2020,,,21,,,20,,,0,,,21
9,Surfside  Coffee Company LLC^,One stop,L + 5.25,,6.25,,,06/2020,,,4504,,,4463,,,0.6,,,4504
10,"Tate's  Bake Shop, Inc.",Senior loan,L + 5.00,,6.00,,,08/2019,,,602,,,596,,,0.1,,,602
11,Uinta  Brewing Company,One stop,L + 6.00,,7.00,,,08/2019,,,493,,,488,,,0.1,,,455
12,Uinta  Brewing Company^,One stop,L + 6.00,,7.00,,,08/2019,,,3195,,,3172,,,0.4,,,3036
13,United  Craft Brews LLC,One stop,L + 6.25,,7.25,,,03/2020,,,540,,,526,,,0.1,,,540
14,United  Craft Brews LLC  (4),One stop,L + 6.25,,(5),,,03/2020,,,0,,,(14,,,0,,,0
15,United  Craft Brews LLC,One stop,L + 6.25,,7.25,,,03/2020,,,12127,,,11900,,,1.5,,,12127
16,Broadcasting  and Entertainment,,,,,,,,,,,,,,,,,,,
17,"TouchTunes  Interactive Networks, Inc.^",Senior loan,L + 4.75,,5.75,,,05/2021,,,1488,,,1481,,,0.2,,,1481
18,Building  and Real Estate,,,,,,,,,,,,,,,,,,,
19,"Accruent,  LLC*",One stop,L + 6.25,,7.27,,,11/2019,,,4709,,,4673,,,0.6,,,4709
20,"Brooks  Equipment Company, LLC  (4)",One stop,L + 5.35,,(5),,,08/2020,,,0,,,(15,,,0,,,0
21,"Brooks  Equipment Company, LLC*^",One stop,L + 5.35,,6.35,,,08/2020,,,24467,,,24184,,,3.0,,,24467
22,"ITEL  Laboratories, Inc.  (4)",Senior loan,L + 4.75,,(5),,,06/2018,,,0,,,(1,,,0,,,0
23,"ITEL  Laboratories, Inc.*",Senior loan,L + 4.75,,6.00,,,06/2018,,,695,,,690,,,0.1,,,695
24,"Containers,  Packaging and Glass",,,,,,,,,,,,,,,,,,,
25,Fort  Dearborn Company*^,Senior loan,L + 4.25,,5.27,,,10/2017,,,552,,,550,,,0.1,,,552
26,Fort  Dearborn Company*^,Senior loan,L + 4.75,,5.78,,,10/2018,,,2577,,,2566,,,0.3,,,2577
27,"Packaging  Coordinators, Inc.*",Senior loan,L + 4.25,,5.25,,,08/2021,,,2843,,,2820,,,0.3,,,2825
28,"Packaging  Coordinators, Inc.",Second lien,L + 8.00,,9.00,,,08/2022,,,10000,,,9917,,,1.2,,,9850
29,Diversified  Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,
30,"Chase  Industries, Inc.",One stop,L + 5.75,,6.75,,,09/2020,,,3385,,,3347,,,0.4,,,3385
31,"Chase  Industries, Inc.",One stop,L + 5.75,,6.75,,,09/2020,,,234,,,217,,,0,,,234
32,"Chase  Industries, Inc.*^",One stop,L + 5.75,,6.75,,,09/2020,,,20827,,,20664,,,2.6,,,20827
33,"Harvey  Tool Company, LLC",Senior loan,L + 5.00,,(5),,,03/2019,,,0,,,0,,,0,,,0
34,"Harvey  Tool Company, LLC*",Senior loan,L + 5.00,,6.00,,,03/2020,,,3131,,,3102,,,0.4,,,3131
35,"ICC-Nexergy,  Inc  (4)",One stop,L + 5.50,,(5),,,04/2020,,,0,,,(3,,,0,,,0
