,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Investments,Investments,,,,,,,,,,,,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,,,,,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,,,,,,,,,,,,
4,Aerospace and Defense,NTS Technical Systems  *^#,One stop,L + 6.25(a),,7.61,,06/2021,,,21773,,,,21505,,,2.3,,,21773.0
5,Aerospace and Defense,NTS Technical Systems  (5),One stop,L + 6.25,,N/A  (6),,06/2021,,0,,,(67,,,0,,,0,,
6,Aerospace and Defense,NTS Technical Systems  (5),One stop,L + 6.25,,N/A  (6),,06/2021,,0,,,(112,,,0,,,0,,
7,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (7)",One stop,L + 6.75(a),,8.32,,12/2018,,3899,,,3845,,,0.1,,,1170,,
8,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (7)",One stop,L + 6.75(a),,8.32,,12/2018,,659,,,658,,,0.1,,,659,,
9,Aerospace and Defense,"Tronair Parent, Inc.  #",Senior loan,L + 4.75(c),,6.16,,09/2023,,369,,,366,,,0,,,366,,
10,Aerospace and Defense,"Tronair Parent, Inc.",Senior loan,P + 3.50(c)(e),,7.56,,09/2021,,38,,,37,,,0,,,37,,
11,Aerospace and Defense,Whitcraft LLC  *^#,One stop,L + 6.25(c),,7.94,,04/2023,,12533,,,12368,,,1.3,,,12533,,
12,Aerospace and Defense,Whitcraft LLC,One stop,P + 5.25(e),,9.75,,04/2023,,10,,,9,,,0,,,10,,
13,Aerospace and Defense,Whitcraft LLC  (5),One stop,L + 6.25,,N/A  (6),,04/2023,,0,,,(5,,,0,,,0,,
14,Automobile,Automobile,One stop,,,,,,,,,,,,,,,,,,
15,Automobile,Dent Wizard International Corporation  *,Senior loan,L + 4.75(a),,6.31,,04/2020,,4511,,,4490,,,0.5,,,4511,,
16,Automobile,"Grease Monkey International, LLC  *^",Senior loan,L + 5.00(a),,6.36,,11/2022,,4900,,,4841,,,0.5,,,4850,,
17,Automobile,"Grease Monkey International, LLC",Senior loan,P + 4.00(e),,8.50,,11/2022,,7,,,6,,,0,,,7,,
18,Automobile,"Grease Monkey International, LLC  (5)",Senior loan,L + 5.00,,N/A  (6),,11/2022,,0,,,(1,,,0,,,(2,,
19,Automobile,T5 Merger Corporation  *^,One stop,L + 6.50(a),,7.86,,03/2022,,4370,,,4305,,,0.5,,,4370,,
20,Automobile,T5 Merger Corporation  *,One stop,L + 6.50(a),,7.86,,03/2022,,190,,,188,,,0,,,190,,
21,Automobile,T5 Merger Corporation  *,One stop,L + 6.50(a),,7.86,,03/2022,,60,,,59,,,0,,,60,,
22,Automobile,T5 Merger Corporation,One stop,L + 6.50(a),,7.99,,03/2022,,48,,,46,,,0,,,48,,
23,Banking,Banking,One stop,,,,,,,,,,,,,,,,,,
24,Banking,HedgeServ Holding L.P.  *#,One stop,L + 8.00(a),,7.50 cash/2.00 PIK,,02/2019,,17270,,,17242,,,1.8,,,17270,,
25,Banking,HedgeServ Holding L.P.  (5),One stop,L + 8.00,,N/A  (6),,02/2019,,0,,,(2,,,0,,,0,,
26,"Beverage, Food and Tobacco","Beverage, Food and Tobacco",One stop,,,,,,,,,,,,,,,,,,
27,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.",One stop,L + 5.75(a),,7.32,,04/2021,,7645,,,7546,,,0.8,,,7645,,
28,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.  (5)",One stop,L + 5.75,,N/A  (6),,04/2021,,0,,,(1,,,0,,,0,,
29,"Beverage, Food and Tobacco",ABP Corporation  (5),Senior loan,L + 4.75,,N/A  (6),,12/2018,,0,,,(1,,,0,,,0,,
30,"Beverage, Food and Tobacco","Benihana, Inc.  *^",One stop,L + 7.00(c)(e),,8.59,,01/2019,,16058,,,15935,,,1.7,,,16058,,
31,"Beverage, Food and Tobacco","Benihana, Inc.",One stop,L + 7.00(a)(c)(e),,9.25,,07/2018,,1726,,,1717,,,0.2,,,1726,,
32,"Beverage, Food and Tobacco","C. J. Foods, Inc.  *^",One stop,L + 6.25(a),,7.82,,05/2019,,5191,,,5157,,,0.5,,,5191,,
33,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 6.25(a),,7.82,,05/2019,,654,,,650,,,0.1,,,654,,
34,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 6.25(a),,7.82,,05/2019,,129,,,126,,,0,,,129,,
35,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  *^",One stop,L + 5.75(c),,7.44,,09/2023,,10449,,,10276,,,1.1,,,10449,,
36,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.",One stop,P + 4.75(e),,9.25,,09/2023,,30,,,28,,,0,,,30,,
37,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  (5)",One stop,L + 5.75,,N/A  (6),,09/2023,,0,,,(5,,,0,,,0,,
38,"Beverage, Food and Tobacco","Firebirds International, LLC  *",One stop,L + 5.75(c),,7.42,,05/2018,,1057,,,1054,,,0.1,,,1057,,
39,"Beverage, Food and Tobacco","Firebirds International, LLC  *",One stop,L + 5.75(c),,7.42,,05/2018,,298,,,297,,,0,,,298,,
40,"Beverage, Food and Tobacco","Firebirds International, LLC  ^",One stop,L + 5.75(c),,7.42,,12/2018,,96,,,95,,,0,,,96,,
41,"Beverage, Food and Tobacco","Firebirds International, LLC",One stop,L + 5.75,,N/A  (6),,05/2018,,0,,,0,,,0,,,0,,
42,"Beverage, Food and Tobacco","Firebirds International, LLC",One stop,L + 5.75,,N/A  (6),,12/2018,,0,,,0,,,0,,,0,,
43,"Beverage, Food and Tobacco","Flavor Producers, LLC  #",Senior loan,L + 4.75(c),,6.32,,12/2023,,2172,,,2139,,,0.2,,,2139,,
44,"Beverage, Food and Tobacco","Flavor Producers, LLC  (5)",Senior loan,L + 4.75,,N/A  (6),,12/2022,,0,,,(1,,,0,,,(1,,
45,"Beverage, Food and Tobacco",FWR Holding Corporation  ^,One stop,L + 6.00(d),,7.66,,08/2023,,5299,,,5224,,,0.6,,,5299,,
46,"Beverage, Food and Tobacco",FWR Holding Corporation,One stop,L + 6.00(c),,7.60,,08/2023,,27,,,24,,,0,,,27,,
47,"Beverage, Food and Tobacco",FWR Holding Corporation,One stop,L + 6.00(a),,7.57,,08/2023,,8,,,7,,,0,,,8,,
48,"Beverage, Food and Tobacco","Global Franchise Group, LLC  *",Senior loan,L + 5.75(c),,7.44,,12/2019,,3522,,,3491,,,0.4,,,3522,,
49,"Beverage, Food and Tobacco","Global Franchise Group, LLC",Senior loan,L + 5.75,,N/A  (6),,12/2019,,0,,,0,,,0,,,0,,
50,"Beverage, Food and Tobacco - (continued)","Beverage, Food and Tobacco - (continued)",Senior loan,,,,,,,,,,,,,,,,,,
51,"Beverage, Food and Tobacco - (continued)",Global ID Corporation  *#,One stop,L + 6.50(c),,8.11,,11/2021,,,5183,,,,5133,,,0.5,,,5131.0
52,"Beverage, Food and Tobacco - (continued)",Global ID Corporation,One stop,L + 6.50,,N/A  (6),,11/2021,,0,,,0,,,0,,,0,,
53,"Beverage, Food and Tobacco - (continued)",Global ID Corporation  (5),One stop,L + 6.50,,N/A  (6),,11/2021,,0,,,(2,,,0,,,(2,,
54,"Beverage, Food and Tobacco - (continued)","Hopdoddy Holdings, LLC",One stop,L + 8.00(c),,9.48,,08/2020,,651,,,644,,,0.1,,,651,,
55,"Beverage, Food and Tobacco - (continued)","Hopdoddy Holdings, LLC",One stop,L + 8.00(c),,9.48,,08/2020,,400,,,398,,,0,,,400,,
56,"Beverage, Food and Tobacco - (continued)","Hopdoddy Holdings, LLC",One stop,L + 8.00(c),,9.48,,08/2020,,3,,,2,,,0.1,,,3,,
57,"Beverage, Food and Tobacco - (continued)",Julio & Sons Company,One stop,L + 5.50,,N/A  (6),,12/2018,,0,,,0,,,0,,,0,,
58,"Beverage, Food and Tobacco - (continued)","Mid-America Pet Food, L.L.C.  ^",One stop,L + 5.50(c),,7.19,,12/2021,,5626,,,5559,,,0.6,,,5626,,
59,"Beverage, Food and Tobacco - (continued)","Mid-America Pet Food, L.L.C.  (5)",One stop,L + 5.50,,N/A  (6),,12/2021,,0,,,(1,,,0,,,0,,
60,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC  #",Senior loan,L + 4.50(a),,6.07,,09/2023,,2169,,,2148,,,0.2,,,2169,,
61,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC",Senior loan,L + 4.50,,N/A  (6),,09/2023,,0,,,0,,,0,,,0,,
62,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),,7.73,,05/2021,,8539,,,8397,,,0.9,,,8539,,
63,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,No Value,,7.00 PIK,,05/2026,,109,,,109,,,0,,,113,,
64,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(a),,7.73,,05/2021,,60,,,59,,,0,,,60,,
65,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),,7.94,,05/2021,,24,,,24,,,0,,,24,,
66,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),,7.94,,05/2021,,15,,,15,,,0,,,15,,
67,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),,7.94,,05/2021,,15,,,15,,,0,,,15,,
68,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),,7.94,,05/2021,,14,,,14,,,0,,,14,,
69,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),,7.94,,05/2021,,11,,,11,,,0,,,11,,
70,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),,7.94,,05/2021,,11,,,11,,,0,,,11,,
71,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),,7.94,,05/2021,,10,,,10,,,0,,,10,,
