,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,"ILC Dover, LP  #",Senior loan,L + 4.75(c)(d),7.63,12/2023,9903.0,9820.0,1.0,9903.0
5,Aerospace and Defense,NTS Technical Systems  ^*#,One stop,L + 6.25(a),8.60,06/2021,22356.0,22153.0,2.3,22356.0
6,Aerospace and Defense,NTS Technical Systems  #,One stop,L + 6.25(c),8.87,06/2021,3682.0,3645.0,0.4,3682.0
7,Aerospace and Defense,NTS Technical Systems  (5),One stop,L + 6.25,N/A  (6),06/2021,0.0,,0.0,0.0
8,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (7)",One stop,L + 6.75(a),9.27,12/2019,3899.0,3845.0,0.1,780.0
9,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (7)",One stop,L + 6.75(a),9.27,12/2019,659.0,658.0,0.1,659.0
10,Aerospace and Defense,"Tronair Parent, Inc.  ^",Senior loan,L + 4.75(a)(c),7.56,09/2023,365.0,363.0,0.0,351.0
11,Aerospace and Defense,"Tronair Parent, Inc.",Senior loan,L + 4.50(a)(c)(f),7.28,09/2021,80.0,79.0,0.0,77.0
12,Aerospace and Defense,Whitcraft LLC  ^*,One stop,L + 6.25(c),9.05,04/2023,12407.0,12274.0,1.3,12407.0
13,Aerospace and Defense,Whitcraft LLC  ^,One stop,L + 6.25(c),9.05,04/2023,194.0,191.0,0.0,194.0
14,Aerospace and Defense,Whitcraft LLC  (5),One stop,L + 6.25,N/A  (6),04/2023,0.0,,0.0,0.0
15,Automobile,Automobile,One stop,,,,,,,
16,Automobile,Dent Wizard International Corporation  #,Senior loan,L + 4.00(a),6.51,04/2020,4466.0,4454.0,0.5,4466.0
17,Automobile,"Grease Monkey International, LLC  ^*",Senior loan,L + 5.00(a),7.52,11/2022,4851.0,4804.0,0.5,4851.0
18,Automobile,"Grease Monkey International, LLC",Senior loan,L + 5.00(a),7.52,11/2022,149.0,147.0,0.0,149.0
19,Automobile,"Grease Monkey International, LLC",Senior loan,L + 5.00(a),7.52,11/2022,105.0,104.0,0.0,105.0
20,Automobile,"Grease Monkey International, LLC",Senior loan,L + 5.00(a),7.52,11/2022,76.0,75.0,0.0,76.0
21,Automobile,"Grease Monkey International, LLC",Senior loan,L + 5.00(a)(c),7.52,11/2022,49.0,48.0,0.0,49.0
22,Automobile,"Grease Monkey International, LLC",Senior loan,L + 5.00(c),7.47,11/2022,12.0,11.0,0.0,12.0
23,Automobile,"Power Stop, LLC  #",Senior loan,L + 4.75(c),7.55,10/2025,1355.0,1349.0,0.2,1349.0
24,Automobile,"Quick Quack Car Wash Holdings, LLC  *",One stop,L + 6.50(a),9.02,04/2023,8729.0,8634.0,0.9,8729.0
25,Automobile,"Quick Quack Car Wash Holdings, LLC  *",One stop,L + 6.50(a)(c),8.98,04/2023,150.0,148.0,0.0,150.0
26,Automobile,"Quick Quack Car Wash Holdings, LLC  *",One stop,L + 6.50(a),9.02,04/2023,100.0,99.0,0.0,100.0
27,Automobile,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50(a),8.98,04/2023,40.0,39.0,0.0,40.0
28,Automobile,"Quick Quack Car Wash Holdings, LLC  (5)",One stop,L + 6.50,N/A  (6),04/2023,0.0,,0.0,0.0
29,"Beverage, Food and Tobacco","Beverage, Food and Tobacco",One stop,,,,,,,
30,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.",One stop,L + 5.75(a),8.27,04/2021,6998.0,6933.0,0.7,6998.0
31,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.",One stop,L + 5.75,N/A  (6),04/2021,0.0,0.0,0.0,0.0
32,"Beverage, Food and Tobacco","C. J. Foods, Inc.  ^*",One stop,L + 6.25(c),9.05,05/2020,8560.0,8515.0,0.9,8560.0
33,"Beverage, Food and Tobacco","C. J. Foods, Inc.  ^",One stop,L + 6.25(c),9.05,05/2020,648.0,646.0,0.1,648.0
34,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 6.25(c),8.91,05/2020,517.0,515.0,0.1,517.0
35,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  ^",One stop,L + 5.75(a),8.27,09/2023,10344.0,10201.0,1.1,10344.0
36,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  *",One stop,L + 5.75(a),8.27,09/2023,79.0,78.0,0.0,79.0
37,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.",One stop,P + 4.75(f),10.25,09/2023,65.0,63.0,0.0,65.0
38,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.",One stop,L + 5.75(a),8.27,09/2023,40.0,37.0,0.0,40.0
39,"Beverage, Food and Tobacco","Fintech Midco, LLC  *",One stop,L + 6.00(a),8.53,08/2024,12962.0,12841.0,1.3,12962.0
40,"Beverage, Food and Tobacco","Fintech Midco, LLC  (5)",One stop,L + 6.00,N/A  (6),08/2024,0.0,,0.0,0.0
41,"Beverage, Food and Tobacco","Fintech Midco, LLC  (5)",One stop,L + 6.00,N/A  (6),08/2024,0.0,,0.0,0.0
42,"Beverage, Food and Tobacco","Flavor Producers, LLC  #",Senior loan,L + 4.75(c),7.56,12/2023,2240.0,2213.0,0.2,2240.0
43,"Beverage, Food and Tobacco","Flavor Producers, LLC  (5)",Senior loan,L + 4.75,N/A  (6),12/2022,0.0,,0.0,0.0
44,"Beverage, Food and Tobacco",FWR Holding Corporation  ^,One stop,L + 5.75(a),8.26,08/2023,5246.0,5185.0,0.6,5246.0
45,"Beverage, Food and Tobacco",FWR Holding Corporation,One stop,L + 5.75(a),8.26,08/2023,102.0,101.0,0.0,102.0
46,"Beverage, Food and Tobacco - (continued)","Beverage, Food and Tobacco - (continued)",One stop,,,,,,,
47,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,L + 5.75(a),8.26,08/2023,64.0,64.0,0.0,64.0
48,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,P + 4.75(f),10.25,08/2023,25.0,24.0,0.0,25.0
49,"Beverage, Food and Tobacco - (continued)",Global ID Corporation  *,One stop,L + 6.50(c),9.30,11/2021,5131.0,5094.0,0.5,5131.0
50,"Beverage, Food and Tobacco - (continued)",Global ID Corporation  *,One stop,L + 6.50(c),9.30,11/2021,71.0,71.0,0.0,71.0
51,"Beverage, Food and Tobacco - (continued)",Global ID Corporation,One stop,L + 6.50(c),9.30,11/2021,43.0,42.0,0.0,43.0
52,"Beverage, Food and Tobacco - (continued)",Global ID Corporation,One stop,L + 6.50,N/A  (6),11/2021,0.0,0.0,0.0,0.0
53,"Beverage, Food and Tobacco - (continued)","Mendocino Farms, LLC  (5)",One stop,L + 1.00,N/A  (6),06/2023,0.0,,0.0,0.0
54,"Beverage, Food and Tobacco - (continued)","Mid-America Pet Food, L.L.C.  ^*",One stop,L + 6.00(c),8.80,12/2021,10726.0,10644.0,1.1,10726.0
55,"Beverage, Food and Tobacco - (continued)","Mid-America Pet Food, L.L.C.  (5)",One stop,L + 6.00,N/A  (6),12/2021,0.0,,0.0,0.0
56,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC  ^",Senior loan,L + 4.25(a),6.78,09/2023,2024.0,2007.0,0.2,2024.0
57,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC  *",Senior loan,L + 4.25(a),6.78,09/2023,1094.0,1084.0,0.1,1094.0
58,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC",Senior loan,L + 4.25,N/A  (6),09/2023,0.0,0.0,0.0,0.0
59,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),8.71,05/2021,8379.0,8281.0,0.9,8379.0
60,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,No Value,7.00 PIK,05/2026,116.0,116.0,0.0,116.0
61,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),8.78,05/2021,55.0,55.0,0.0,55.0
62,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 6.00(c),8.80,05/2021,39.0,39.0,0.0,39.0
63,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(a),8.43,05/2021,35.0,34.0,0.0,35.0
64,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  *",One stop,L + 6.00(c),8.80,05/2021,30.0,30.0,0.0,30.0
65,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),8.80,05/2021,30.0,30.0,0.0,30.0
66,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),8.80,05/2021,30.0,30.0,0.0,30.0
67,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 6.00(c),8.80,05/2021,24.0,23.0,0.0,24.0
68,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 6.00(c),8.80,05/2021,15.0,15.0,0.0,15.0
69,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 6.00(c),8.80,05/2021,15.0,15.0,0.0,15.0
70,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 6.00(c),8.80,05/2021,14.0,14.0,0.0,14.0
71,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 6.00(c),8.80,05/2021,11.0,11.0,0.0,11.0
72,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 6.00(c),8.80,05/2021,11.0,11.0,0.0,11.0
73,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 6.00(c),8.80,05/2021,10.0,10.0,0.0,10.0
74,"Beverage, Food and Tobacco - (continued)","Rubio's Restaurants, Inc.  ^*",Senior loan,L + 5.25(c),8.05,10/2019,11145.0,11011.0,1.2,11145.0
