,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Investments,,,,,,,,,,,,,,,,,
1,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,
2,Debt investments,,,,,,,,,,,,,,,,,
3,Aerospace and Defense,,,,,,,,,,,,,,,,,
4,"ILC Dover, LP  #+!~",Senior loan,L + 4.75,(a),6.55,12/2023,,6600,,,6568,,,0.3,,,6600.0,
5,NTS Technical Systems  ^*#+!~,One stop,L + 6.25,(a),7.94,06/2021,25584.0,,25550,,,1.1,,,25584,,,
6,NTS Technical Systems  #+!~,One stop,L + 6.25,(a),7.94,06/2021,4199.0,,4192,,,0.2,,,4199,,,
7,NTS Technical Systems  (5),One stop,L + 6.25,,N/A  (6),06/2021,0.0,,(34,,,0.0,,,0,,,
8,"Tronair Parent, Inc.  ^+",Senior loan,L + 4.75,(c),6.93,09/2023,726.0,,717,,,0.0,,,681,,,
9,"Tronair Parent, Inc.",Senior loan,L + 4.50,(c)(f),6.68,09/2021,160.0,,158,,,0.0,,,148,,,
10,Whitcraft LLC  ^*+,One stop,L + 5.50,(c),7.44,04/2023,41993.0,,42925,,,1.9,,,41993,,,
11,Whitcraft LLC,One stop,L + 5.50,(c),7.44,04/2023,8280.0,,8210,,,0.4,,,8280,,,
12,Whitcraft LLC,One stop,L + 5.50,(c),7.44,04/2023,4527.0,,4524,,,0.2,,,4527,,,
13,Whitcraft LLC  +,One stop,L + 5.50,(c),7.44,04/2023,1000.0,,990,,,0.1,,,1000,,,
14,Whitcraft LLC,One stop,P + 4.50,(f),9.25,04/2023,70.0,,69,,,0.0,,,70,,,
15,Automobile,,,,,,,,,,,,,,,,,
16,Dent Wizard International Corporation  #+!~,Senior loan,L + 4.00,(a),5.80,04/2022,12307.0,,12452,,,0.6,,,12307,,,
17,"Grease Monkey International, LLC  ^*",Senior loan,L + 5.00,(a),6.80,11/2022,7814.0,,7904,,,0.3,,,7735,,,
18,"Grease Monkey International, LLC  #!~",Senior loan,L + 5.00,(a),6.80,11/2022,2388.0,,2480,,,0.1,,,2364,,,
19,"Grease Monkey International, LLC  #!~",Senior loan,L + 5.00,(a),6.80,11/2022,1212.0,,1260,,,0.1,,,1200,,,
20,"Grease Monkey International, LLC  #+!~",Senior loan,L + 5.00,(a),6.80,11/2022,1097.0,,1138,,,0.1,,,1086,,,
21,"Grease Monkey International, LLC",Senior loan,L + 5.00,(a),6.80,11/2022,685.0,,688,,,0.0,,,675,,,
22,"Grease Monkey International, LLC",Senior loan,L + 5.00,(a),6.80,11/2022,110.0,,111,,,0.0,,,108,,,
23,JHCC Holdings LLC,One stop,L + 5.50,(a),7.21,09/2025,15749.0,,15450,,,0.7,,,15749,,,
24,JHCC Holdings LLC,One stop,P + 4.50,(f),9.25,09/2025,36.0,,35,,,0.0,,,36,,,
25,JHCC Holdings LLC  (5),One stop,L + 5.50,,N/A  (6),09/2025,0.0,,(3,,,0.0,,,0,,,
26,Polk Acquisition Corp.  *,Senior loan,L + 5.25,(a),7.05,06/2022,5171.0,,5282,,,0.2,,,5015,,,
27,Polk Acquisition Corp.,Senior loan,L + 5.25,(a)(f),7.09,06/2022,32.0,,31,,,0.0,,,30,,,
28,"Power Stop, LLC  #+!~",Senior loan,L + 4.50,(c),6.44,10/2025,2864.0,,2925,,,0.1,,,2864,,,
29,"Quick Quack Car Wash Holdings, LLC  *",One stop,L + 6.50,(a),8.30,04/2023,13184.0,,13303,,,0.6,,,13184,,,
30,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50,(a),8.25,04/2023,2379.0,,2355,,,0.1,,,2379,,,
31,"Quick Quack Car Wash Holdings, LLC  *+",One stop,L + 6.50,(a),8.30,04/2023,2078.0,,2158,,,0.1,,,2078,,,
32,"Quick Quack Car Wash Holdings, LLC  *+",One stop,L + 6.50,(a),8.30,04/2023,1389.0,,1442,,,0.1,,,1389,,,
33,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50,(a),8.19,04/2023,281.0,,351,,,0.0,,,281,,,
34,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50,(a),8.30,04/2023,80.0,,82,,,0.0,,,80,,,
35,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,
36,"Abita Brewing Co., L.L.C.  +",One stop,L + 6.50,(c),8.41,04/2021,9983.0,,10041,,,0.5,,,9983,,,
37,"Abita Brewing Co., L.L.C.  (5)",One stop,L + 6.50,,N/A  (6),04/2021,0.0,,(1,,,0.0,,,0,,,
38,BJH Holdings III Corp.  #+!~,One stop,L + 5.75,(a),7.55,08/2025,46284.0,,47818,,,2.1,,,46284,,,
39,BJH Holdings III Corp.,One stop,L + 5.75,(a),7.55,08/2025,360.0,,352,,,0.0,,,360,,,
40,"C. J. Foods, Inc.  ^*",One stop,L + 6.25,(c),8.19,05/2020,29104.0,,29645,,,1.3,,,29104,,,
41,"C. J. Foods, Inc.  ^",One stop,L + 6.25,(c),8.19,05/2020,2201.0,,2243,,,0.1,,,2201,,,
42,"C. J. Foods, Inc.",One stop,L + 6.25,,N/A  (6),05/2020,0.0,,27,,,0.0,,,0,,,
43,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,
44,"Cafe Rio Holding, Inc.  ^",One stop,L + 5.75,(a),7.55,09/2023,,18754,,,19000,,,0.9,,,18754.0,
45,"Cafe Rio Holding, Inc.",One stop,L + 5.75,(a),7.55,09/2023,2265.0,,2355,,,0.1,,,2265,,,
46,"Cafe Rio Holding, Inc.  *",One stop,L + 5.75,(a),7.55,09/2023,1438.0,,1495,,,0.1,,,1438,,,
47,"Cafe Rio Holding, Inc.",One stop,L + 5.75,(a),7.55,09/2023,1269.0,,1320,,,0.1,,,1269,,,
48,"Cafe Rio Holding, Inc.",One stop,L + 5.75,(a),7.55,09/2023,334.0,,331,,,0.0,,,334,,,
49,"Cafe Rio Holding, Inc.",One stop,L + 5.75,(a),7.55,09/2023,182.0,,182,,,0.0,,,182,,,
50,"Cafe Rio Holding, Inc.",One stop,P + 4.75,(f),9.50,09/2023,50.0,,50,,,0.0,,,50,,,
51,"Fintech Midco, LLC  *",One stop,L + 5.00,(a),6.80,08/2024,24598.0,,25009,,,1.1,,,24598,,,
52,"Fintech Midco, LLC",One stop,L + 5.00,(a),6.80,08/2024,1139.0,,1185,,,0.1,,,1139,,,
53,"Fintech Midco, LLC  (5)",One stop,L + 5.00,,N/A  (6),08/2024,0.0,,(1,,,0.0,,,0,,,
54,"Fintech Midco, LLC  (5)",One stop,L + 5.00,,N/A  (6),08/2024,0.0,,(1,,,0.0,,,0,,,
55,"Flavor Producers, LLC  #!~",Senior loan,L + 4.75,(c),6.71,12/2023,5019.0,,4898,,,0.2,,,4617,,,
56,"Flavor Producers, LLC",Senior loan,L + 4.75,(c),6.68,12/2022,30.0,,25,,,0.0,,,20,,,
57,FWR Holding Corporation  ^,One stop,L + 5.50,(a),7.29,08/2023,9179.0,,9302,,,0.4,,,9179,,,
58,FWR Holding Corporation,One stop,L + 5.50,(a),7.29,08/2023,1834.0,,1907,,,0.1,,,1834,,,
59,FWR Holding Corporation,One stop,L + 5.50,(a),7.29,08/2023,1160.0,,1205,,,0.1,,,1160,,,
60,FWR Holding Corporation,One stop,L + 5.50,(a),7.29,08/2023,368.0,,379,,,0.0,,,368,,,
61,FWR Holding Corporation,One stop,L + 5.50,(a),7.29,08/2023,275.0,,283,,,0.0,,,275,,,
62,FWR Holding Corporation,One stop,L + 5.50,(a),7.29,08/2023,114.0,,113,,,0.0,,,114,,,
63,FWR Holding Corporation,One stop,L + 5.50,,N/A  (6),08/2023,0.0,,0,,,0.0,,,0,,,
64,FWR Holding Corporation  (5),One stop,L + 5.50,,N/A  (6),08/2023,0.0,,(1,,,0.0,,,0,,,
65,Global ID Corporation  *#+!~,One stop,L + 6.50,(c),8.44,11/2021,14359.0,,14538,,,0.7,,,14359,,,
66,Global ID Corporation  *,One stop,L + 6.50,(c),8.44,11/2021,819.0,,848,,,0.0,,,819,,,
67,Global ID Corporation,One stop,L + 6.50,(c),8.44,11/2021,716.0,,741,,,0.0,,,716,,,
68,Global ID Corporation,One stop,L + 6.50,(c),8.44,11/2021,492.0,,509,,,0.0,,,492,,,
69,Global ID Corporation,One stop,L + 6.50,,N/A  (6),11/2021,0.0,,0,,,0.0,,,0,,,
70,Global ID Corporation,One stop,L + 6.50,,N/A  (6),11/2021,0.0,,0,,,0.0,,,0,,,
71,"Mendocino Farms, LLC",One stop,L + 8.50,(a),2.80 cash/7.50 PIK,06/2023,780.0,,810,,,0.0,,,772,,,
72,"Mendocino Farms, LLC",One stop,L + 8.50,(a),2.80 cash/7.50 PIK,06/2023,613.0,,637,,,0.0,,,607,,,
73,"Mendocino Farms, LLC",One stop,L + 8.50,(a),2.80 cash/7.50 PIK,06/2023,602.0,,598,,,0.0,,,596,,,
74,"Mendocino Farms, LLC",One stop,L + 1.00,(a),2.79 cash/7.50 PIK,06/2023,296.0,,294,,,0.0,,,293,,,
75,"Mendocino Farms, LLC  (5)",One stop,L + 1.00,,N/A  (6),06/2023,0.0,,0,,,0.0,,,(4,,,
76,"Mendocino Farms, LLC  (5)",One stop,L + 1.00,,N/A  (6),06/2023,0.0,,(3,,,0.0,,,(4,,,
77,"Mid-America Pet Food, L.L.C.  ^*",One stop,L + 5.50,(a),7.30,12/2021,22457.0,,22881,,,1.0,,,22457,,,
78,"Mid-America Pet Food, L.L.C.",One stop,L + 5.50,,N/A  (6),12/2021,0.0,,0,,,0.0,,,0,,,
79,"NBC Intermediate, LLC  #+!~",Senior loan,L + 4.25,(a)(c),6.24,09/2023,2359.0,,2393,,,0.1,,,2359,,,
80,"NBC Intermediate, LLC  *",Senior loan,L + 4.25,(c),6.45,09/2023,2309.0,,2343,,,0.1,,,2309,,,
81,"NBC Intermediate, LLC  ^",Senior loan,L + 4.25,(c),6.45,09/2023,2024.0,,2011,,,0.1,,,2024,,,
82,"NBC Intermediate, LLC  +",Senior loan,L + 4.25,(a),6.05,09/2023,1000.0,,990,,,0.1,,,1000,,,
83,"NBC Intermediate, LLC",Senior loan,L + 4.25,,N/A  (6),09/2023,0.0,,0,,,0.0,,,0,,,
84,"Purfoods, LLC",One stop,L + 5.50,(a),7.30,05/2021,16151.0,,16387,,,0.7,,,16151,,,
85,"Purfoods, LLC",One stop,L + 5.50,(a),7.30,05/2021,541.0,,559,,,0.0,,,541,,,
86,"Purfoods, LLC  ^",One stop,L + 5.50,(a),7.30,05/2021,390.0,,404,,,0.0,,,390,,,
87,"Purfoods, LLC  #!~",One stop,L + 5.50,(a),7.30,05/2021,295.0,,305,,,0.0,,,295,,,
88,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,
89,"Purfoods, LLC  #!~",One stop,L + 5.50,(a),7.30,05/2021,,295,,,305,,,0.0,,,295.0,
90,"Purfoods, LLC  *",One stop,L + 5.50,(a),7.30,05/2021,294.0,,303,,,0.0,,,294,,,
91,"Purfoods, LLC",One stop,L + 5.50,(a),7.30,05/2021,253.0,,256,,,0.0,,,253,,,
92,"Purfoods, LLC",One stop,No Value,,7.00 PIK,05/2026,241.0,,246,,,0.0,,,241,,,
93,"Purfoods, LLC",One stop,L + 5.50,(a),7.24,05/2021,150.0,,151,,,0.0,,,150,,,
94,"Purfoods, LLC",One stop,L + 5.50,(a),7.30,05/2021,148.0,,153,,,0.0,,,148,,,
95,"Purfoods, LLC  ^",One stop,L + 5.50,(a),7.30,05/2021,48.0,,47,,,0.0,,,48,,,
96,"Purfoods, LLC  ^",One stop,L + 5.50,(a),7.30,05/2021,30.0,,30,,,0.0,,,30,,,
97,"Purfoods, LLC  ^",One stop,L + 5.50,(a),7.30,05/2021,30.0,,30,,,0.0,,,30,,,
98,"Purfoods, LLC  ^",One stop,L + 5.50,(a),7.30,05/2021,28.0,,28,,,0.0,,,28,,,
99,"Purfoods, LLC  ^",One stop,L + 5.50,(a),7.30,05/2021,22.0,,22,,,0.0,,,22,,,
100,"Purfoods, LLC  ^",One stop,L + 5.50,(a),7.30,05/2021,22.0,,22,,,0.0,,,22,,,
101,"Purfoods, LLC  ^",One stop,L + 5.50,(a),7.30,05/2021,20.0,,20,,,0.0,,,20,,,
102,"Rubio's Restaurants, Inc.  ^*",Senior loan,L + 11.50,(c),9.46 cash/4.00 PIK,04/2021,11390.0,,11212,,,0.5,,,11497,,,
103,"Rubio's Restaurants, Inc.",Senior loan,L + 11.50,(a)(f),9.93 cash/4.00 PIK,04/2021,160.0,,157,,,0.0,,,162,,,
104,"SSRG Holdings, LLC",One stop,L + 5.25,(a),7.05,11/2025,925.0,,907,,,0.0,,,916,,,
105,"SSRG Holdings, LLC",One stop,L + 5.25,(a),7.05,11/2025,35.0,,34,,,0.0,,,34,,,
106,Wood Fired Holding Corp.  *,One stop,L + 5.75,(d),7.67,12/2023,14108.0,,14364,,,0.6,,,14108,,,
107,Wood Fired Holding Corp.  (5),One stop,L + 5.75,,N/A  (6),12/2023,0.0,,(1,,,0.0,,,0,,,
108,Wood Fired Holding Corp.,One stop,L + 5.75,,N/A  (6),12/2023,0.0,,0,,,0.0,,,0,,,
109,Broadcasting and Entertainment,,,,,,,,,,,,,,,,,
110,"TouchTunes Interactive Networks, Inc.  ^+",Senior loan,L + 4.75,(a),6.55,05/2021,2102.0,,2127,,,0.1,,,2102,,,
111,Buildings and Real Estate,,,,,,,,,,,,,,,,,
112,"Brooks Equipment Company, LLC  ^*",One stop,L + 5.00,(b)(c),6.91,08/2020,26097.0,,26243,,,1.2,,,26097,,,
113,"Brooks Equipment Company, LLC  (5)",One stop,L + 5.00,,N/A  (6),08/2020,0.0,,(2,,,0.0,,,0,,,
114,"Jensen Hughes, Inc.",Senior loan,L + 4.50,(a)(f),6.30,03/2024,1013.0,,1052,,,0.1,,,1013,,,
115,"Jensen Hughes, Inc.  +",Senior loan,L + 4.50,(a)(f),6.30,03/2024,921.0,,937,,,0.0,,,921,,,
116,"Jensen Hughes, Inc.",Senior loan,L + 4.50,(a)(f),6.30,03/2024,442.0,,459,,,0.0,,,442,,,
117,"Jensen Hughes, Inc.  +",Senior loan,L + 4.50,(a)(f),6.30,03/2024,281.0,,286,,,0.0,,,281,,,
118,MRI Software LLC  ^,One stop,L + 5.75,(a),7.55,06/2023,41789.0,,42186,,,1.9,,,41789,,,
119,MRI Software LLC  ^*+,One stop,L + 5.75,(a),7.55,06/2023,30613.0,,31240,,,1.4,,,30613,,,
120,MRI Software LLC  #+!~,One stop,L + 5.75,(a),7.55,06/2023,7582.0,,7798,,,0.3,,,7582,,,
121,MRI Software LLC  #!~,One stop,L + 5.75,(a),7.55,06/2023,6544.0,,6805,,,0.3,,,6544,,,
122,MRI Software LLC  #!~,One stop,L + 5.75,(a),7.55,06/2023,4592.0,,4769,,,0.2,,,4592,,,
123,MRI Software LLC  ^,One stop,L + 5.75,(a),7.55,06/2023,3223.0,,3352,,,0.1,,,3223,,,
124,MRI Software LLC  #+!~,One stop,L + 5.75,(a),7.55,06/2023,2063.0,,2146,,,0.1,,,2063,,,
125,MRI Software LLC,One stop,L + 5.75,(a),7.55,06/2023,1494.0,,1491,,,0.1,,,1494,,,
126,MRI Software LLC,One stop,L + 5.75,(a),7.55,06/2023,1204.0,,1250,,,0.1,,,1204,,,
127,MRI Software LLC  +,One stop,L + 5.75,(a),7.55,06/2023,906.0,,897,,,0.0,,,906,,,
128,MRI Software LLC  ^,One stop,L + 5.75,(a),7.55,06/2023,694.0,,706,,,0.0,,,694,,,
129,MRI Software LLC  *,One stop,L + 5.75,(a),7.55,06/2023,292.0,,289,,,0.0,,,292,,,
130,Buildings and Real Estate - (continued),,,,,,,,,,,,,,,,,
131,MRI Software LLC  #!~,One stop,L + 5.75,(a),7.55,06/2023,,291,,,289,,,0.0,,,291.0,
132,MRI Software LLC  *,One stop,L + 5.75,(a),7.55,06/2023,192.0,,190,,,0.0,,,192,,,
133,MRI Software LLC  #!~,One stop,L + 5.75,(a),7.55,06/2023,96.0,,96,,,0.0,,,96,,,
134,MRI Software LLC  (5),One stop,L + 5.75,,N/A  (6),06/2023,0.0,,(2,,,0.0,,,0,,,
135,MRI Software LLC,One stop,L + 5.75,,N/A  (6),06/2023,0.0,,0,,,0.0,,,0,,,
