,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Aerospace and Defense,"ILC Dover, LP",One stop,P + 4.50,7.75,03/2019,,360,,352,,0,,351
1,Aerospace and Defense,"ILC Dover, LP^",One stop,L + 5.50,6.50,03/2020,,18713,,18579,,2.6,,18572
2,Aerospace and Defense,NTS Technical Systems,One stop,L + 6.00,7.25,11/2018,,314,,284,,0,,298
3,Aerospace and Defense,NTS Technical Systems*^,One stop,L + 6.00,7.25,11/2018,,18918,,18606,,2.6,,18729
4,Aerospace and Defense,NTS Technical Systems  (3),One stop,L + 6.00,(4),11/2018,,0,,(63,,0,,(30
5,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (3)",One stop,L + 6.75,(4),12/2017,,0,,(7,,0,,0
6,Aerospace and Defense,"Tresys Technology Holdings, Inc.",One stop,L + 6.75,8.00,12/2017,,3899,,3832,,0.3,,2340
7,Aerospace and Defense,Whitcraft LLC,Subordinated debt,No Value,12.00,12/2018,,1877,,1856,,0.3,,1877
8,Aerospace and Defense,"White Oak Technologies, Inc.  (3)",Senior loan,L + 5.00,(4),03/2017,,0,,(7,,0,,0
9,Aerospace and Defense,"White Oak Technologies,  Inc.*",Senior loan,L + 5.00,6.25,03/2017,,1721,,1694,,0.2,,1721
10,Automobile,"ABRA, Inc.  (3)(5)",One stop,L + 6.00,(4),05/2018,,0,,(16,,0,,0
11,Automobile,"ABRA, Inc.*  (5)",One stop,L + 6.00,7.25,05/2018,,31138,,30885,,4.3,,31138
12,Automobile,"ABRA, Inc.  (5)",One stop,L + 6.00,7.25,05/2018,,5166,,5135,,0.7,,5166
13,Automobile,"ABRA, Inc.  (5)",One stop,L + 6.00,7.25,05/2018,,6861,,6818,,0.9,,6861
14,Automobile,"ABRA, Inc.*^",One stop,L + 7.75,9.00,05/2018,,4334,,4271,,0.6,,4334
15,Automobile,"American Driveline Systems, Inc.",Senior loan,L + 5.50,7.16,01/2016,,300,,296,,0,,261
16,Automobile,"American Driveline Systems, Inc.*",Senior loan,L + 5.50,7.00,01/2016,,2804,,2777,,0.4,,2524
17,Automobile,"K&N Engineering, Inc.  (3)",Senior loan,L + 4.50,(4),04/2018,,0,,(6,,0,,0
18,Automobile,"K&N Engineering, Inc.*^",Senior loan,P + 3.50,6.75,04/2018,,6799,,6719,,0.9,,6799
19,Automobile,"Take 5 Oil Change, L.L.C.  (3)",Senior loan,L + 5.25,(4),07/2018,,0,,(3,,0,,0
20,Automobile,"Take 5 Oil Change, L.L.C.^",Senior loan,L + 4.75,5.75,07/2018,,2953,,2935,,0.4,,2953
21,Automobile,"Tectum Holdings, Inc.*",Senior loan,L + 4.25,5.25,09/2018,,874,,872,,0.1,,874
