,0,1,2,3,4,5,6,7,8,9,10,11
0,Investments,,,,,,,,,,,
1,United States,,,,,,,,,,,
2,Debt investments,,,,,,,,,,,
3,Aerospace and Defense,,,,,,,,,,,
4,"ILC Dover, LP",One stop,P + 6.00,,9.25,,03/2019,721,708,0.1,637,
5,"ILC Dover, LP*^",One stop,L + 7.00,,8.00,,03/2020,18241,18047,2.1,16964,
6,"ILC Industries, Inc.  (3)",One stop,L + 4.75,,(4),,07/2020,0,(24,0,0,
7,"ILC Industries, Inc.*^",One stop,L + 4.75,,5.75,,07/2020,18036,17863,2.2,18036,
8,NTS Technical Systems  (3),One stop,L + 6.00,,(4),,06/2021,0,(49,0,(50,
9,NTS Technical Systems  (3),One stop,L + 6.00,,(4),,06/2021,0,(105,0,(106,
10,NTS Technical Systems*^,One stop,L + 6.00,,7.00,,06/2021,26441,25983,3.2,25978,
11,"Tresys Technology Holdings, Inc.",One stop,L + 6.75,,8.00,,12/2017,349,344,0,349,
12,"Tresys Technology Holdings, Inc.  (6)",One stop,L + 6.75,,8.00,,12/2017,3899,3845,0.1,975,
13,Whitcraft LLC,One stop,P + 4.75,,8.00,,05/2020,22,21,0,21,
14,Whitcraft LLC,One stop,L + 6.00,,7.00,,05/2020,8675,8590,1.1,8588,
15,Automobile,,,,,,,,,,,
16,"American Driveline Systems, Inc.",Senior loan,P + 4.50,,7.75,,03/2020,48,40,0,48,
17,"American Driveline Systems, Inc.*",Senior loan,L + 5.50,,6.50,,03/2020,1821,1763,0.2,1821,
18,CH Hold Corp. (Caliber Collision),Senior loan,L + 4.75,,5.75,,11/2019,216,213,0,216,
19,CH Hold Corp. (Caliber Collision),Senior loan,L + 4.75,,5.75,,11/2019,1867,1850,0.2,1867,
20,Dent Wizard International Corporation*,Senior loan,L + 4.75,,5.75,,04/2020,2208,2197,0.3,2196,
21,"Integrated Supply Network, LLC",Senior loan,P + 3.50,,6.75,,02/2020,758,734,0.1,758,
22,"Integrated Supply Network, LLC*^",Senior loan,L + 4.75,,5.75,,02/2020,14754,14580,1.8,14754,
23,"K&N Engineering, Inc.",Senior loan,L + 4.25,,5.25,,07/2019,136,121,0,134,
24,"K&N Engineering, Inc.",Senior loan,L + 4.25,,5.25,,07/2019,35,31,0,32,
25,"K&N Engineering, Inc.^",Senior loan,L + 4.25,,5.25,,07/2019,2890,2848,0.4,2833,
26,"Take 5 Oil Change, L.L.C.",Senior loan,L + 4.75,,5.75,,07/2018,297,292,0,297,
27,"Take 5 Oil Change, L.L.C.*^",Senior loan,L + 4.75,,5.75,,07/2018,5244,5216,0.7,5244,
28,Banking,,,,,,,,,,,
29,HedgeServ Holding L.P.  (3),One stop,L + 6.00,,(4),,07/2018,0,(7,0,0,
30,HedgeServ Holding L.P.^,One stop,L + 8.00,,7.00 cash/2.00 PIK,,07/2018,17090,16969,2.1,17090,
31,Prommis Fin Co.*  (6),Senior loan,P + 13.75,,13.75,,07/2018,119,119,0,0,
32,Prommis Fin Co.  (6),Senior loan,P + 10.00,,4.44 cash/11.50 PIK,,07/2018,82,81,0,0,
33,"Beverage, Food and Tobacco",,,,,,,,,,,
34,"Abita Brewing Co., L.L.C.  (3)",One stop,L + 5.75,,(4),,07/2018,0,(1,0,(2,
35,"Abita Brewing Co., L.L.C.",One stop,L + 5.75,,6.75,,07/2018,8094,7937,1.0,8013,
36,ABP Corporation,Senior loan,P + 3.50,,7.25,,07/2018,167,162,0,167,
37,ABP Corporation*,Senior loan,L + 4.75,,6.00,,07/2018,4758,4704,0.6,4758,
38,"Atkins Nutritionals, Inc*^",One stop,L + 5.00,,6.25,,07/2018,17490,17300,2.2,17534,
39,"Atkins Nutritionals, Inc*^",One stop,L + 8.50,,9.75,,07/2018,21636,21378,2.7,21744,
40,"C. J. Foods, Inc.  (3)",One stop,L + 5.50,,(4),,07/2018,0,(10,0,0,
41,"C. J. Foods, Inc.  (3)",One stop,L + 5.50,,(4),,07/2018,0,(8,0,0,
42,"C. J. Foods, Inc.",One stop,L + 5.50,,6.50,,07/2018,3200,3162,0.4,3200,
43,"Candy Intermediate Holdings, Inc. (Ferrara  Candy)^",Senior loan,L + 6.25,,7.50,,07/2018,4850,4766,0.6,4838,
44,"Firebirds International, LLC",One stop,L + 6.25,,7.50,,07/2018,304,300,0,304,
45,"Firebirds International, LLC  (3)",One stop,L + 6.25,,(4),,07/2018,0,(4,0,0,
46,"Firebirds International, LLC  (3)",One stop,L + 6.25,,(4),,07/2018,0,(2,0,0,
47,"Firebirds International, LLC*",One stop,L + 6.25,,7.50,,07/2018,1088,1076,0.1,1088,
48,"First Watch Restaurants, Inc.  (3)",One stop,L + 6.00,,(4),,07/2018,0,(12,0,(13,
49,"First Watch Restaurants, Inc.  (3)",One stop,L + 6.00,,(4),,07/2018,0,(12,0,(13,
50,"First Watch Restaurants, Inc.  (3)",One stop,L + 6.00,,(4),,07/2018,0,(11,0,(11,
51,"First Watch Restaurants, Inc.  (3)",One stop,L + 6.00,,(4),,07/2018,0,(10,0,(30,
52,"First Watch Restaurants, Inc.^",One stop,L + 6.00,,7.00,,07/2018,25926,25650,3.2,25668,
53,IT'SUGAR LLC,Subordinated debt,No Value,,5.00,,07/2018,1707,1707,0.2,1625,
54,IT'SUGAR LLC,Senior loan,L + 7.50,,9.00,,07/2018,7508,7422,0.9,7508,
55,Julio & Sons Company  (3),One stop,L + 5.50,,(4),,07/2018,0,(23,0,0,
56,Julio & Sons Company,One stop,L + 5.50,,6.50,,07/2018,329,322,0,329,
57,Julio & Sons Company*,One stop,L + 5.50,,6.50,,07/2018,6924,6880,0.9,6924,
58,"Northern Brewer, LLC",One stop,P + 7.25,,8.50 cash/2.00 PIK,,07/2018,694,684,0.1,508,
59,"Northern Brewer, LLC",One stop,P + 7.25,,8.50 cash/2.00 PIK,,07/2018,6402,6303,0.6,4802,
60,Surfside Coffee Company LLC  (3),One stop,L + 5.25,,(4),,07/2018,0,(10,0,(10,
61,Surfside Coffee Company LLC,One stop,L + 5.25,,6.25,,07/2018,3,3,0,3,
62,Surfside Coffee Company LLC^,One stop,L + 5.25,,6.25,,07/2018,4526,4481,0.6,4481,
63,"Tate's Bake Shop, Inc.  (3)",Senior loan,L + 4.75,,(4),,07/2018,0,(5,0,0,
64,"Tate's Bake Shop, Inc.  (3)",Senior loan,L + 4.75,,(4),,07/2018,0,(4,0,0,
65,"Tate's Bake Shop, Inc.^",Senior loan,L + 4.75,,5.75,,07/2018,2985,2960,0.4,2985,
66,Uinta Brewing Company,One stop,P + 4.75,,8.00,,07/2018,277,271,0,277,
67,Uinta Brewing Company^,One stop,L + 6.00,,7.00,,07/2018,3212,3185,0.4,3212,
68,United Craft Brews LLC  (3),One stop,L + 6.25,,(4),,07/2018,0,(16,0,0,
69,United Craft Brews LLC,One stop,L + 6.25,,7.25,,07/2018,610,594,0.1,610,
70,United Craft Brews LLC,One stop,L + 6.25,,7.25,,07/2018,12188,11932,1.5,12188,
71,Broadcasting and Entertainment,,,,,,,,,,,
72,Extreme Reach Inc.,Senior loan,L + 5.75,,6.75,,07/2018,5860,5801,0.7,5849,
73,"TouchTunes Interactive Networks, Inc.^",Senior loan,L + 4.75,,5.75,,07/2018,1496,1488,0.2,1499,
74,Building and Real Estate,,,,,,,,,,,
75,"Accruent, LLC*",One stop,L + 6.25,,7.28,,07/2018,4733,4691,0.6,4733,
76,"Brooks Equipment Company, LLC  (3)",One stop,L + 5.75,,(4),,07/2018,0,(17,0,0,
77,"Brooks Equipment Company, LLC*^",One stop,L + 5.75,,6.75,,07/2018,25776,25449,3.2,25776,
78,"ITEL Laboratories, Inc.  (3)",Senior loan,L + 4.75,,(4),,07/2018,0,(1,0,0,
79,"ITEL Laboratories, Inc.*",Senior loan,L + 4.75,,6.00,,07/2018,698,693,0.1,698,
80,"Chemicals, Plastics and Rubber",,,,,,,,,,,
81,"Flexan, LLC  (3)",One stop,L + 5.75,,(4),,07/2018,0,(6,0,0,
82,"Flexan, LLC",One stop,L + 5.75,,6.75,,07/2018,6168,6111,0.8,6168,
83,"Flexan, LLC",One stop,L + 5.75,,(4),,07/2018,0,0,0,0,
84,"Containers, Packaging and Glass",,,,,,,,,,,
85,Fort Dearborn Company*  (8),Senior loan,P + 3.25,,6.50,,07/2018,7,6,0,7,
86,Fort Dearborn Company*^,Senior loan,L + 4.25,,5.25,,07/2018,581,578,0.1,581,
87,Fort Dearborn Company*  (8),Senior loan,P + 3.75,,7.00,,07/2018,24,24,0,24,
88,Fort Dearborn Company*^,Senior loan,L + 4.75,,5.75,,07/2018,2628,2615,0.3,2628,
89,"Packaging Coordinators, Inc.*^",Senior loan,L + 4.25,,5.25,,07/2018,14888,14756,1.9,14888,
90,"Packaging Coordinators, Inc.",Second lien,L + 8.00,,9.00,,07/2018,10000,9910,1.2,9900,
