,0,1,2,3,4,5,6,7,8,9,10,11,12
0,"Tate's Bake Shop, Inc.  #",Senior loan,L + 5.00,6.00,08/2019,599,,594,,0.1,,599,
1,Uinta Brewing Company,One stop,L + 7.00,8.00,08/2019,308,,305,,0,,291,
2,Uinta Brewing Company^,One stop,L + 7.00,8.00,08/2019,3734,,3711,,0.5,,3586,
3,United Craft Brews LLC,One stop,L + 6.25,7.25,03/2020,813,,800,,0.1,,813,
4,United Craft Brews LLC,One stop,L + 6.25,7.25,03/2020,1215,,1203,,0.1,,1215,
5,United Craft Brews LLC,One stop,L + 6.25,7.25,03/2020,12066,,11867,,1.5,,12066,
6,Broadcasting and Entertainment,"TouchTunes Interactive Networks, Inc.^",Senior loan,L + 4.75,5.75,05/2021,1481,1475,,0.2,,1490,
7,Building and Real Estate,"Brooks Equipment Company, LLC  (4)",One stop,L + 5.00,N/A  (5),08/2020,0,(14,,0,,0,
8,Building and Real Estate,"Brooks Equipment Company, LLC*^",One stop,L + 5.00,6.00,08/2020,23780,23535,,2.9,,23780,
9,Building and Real Estate,"ITEL Laboratories, Inc.",Senior loan,L + 4.75,N/A  (5),06/2018,0,0,,0,,0,
10,Building and Real Estate,"ITEL Laboratories, Inc.*",Senior loan,L + 4.75,6.00,06/2018,635,632,,0.1,,635,
11,"Containers, Packaging and Glass",Fort Dearborn Company*^,Senior loan,L + 4.25,5.25,10/2017,523,522,,0.1,,523,
12,"Containers, Packaging and Glass",Fort Dearborn Company*^,Senior loan,L + 4.75,5.95,10/2018,2981,2969,,0.4,,2981,
13,"Containers, Packaging and Glass","Packaging Coordinators, Inc.",Second lien,L + 8.00,9.00,08/2022,10000,9923,,1.2,,10000,
14,"Containers, Packaging and Glass","Packaging Coordinators, Inc.*",Senior loan,P + 3.25,6.75,08/2021,2828,2808,,0.3,,2828,
15,Diversified Conglomerate Manufacturing,"Chase Industries, Inc.  #",One stop,L + 5.75,6.75,09/2020,3368,3334,,0.4,,3368,
16,Diversified Conglomerate Manufacturing,"Chase Industries, Inc.  (4)",One stop,L + 5.75,N/A  (5),09/2020,0,(15,,0,,0,
17,Diversified Conglomerate Manufacturing,"Chase Industries, Inc.*  ^#",One stop,L + 5.75,6.75,09/2020,20723,20577,,2.5,,20723,
18,Diversified Conglomerate Manufacturing,"Harvey Tool Company, LLC",Senior loan,L + 5.00,N/A  (5),03/2019,0,0,,0,,0,
19,Diversified Conglomerate Manufacturing,"Harvey Tool Company, LLC*",Senior loan,L + 5.00,6.01,03/2020,3115,3090,,0.4,,3115,
20,Diversified Conglomerate Manufacturing,"Inventus Power, Inc  (4)",One stop,L + 5.50,N/A  (5),04/2020,0,(3,,0,,(31,
21,Diversified Conglomerate Manufacturing,"Inventus Power, Inc*^",One stop,L + 5.50,6.50,04/2020,8409,8366,,1.0,,7904,
22,Diversified Conglomerate Manufacturing,Onicon Incorporated  (4),One stop,L + 6.00,N/A  (5),04/2020,0,(6,,0,,0,
23,Diversified Conglomerate Manufacturing,Onicon Incorporated  *#,One stop,L + 6.00,7.00,04/2020,10403,10306,,1.2,,10403,
24,Diversified Conglomerate Manufacturing,"Pasternack Enterprises, Inc.  #",Senior loan,L + 5.00,6.00,05/2022,1644,1628,,0.2,,1627,
25,Diversified Conglomerate Manufacturing,"PetroChoice Holdings, Inc.^",Senior loan,L + 5.00,6.00,08/2022,1772,1721,,0.2,,1737,
26,Diversified Conglomerate Manufacturing,"Plex Systems, Inc.  (4)",One stop,L + 7.50,N/A  (5),06/2018,0,(26,,0,,0,
27,Diversified Conglomerate Manufacturing,"Plex Systems, Inc.*^",One stop,L + 7.50,8.75,06/2018,18797,18447,,2.3,,18797,
28,Diversified Conglomerate Manufacturing,"Sunless Merger Sub, Inc.",Senior loan,P + 4.00,7.50,07/2019,151,150,,0,,149,
29,Diversified Conglomerate Manufacturing,"Sunless Merger Sub, Inc.",Senior loan,L + 5.25,6.50,07/2019,1518,1523,,0.2,,1488,
30,Diversified Conglomerate Service,"Accellos, Inc.  (4)",One stop,L + 5.75,N/A  (5),07/2020,0,(14,,0,,0,
31,Diversified Conglomerate Service,"Accellos, Inc.*  ^#",One stop,L + 5.75,6.75,07/2020,31051,30790,,3.8,,31051,
32,Diversified Conglomerate Service,"Actiance, Inc.",One stop,L + 9.00,N/A  (5),04/2018,0,0,,0,,0,
33,Diversified Conglomerate Service,"Actiance, Inc.*^",One stop,L + 9.00,10.00,04/2018,2900,2820,,0.3,,2900,
34,Diversified Conglomerate Service,Agility Recovery Solutions Inc.  (4),One stop,L + 6.50,N/A  (5),03/2020,0,(7,,0,,0,
35,Diversified Conglomerate Service,Agility Recovery Solutions Inc.*^,One stop,L + 6.50,7.50,03/2020,14128,13975,,1.7,,14128,
36,Diversified Conglomerate Service,Bomgar Corporation  (4),One stop,L + 7.50,N/A  (5),06/2022,0,(2,,0,,(1,
37,Diversified Conglomerate Service,Bomgar Corporation^,One stop,L + 7.50,8.50,06/2022,4900,4802,,0.6,,4851,
38,Diversified Conglomerate Service,"CIBT Holdings, Inc^",Senior loan,L + 5.25,6.25,06/2022,1978,1958,,0.2,,1958,
39,Diversified Conglomerate Service,"CIBT Holdings, Inc",Senior loan,L + 5.25,N/A  (5),06/2022,0,0,,0,,0,
40,Diversified Conglomerate Service,"Daxko, LLC  (4)",One stop,L + 5.00,N/A  (5),03/2020,0,(21,,0,,0,
41,Diversified Conglomerate Service,"Daxko, LLC  *^#",One stop,L + 5.00,6.00,03/2020,28870,28580,,3.5,,28870,
42,Diversified Conglomerate Service,"DTI Holdco, Inc.  #",Senior loan,L + 5.00,6.00,08/2020,8281,8219,,1.0,,8281,
43,Diversified Conglomerate Service,"EGD Security Systems, LLC  (4)",One stop,L + 6.25,N/A  (5),06/2022,0,(2,,0,,(2,
44,Diversified Conglomerate Service,"EGD Security Systems, LLC",One stop,L + 6.25,7.25,06/2022,11114,10866,,1.3,,11002,
45,Diversified Conglomerate Service,"EGD Security Systems, LLC  (4)",One stop,L + 6.25,N/A  (5),06/2022,0,(2,,0,,(2,
46,Diversified Conglomerate Service,"HealthcareSource HR, Inc.  (4)",One stop,L + 6.75,N/A  (5),05/2020,0,(1,,0,,0,
47,Diversified Conglomerate Service,"HealthcareSource HR, Inc.  #",One stop,L + 6.75,7.75,05/2020,17769,17439,,2.2,,17769,
48,Diversified Conglomerate Service,"Host Analytics, Inc.",One stop,No Value,8.50 cash/2.25 PIK,02/2020,734,730,,0.1,,734,
