,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Aerospace and Defense,"ILC Dover, LP  #",Senior loan,L + 4.75(c)(f),7.09,12/2023,,,9978,,,,9886,,,1.0,,,9978.0
1,Aerospace and Defense,NTS Technical Systems  *^#,One stop,L + 6.25(a),8.23,6/2021,,21773.0,,,21544,,,2.3,,,21773,,
2,Aerospace and Defense,NTS Technical Systems  (5),One stop,L + 6.25,N/A  (6),6/2021,,0.0,,,(58,,,0.0,,,0,,
3,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (7)",One stop,L + 6.75(a),8.84,12/2018,,3899.0,,,3845,,,0.1,,,1170,,
4,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (7)",One stop,L + 6.75(a),8.84,12/2018,,659.0,,,658,,,0.1,,,659,,
5,Aerospace and Defense,"Tronair Parent, Inc.  ^",Senior loan,L + 4.75(c)(f),7.11,9/2023,,367.0,,,364,,,0.0,,,367,,
6,Aerospace and Defense,"Tronair Parent, Inc.",Senior loan,L + 4.50(a)(c)(f),7.33,9/2021,,55.0,,,54,,,0.0,,,55,,
7,Aerospace and Defense,Whitcraft LLC  *^,One stop,L + 6.25(c),8.58,4/2023,,12470.0,,,12321,,,1.3,,,12470,,
8,Aerospace and Defense,Whitcraft LLC  ^,One stop,L + 6.25(c),8.58,4/2023,,195.0,,,192,,,0.0,,,195,,
9,Aerospace and Defense,Whitcraft LLC  (5),One stop,L + 6.25,N/A  (6),4/2023,,0.0,,,(1,,,0.0,,,0,,
10,Aerospace and Defense,Whitcraft LLC  (5),One stop,L + 6.25,N/A  (6),4/2023,,0.0,,,(2,,,0.0,,,0,,
11,Automobile,Dent Wizard International Corporation  *,Senior loan,L + 4.00(a),6.10,4/2020,,4488.0,,,4472,,,0.5,,,4488,,
12,Automobile,"Grease Monkey International, LLC  *^",Senior loan,L + 4.75(a),6.84,11/2022,,4875.0,,,4822,,,0.5,,,4875,,
13,Automobile,"Grease Monkey International, LLC",Senior loan,L + 4.75(a),6.73,11/2022,,76.0,,,76,,,0.0,,,76,,
14,Automobile,"Grease Monkey International, LLC",Senior loan,L + 4.75(a),6.84,11/2022,,26.0,,,25,,,0.0,,,26,,
15,Automobile,"Grease Monkey International, LLC  (5)",Senior loan,L + 4.75,N/A  (6),11/2022,,0.0,,,(2,,,0.0,,,0,,
16,Automobile,"Quick Quack Car Wash Holdings, LLC  #",One stop,L + 6.50(a),8.59,4/2023,,8773.0,,,8668,,,0.9,,,8686,,
17,Automobile,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50(a),8.57,4/2023,,50.0,,,49,,,0.0,,,50,,
18,Automobile,"Quick Quack Car Wash Holdings, LLC  (5)",One stop,L + 6.50,N/A  (6),4/2023,,0.0,,,(6,,,0.0,,,(5,,
19,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.",One stop,L + 5.75(a),7.84,04/2021,,7086.0,,,7007,,,0.7,,,7086,,
20,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.",One stop,L + 5.75,N/A  (6),04/2021,,0.0,,,0,,,0.0,,,0,,
