,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Investments,,,,,,,,,,,,,,,,
1,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,
2,Debt investments,,,,,,,,,,,,,,,,
3,Aerospace and Defense,,,,,,,,,,,,,,,,
4,"ILC Dover, LP  ~",Senior loan,L + 4.75,(c)(d),6.96,12/2023,,9853,,,9778,,,1.0,,,9853.0
5,NTS Technical Systems  ^*~,One stop,L + 6.25,(a),8.69,06/2021,22377.0,,22160,,,2.3,,,22377,,
6,NTS Technical Systems  ~,One stop,L + 6.25,(a),8.69,06/2021,3672.0,,3635,,,0.4,,,3672,,
7,NTS Technical Systems  (5),One stop,L + 6.25,,N/A  (6),06/2021,0.0,,(46,,,0.0,,,0,,
8,"Tresys Technology Holdings, Inc.  (7)",One stop,L + 6.75,(a),9.15,06/2020,3899.0,,3844,,,0.3,,,3119,,
9,"Tresys Technology Holdings, Inc.  (7)",One stop,L + 6.75,(a),9.15,06/2020,659.0,,658,,,0.1,,,659,,
10,"Tronair Parent, Inc.  ^",Senior loan,L + 4.75,(c),7.57,09/2023,363.0,,361,,,0.1,,,342,,
11,"Tronair Parent, Inc.",Senior loan,L + 4.50,(c)(f),7.33,09/2021,80.0,,79,,,0.0,,,76,,
12,Whitcraft LLC  ^*,One stop,L + 5.50,(c),7.83,04/2023,16202.0,,16017,,,1.7,,,16040,,
13,Whitcraft LLC  (5),One stop,L + 5.50,,N/A  (6),04/2023,0.0,,(1,,,0.0,,,(1,,
14,Whitcraft LLC  (5),One stop,L + 5.50,,N/A  (6),04/2023,0.0,,(8,,,0.0,,,(9,,
15,Automobile,,,,,,,,,,,,,,,,
16,Dent Wizard International Corporation  ~,Senior loan,L + 4.00,(a),6.40,04/2022,8354.0,,8328,,,0.9,,,8312,,
17,"Grease Monkey International, LLC  ^*",Senior loan,L + 5.00,(a),7.40,11/2022,4826.0,,4786,,,0.5,,,4826,,
18,"Grease Monkey International, LLC  ~",Senior loan,L + 5.00,(a),7.40,11/2022,148.0,,146,,,0.0,,,148,,
19,"Grease Monkey International, LLC  ~",Senior loan,L + 5.00,(a),7.40,11/2022,104.0,,104,,,0.0,,,104,,
20,"Grease Monkey International, LLC  ~",Senior loan,L + 5.00,(a),7.40,11/2022,75.0,,75,,,0.0,,,75,,
21,"Grease Monkey International, LLC",Senior loan,L + 5.00,(a),7.40,11/2022,55.0,,54,,,0.0,,,55,,
22,"Grease Monkey International, LLC",Senior loan,L + 5.00,(a),7.40,11/2022,12.0,,11,,,0.0,,,12,,
23,Polk Acquisition Corp.  *,Senior loan,L + 5.25,(c),7.58,06/2022,126.0,,125,,,0.0,,,124,,
24,"Power Stop, LLC  ~",Senior loan,L + 4.75,(c)(f),7.08,10/2025,1349.0,,1343,,,0.1,,,1349,,
25,"Quick Quack Car Wash Holdings, LLC  *",One stop,L + 6.50,(a),8.90,04/2023,8686.0,,8602,,,0.9,,,8686,,
26,"Quick Quack Car Wash Holdings, LLC  *",One stop,L + 6.50,(a),8.90,04/2023,149.0,,147,,,0.0,,,149,,
27,"Quick Quack Car Wash Holdings, LLC  *",One stop,L + 6.50,(a),8.90,04/2023,100.0,,99,,,0.0,,,100,,
28,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50,(a),8.90,04/2023,50.0,,48,,,0.0,,,50,,
29,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50,(a),8.90,04/2023,40.0,,40,,,0.0,,,40,,
30,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,
31,"Abita Brewing Co., L.L.C.",One stop,L + 5.75,(a),8.15,04/2021,6733.0,,6684,,,0.7,,,6665,,
32,"Abita Brewing Co., L.L.C.  (5)",One stop,L + 5.75,,N/A  (6),04/2021,0.0,,0,,,0.0,,,(1,,
33,"C. J. Foods, Inc.  ^*~",One stop,L + 6.25,(c),8.58,05/2020,8518.0,,8489,,,0.9,,,8518,,
34,"C. J. Foods, Inc.  ^",One stop,L + 6.25,(c),8.58,05/2020,644.0,,644,,,0.1,,,644,,
35,"C. J. Foods, Inc.",One stop,L + 6.25,(c),8.65,05/2020,560.0,,559,,,0.1,,,560,,
36,"Cafe Rio Holding, Inc.  ^",One stop,L + 5.50,(d),7.70,09/2023,10292.0,,10159,,,1.1,,,10292,,
37,"Cafe Rio Holding, Inc.",One stop,L + 5.50,(c),7.70,09/2023,125.0,,123,,,0.0,,,125,,
38,"Cafe Rio Holding, Inc.  *",One stop,L + 5.50,(c),7.70,09/2023,79.0,,78,,,0.0,,,79,,
39,"Cafe Rio Holding, Inc.",One stop,L + 5.50,(d),7.70,09/2023,70.0,,69,,,0.0,,,70,,
40,"Cafe Rio Holding, Inc.",One stop,P + 4.50,(f),10.00,09/2023,10.0,,8,,,0.0,,,10,,
41,"Cafe Rio Holding, Inc.",One stop,L + 5.50,,N/A  (6),09/2023,0.0,,0,,,0.0,,,0,,
42,"Cafe Rio Holding, Inc.  (5)",One stop,L + 5.50,,N/A  (6),09/2023,0.0,,(3,,,0.0,,,0,,
43,"Fintech Midco, LLC  *~",One stop,L + 5.25,(a),7.66,08/2024,12897.0,,12787,,,1.3,,,12897,,
44,"Fintech Midco, LLC",One stop,L + 5.25,(a),7.66,08/2024,80.0,,79,,,0.0,,,80,,
45,"Fintech Midco, LLC  (5)",One stop,L + 5.25,,N/A  (6),08/2024,0.0,,(1,,,0.0,,,0,,
46,"Fintech Midco, LLC  (5)",One stop,L + 5.25,,N/A  (6),08/2024,0.0,,(1,,,0.0,,,0,,
47,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,
48,"Flavor Producers, LLC  ~",Senior loan,L + 4.75,(c),7.06,12/2023,,2229,,,2204,,,0.2,,,2162.0
49,"Flavor Producers, LLC",Senior loan,L + 4.75,(c),7.24,12/2022,6.0,,5,,,0.0,,,4,,
50,FWR Holding Corporation  ^,One stop,L + 5.50,(a),7.90,08/2023,5219.0,,5165,,,0.5,,,5219,,
51,FWR Holding Corporation,One stop,L + 5.50,(a),7.90,08/2023,101.0,,100,,,0.0,,,101,,
52,FWR Holding Corporation,One stop,L + 5.50,(a),7.90,08/2023,64.0,,63,,,0.0,,,64,,
53,FWR Holding Corporation,One stop,L + 5.50,(a),7.90,08/2023,50.0,,50,,,0.0,,,50,,
54,FWR Holding Corporation,One stop,L + 5.50,(a),7.90,08/2023,35.0,,34,,,0.0,,,35,,
55,FWR Holding Corporation  (5),One stop,L + 5.50,,N/A  (6),08/2023,0.0,,(1,,,0.0,,,0,,
56,Global ID Corporation  *~,One stop,L + 6.50,(a),8.89,11/2021,5816.0,,5771,,,0.6,,,5816,,
57,Global ID Corporation,One stop,L + 6.50,(a)(c),8.89,11/2021,105.0,,104,,,0.0,,,105,,
58,Global ID Corporation  *,One stop,L + 6.50,(a),8.89,11/2021,71.0,,71,,,0.0,,,71,,
59,Global ID Corporation,One stop,L + 6.50,,N/A  (6),11/2021,0.0,,0,,,0.0,,,0,,
60,"Mendocino Farms, LLC",One stop,L + 8.50,(a),3.40 cash/7.50 PIK,06/2023,51.0,,51,,,0.0,,,51,,
61,"Mendocino Farms, LLC  (5)",One stop,L + 1.00,,N/A  (6),06/2023,0.0,,(1,,,0.0,,,0,,
62,"Mid-America Pet Food, L.L.C.  ^*",One stop,L + 6.00,(c),8.33,12/2021,10580.0,,10513,,,1.1,,,10580,,
63,"Mid-America Pet Food, L.L.C.",One stop,L + 6.00,,N/A  (6),12/2021,0.0,,0,,,0.0,,,0,,
64,"NBC Intermediate, LLC  ^",Senior loan,L + 4.25,(a),6.66,09/2023,2024.0,,2009,,,0.2,,,2004,,
65,"NBC Intermediate, LLC  *",Senior loan,L + 4.25,(a),6.66,09/2023,1020.0,,1011,,,0.1,,,1010,,
66,"NBC Intermediate, LLC",Senior loan,L + 4.25,,N/A  (6),09/2023,0.0,,0,,,0.0,,,0,,
67,"Purfoods, LLC",One stop,L + 5.50,(c),8.02,05/2021,8379.0,,8302,,,0.9,,,8379,,
68,"Purfoods, LLC",One stop,No Value,,7.00 PIK,05/2026,125.0,,125,,,0.0,,,125,,
69,"Purfoods, LLC",One stop,L + 5.50,(c),7.83,05/2021,55.0,,54,,,0.0,,,55,,
70,"Purfoods, LLC",One stop,L + 5.50,(c),7.83,05/2021,40.0,,40,,,0.0,,,40,,
71,"Purfoods, LLC  ^",One stop,L + 5.50,(c),7.83,05/2021,39.0,,39,,,0.0,,,39,,
72,"Purfoods, LLC",One stop,L + 5.50,(a),7.90,05/2021,30.0,,29,,,0.0,,,30,,
73,"Purfoods, LLC  *",One stop,L + 5.50,(c),7.83,05/2021,30.0,,30,,,0.0,,,30,,
74,"Purfoods, LLC  ~",One stop,L + 5.50,(c),7.83,05/2021,30.0,,30,,,0.0,,,30,,
75,"Purfoods, LLC  ~",One stop,L + 5.50,(c),7.83,05/2021,30.0,,30,,,0.0,,,30,,
76,"Purfoods, LLC  ^",One stop,L + 5.50,(c),7.83,05/2021,24.0,,23,,,0.0,,,24,,
77,"Purfoods, LLC",One stop,L + 5.50,(c),7.83,05/2021,15.0,,15,,,0.0,,,15,,
78,"Purfoods, LLC  ^",One stop,L + 5.50,(c),7.83,05/2021,15.0,,15,,,0.0,,,15,,
79,"Purfoods, LLC  ^",One stop,L + 5.50,(c),7.83,05/2021,15.0,,15,,,0.0,,,15,,
80,"Purfoods, LLC  ^",One stop,L + 5.50,(c),7.83,05/2021,14.0,,14,,,0.0,,,14,,
81,"Purfoods, LLC  ^",One stop,L + 5.50,(c),7.83,05/2021,11.0,,11,,,0.0,,,11,,
82,"Purfoods, LLC  ^",One stop,L + 5.50,(c),7.83,05/2021,11.0,,11,,,0.0,,,11,,
83,"Purfoods, LLC  ^",One stop,L + 5.50,(c),7.83,05/2021,10.0,,10,,,0.0,,,10,,
84,"Rubio's Restaurants, Inc.  ^*",Senior loan,L + 5.25,(c),7.58,10/2019,11086.0,,10968,,,1.1,,,10864,,
85,"Rubio's Restaurants, Inc.",Senior loan,L + 4.75,(a)(f),7.38,10/2019,40.0,,39,,,0.0,,,38,,
86,Wood Fired Holding Corp.  *,One stop,L + 5.75,(c),8.35,12/2023,6936.0,,6874,,,0.7,,,6936,,
87,Wood Fired Holding Corp.,One stop,L + 5.75,,N/A  (6),12/2023,0.0,,0,,,0.0,,,0,,
88,Wood Fired Holding Corp.  (5),One stop,L + 5.75,,N/A  (6),12/2023,0.0,,(1,,,0.0,,,0,,
89,Broadcasting and Entertainment,,,,,,,,,,,,,,,,
90,"TouchTunes Interactive Networks, Inc.  ^",Senior loan,L + 4.75,(a),7.15,05/2021,,1436,,,1434,,,0.1,,,1436.0
91,Building and Real Estate,,,,,,,,,,,,,,,,
92,"Brooks Equipment Company, LLC  ^*",One stop,L + 5.00,(c),7.52,08/2020,21096.0,,21036,,,2.2,,,21096,,
93,"Brooks Equipment Company, LLC  *",One stop,L + 5.00,(c),7.49,08/2020,1580.0,,1575,,,0.2,,,1580,,
94,"Brooks Equipment Company, LLC  (5)",One stop,L + 5.00,,N/A  (6),08/2020,0.0,,(4,,,0.0,,,0,,
95,"Jensen Hughes, Inc.",Senior loan,L + 4.25,(c)(f),6.59,03/2024,497.0,,495,,,0.1,,,497,,
96,"Jensen Hughes, Inc.",Senior loan,L + 4.25,(c),6.58,03/2024,152.0,,151,,,0.0,,,152,,
97,"Jensen Hughes, Inc.",Senior loan,L + 4.25,(c)(f),6.58,03/2024,74.0,,73,,,0.0,,,74,,
98,"Jensen Hughes, Inc.",Senior loan,L + 4.25,(c)(f),6.59,03/2024,32.0,,32,,,0.0,,,32,,
99,MRI Software LLC  ^,One stop,L + 5.75,(a),8.16,06/2023,23504.0,,23063,,,2.4,,,23504,,
100,MRI Software LLC  ^*~,One stop,L + 5.75,(a),8.16,06/2023,13640.0,,13530,,,1.4,,,13640,,
101,MRI Software LLC  ^,One stop,L + 5.75,(a),8.16,06/2023,355.0,,352,,,0.1,,,355,,
102,MRI Software LLC,One stop,L + 5.75,(a),8.16,06/2023,333.0,,330,,,0.1,,,333,,
103,MRI Software LLC  *,One stop,L + 5.75,(a),8.16,06/2023,293.0,,291,,,0.0,,,293,,
104,MRI Software LLC  ~,One stop,L + 5.75,(a),8.16,06/2023,293.0,,290,,,0.0,,,293,,
105,MRI Software LLC  *,One stop,L + 5.75,(a),8.16,06/2023,193.0,,191,,,0.0,,,193,,
106,MRI Software LLC  ^,One stop,L + 5.75,(a),8.16,06/2023,164.0,,162,,,0.0,,,164,,
107,MRI Software LLC  ~,One stop,L + 5.75,(a),8.16,06/2023,105.0,,104,,,0.0,,,105,,
108,MRI Software LLC  ~,One stop,L + 5.75,(a),8.16,06/2023,97.0,,96,,,0.0,,,97,,
109,MRI Software LLC,One stop,L + 5.75,(a),8.16,06/2023,61.0,,58,,,0.0,,,61,,
110,MRI Software LLC,One stop,L + 5.75,(a)(c),8.16,06/2023,53.0,,51,,,0.0,,,53,,
111,MRI Software LLC  (5),One stop,L + 5.75,,N/A  (6),06/2023,0.0,,(2,,,0.0,,,0,,
112,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,
113,"Flexan, LLC  *",One stop,L + 5.75,(c),8.08,02/2020,2292.0,,2286,,,0.2,,,2292,,
114,"Flexan, LLC  ^",One stop,L + 5.75,(c),8.08,02/2020,1077.0,,1076,,,0.1,,,1077,,
115,"Flexan, LLC",One stop,P + 4.50,(f),10.00,02/2020,18.0,,18,,,0.0,,,18,,
116,Inhance Technologies Holdings LLC,One stop,L + 5.25,(c),7.65,07/2024,6846.0,,6716,,,0.7,,,6846,,
117,Inhance Technologies Holdings LLC,One stop,L + 5.25,(b),7.78,07/2024,59.0,,58,,,0.0,,,59,,
118,Inhance Technologies Holdings LLC,One stop,P + 4.25,(f),9.75,07/2024,10.0,,9,,,0.0,,,10,,
119,Diversified/Conglomerate Manufacturing,,,,,,,,,,,,,,,,
120,"Blackbird Purchaser, Inc.  ~",Senior loan,L + 4.50,(c),6.83,04/2026,4656.0,,4611,,,0.5,,,4586,,
121,"Blackbird Purchaser, Inc.",Senior loan,L + 4.50,(c),6.83,04/2026,43.0,,39,,,0.0,,,40,,
122,"Blackbird Purchaser, Inc.",Senior loan,P + 3.50,(f),9.00,04/2024,14.0,,12,,,0.0,,,13,,
123,"Chase Industries, Inc.  ~",Senior loan,L + 4.00,(c)(f),6.34,05/2025,6819.0,,6718,,,0.7,,,6819,,
124,"Chase Industries, Inc.",Senior loan,L + 4.00,(c)(f),6.38,05/2023,99.0,,97,,,0.0,,,99,,
125,"Chase Industries, Inc.",Senior loan,L + 4.00,(c)(f),6.33,05/2025,67.0,,64,,,0.0,,,67,,
126,"Inventus Power, Inc.  ^*",One stop,L + 6.50,(a),8.90,04/2020,7155.0,,7150,,,0.7,,,6440,,
127,"Inventus Power, Inc.",One stop,L + 6.50,(a),8.90,04/2020,271.0,,271,,,0.0,,,236,,
128,"Pasternack Enterprises, Inc. and Fairview Microwave, Inc  ~",Senior loan,L + 4.00,(c)(f),6.33,07/2025,7105.0,,7074,,,0.7,,,7105,,
129,"Pasternack Enterprises, Inc. and Fairview Microwave, Inc",Senior loan,L + 4.00,,N/A  (6),07/2023,0.0,,0,,,0.0,,,0,,
130,"PetroChoice Holdings, Inc.  ^",Senior loan,L + 5.00,(c),7.58,08/2022,1719.0,,1693,,,0.2,,,1716,,
131,"Reladyne, Inc.  ^*",Senior loan,L + 5.00,(c),7.59,07/2022,16749.0,,16598,,,1.7,,,16749,,
132,Diversified/Conglomerate Manufacturing - (continued),,,,,,,,,,,,,,,,
133,"Reladyne, Inc.",Senior loan,L + 5.00,(c),7.59,07/2022,,303,,,301,,,0.1,,,303.0
134,"Reladyne, Inc.  ^",Senior loan,L + 5.00,(c),7.59,07/2022,172.0,,171,,,0.0,,,172,,
135,"Reladyne, Inc.  ~",Senior loan,L + 5.00,(c),7.59,07/2022,141.0,,140,,,0.0,,,141,,
136,"Reladyne, Inc.",Senior loan,L + 5.00,(c),7.59,07/2022,100.0,,99,,,0.0,,,100,,
137,"Reladyne, Inc.  ~",Senior loan,L + 5.00,(c),7.59,07/2022,64.0,,64,,,0.0,,,64,,
138,"Reladyne, Inc.  (5)",Senior loan,L + 5.00,,N/A  (6),07/2022,0.0,,(2,,,0.0,,,0,,
