,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Aerospace and Defense,NTS Technical Systems*#~^,Senior loan,L + 5.50(c),6.50,06/2023,,40274,,,,40056,,,1.6,,,40274
1,Aerospace and Defense,NTS Technical Systems~,Second lien,L + 9.75(c),10.75,12/2023,4589,,,4517,,,0.2,,4589,,,
2,Aerospace and Defense,NTS Technical Systems+(5),Senior loan,L + 5.50,N/A(6),06/2023,0,,,(30),,,0,,0,,,
3,Aerospace and Defense,NTS Technical Systems+(5),Senior loan,L + 5.50,N/A(6),06/2023,0,,,(60),,,0,,0,,,
4,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",Senior loan,L + 5.75(e),6.75,09/2023,680,,,676,,,0,,606,,,
5,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",Senior loan,L + 5.75(c),5.91,06/2023,76,,,73,,,0,,62,,,
6,Aerospace and Defense,Whitcraft LLC*#+~,One stop,L + 6.00(c),7.00,04/2023,63413,,,63691,,,2.4,,61512,,,
7,Aerospace and Defense,Whitcraft LLC+(5),One stop,L + 6.00,N/A(6),04/2023,0,,,(1),,,0,,(9),,,
8,Airlines,Aurora Lux Finco S.A.R.L.+(8)(13),One stop,L + 6.00(c),7.00,12/2026,987,,,969,,,0,,938,,,
9,Auto Components,"North Haven Falcon Buyer, LLC",One stop,L + 6.00(c),7.00,05/2027,6176,,,6055,,,0.2,,6114,,,
10,Auto Components,"North Haven Falcon Buyer, LLC+(5)",One stop,L + 6.00,N/A(6),05/2027,0,,,(20),,,0,,(20),,,
11,Auto Components,Polk Acquisition Corp.*#+Senior loan,One stop,L + 6.00(a),7.00,12/2023,18153,,,18032,,,0.7,,18153,,,
12,Auto Components,Polk Acquisition Corp.+Senior loan,One stop,L + 6.00(a),7.00,12/2023,107,,,105,,,0,,107,,,
13,Auto Components,Polk Acquisition Corp.+Senior loan,One stop,L + 6.00(a),7.00,12/2023,71,,,70,,,0,,71,,,
14,Auto Components,"Power Stop, LLC+~",Senior loan,L + 4.50(a),4.60,10/2025,2821,,,2866,,,0.1,,2821,,,
15,Automobiles,JHCC Holdings LLC,One stop,L + 5.50(c),6.50,09/2025,15512,,,15295,,,0.6,,15512,,,
16,Automobiles,JHCC Holdings LLC+One stop,One stop,L + 5.50(c),6.50,09/2025,205,,,203,,,0.1,,205,,,
17,Automobiles,JHCC Holdings LLC+One stop,One stop,P + 4.50(c)(f),6.85,09/2025,36,,,35,,,0.1,,36,,,
18,Automobiles,"MOP GM Holding, LLC*#~^",One stop,L + 5.75(c),6.75,11/2026,24283,,,24008,,,1.0,,24283,,,
19,Automobiles,"MOP GM Holding, LLC+One stop",One stop,L + 5.75(d),6.75,11/2026,2611,,,2581,,,0.1,,2611,,,
20,Automobiles,"MOP GM Holding, LLC+One stop",One stop,L + 5.75(c)(d),6.75,11/2026,1930,,,1908,,,0.1,,1930,,,
21,Automobiles,"MOP GM Holding, LLC+(5)",One stop,L + 5.75,N/A(6),11/2026,0,,,(2),,,0,,0,,,
22,Automobiles,"Quick Quack Car Wash Holdings, LLC*#",One stop,L + 6.50(c),7.50,10/2024,12983,,,12997,,,0.6,,12983,,,
23,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 6.50(c),7.50,10/2024,3202,,,3127,,,0.1,,3202,,,
24,Automobiles,"Quick Quack Car Wash Holdings, LLC#+One stop",One stop,L + 6.50(c),7.50,10/2024,2343,,,2322,,,0.1,,2343,,,
25,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.50(c),7.50,10/2024,2046,,,2083,,,0.1,,2046,,,
26,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.50(c),7.50,10/2024,1368,,,1392,,,0.1,,1368,,,
27,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.50(c),7.50,10/2024,1113,,,1149,,,0.1,,1113,,,
28,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 6.50(c),7.50,10/2024,30,,,30,,,0.1,,30,,,
29,Automobiles,"TWAS Holdings, LLC*+^",One stop,L + 6.75(c),7.75,12/2026,30955,,,30600,,,1.2,,30955,,,
30,Automobiles,"TWAS Holdings, LLC+One stop",One stop,L + 6.75(c),7.75,12/2026,4021,,,3935,,,0.2,,4021,,,
31,Automobiles,"TWAS Holdings, LLC+(5)",One stop,L + 6.75,N/A(6),12/2026,0,,,(4),,,0,,0,,,
32,Beverages,"Abita Brewing Co., L.L.C.+One stop",One stop,L + 6.25(a),7.25,04/2024,,7045,,,,7038,,,0.3,,,7045
33,Beverages,"Abita Brewing Co., L.L.C.+Second lien",One stop,L + 8.00(d),9.00,04/2024,3321,,,3309,,,0.1,,2657,,,
34,Beverages,"Abita Brewing Co., L.L.C.+One stop",One stop,L + 6.25,N/A(6),04/2024,0,,,0,,,0,,0,,,
35,Beverages,"Fintech Midco, LLC*#",One stop,L + 5.00(c),6.00,08/2024,24225,,,24504,,,1.0,,24225,,,
