,0,1,2,3,4,5,6,7,8,9
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate  company investments,Non-controlled/non-affiliate  company investments,,,,,,,,
2,Debt  investments,Debt  investments,,,,,,,,
3,Aerospace  and Defense,Aerospace  and Defense,,,,,,,,
4,Aerospace  and Defense,"ILC  Dover, LP",One stop,P + 6.00,9.50,03/2019,781,771,0.1,630
5,Aerospace  and Defense,"ILC  Dover, LP*^  #",One stop,P + 6.00,9.50,03/2020,17888,17729,1.9,15205
6,Aerospace  and Defense,"ILC  Industries, Inc.  (4)",One stop,L + 6.00,(5),07/2020,0,(20,0,0
7,Aerospace  and Defense,"ILC  Industries, Inc.*^  #",One stop,L + 6.00,7.00,07/2020,22556,22428,2.8,22556
8,Aerospace  and Defense,Loar  Group Inc.  #,Senior loan,L + 4.75,5.75,01/2022,2244,2205,0.3,2233
9,Aerospace  and Defense,NTS  Technical Systems  (4),One stop,L + 6.00,(5),06/2021,0,(92,0,0
10,Aerospace  and Defense,NTS  Technical Systems*^  #,One stop,L + 6.00,7.00,06/2021,26308,25910,3.2,26308
11,Aerospace  and Defense,NTS  Technical Systems  (4),One stop,L + 6.00,(5),06/2021,0,(43,0,0
12,Aerospace  and Defense,"Tresys  Technology Holdings, Inc.",One stop,L + 6.75,8.00,12/2017,349,346,0,349
13,Aerospace  and Defense,"Tresys  Technology Holdings, Inc.  (6)",One stop,L + 6.75,8.00,12/2017,3899,3845,0.1,1170
14,Aerospace  and Defense,Whitcraft LLC  (4),One stop,L + 6.50,(5),05/2020,0,(1,0,0
15,Aerospace  and Defense,Whitcraft  LLC*^,One  stop,L  + 6.50,7.50,05/2020,13572,13458,1.7,13572
16,Automobile,Automobile,One  stop,,,,,,,
17,Automobile,"American  Driveline Systems, Inc.",Senior loan,P + 4.75,8.25,03/2020,25,18,0,16
18,Automobile,"American  Driveline Systems, Inc.*",Senior loan,L + 5.75,6.75,03/2020,1807,1761,0.2,1717
19,Automobile,"American  Driveline Systems, Inc.^",Senior loan,L + 5.75,6.75,03/2020,233,228,0,228
20,Automobile,CH  Hold Corp. (Caliber Collision)*  #,Senior loan,L + 5.25,6.25,11/2019,5170,5127,0.6,5170
21,Automobile,Dent  Wizard International Corporation*,Senior loan,L + 4.75,5.75,04/2020,2482,2471,0.3,2482
22,Automobile,"Integrated  Supply Network, LLC  (4)",Senior loan,L + 5.25,(5),02/2020,0,(8,0,0
23,Automobile,"Integrated  Supply Network, LLC*^",Senior loan,L + 5.25,6.25,02/2020,6942,6862,0.9,6942
24,Automobile,"K&N Engineering,  Inc.  (4)",Senior loan,L + 4.25,(5),07/2019,0,(3,0,(3
25,Automobile,"K&N Engineering,  Inc.^",Senior loan,L + 4.25,5.25,07/2019,2869,2837,0.4,2811
26,Automobile,"K&N Engineering,  Inc.^",Senior loan,L + 4.25,5.25,07/2019,135,123,0,133
27,Automobile,T5 Merger Corporation  (4),One stop,L + 6.25,(5),03/2022,0,(2,0,(1
28,Automobile,T5  Merger Corporation^,One  stop,L  + 6.25,7.25,03/2022,2400,2358,0.3,2376
29,Banking,Banking,One  stop,,,,,,,
30,Banking,HedgeServ  Holding L.P.  (4),One stop,L + 8.00,(5),02/2019,0,(5,0,0
31,Banking,HedgeServ  Holding L.P.*  ^#,One  stop,L  + 8.00,7.00  cash/2.00  PIK,02/2019,17353.0,17258.0,2.1,17353.0
32,"Beverage,  Food and Tobacco","Beverage,  Food and Tobacco",One  stop,,,,,,,
33,"Beverage,  Food and Tobacco","Abita  Brewing Co., L.L.C.",One stop,L + 5.75,6.75,04/2021,8,7,0,8
34,"Beverage,  Food and Tobacco","Abita  Brewing Co., L.L.C.",One stop,L + 5.75,6.75,04/2021,8033,7898,1.0,8033
35,"Beverage,  Food and Tobacco",ABP  Corporation,Senior loan,P + 3.50,7.25,09/2018,209,205,0,209
36,"Beverage,  Food and Tobacco",ABP  Corporation*,Senior loan,L + 4.75,6.00,09/2018,4721,4682,0.6,4721
37,"Beverage,  Food and Tobacco","Atkins  Nutritionals, Inc*  ^#",One stop,L + 5.00,6.25,01/2019,16872,16726,2.1,16872
38,"Beverage,  Food and Tobacco","Atkins  Nutritionals, Inc*^",One stop,L + 8.50,9.75,04/2019,21636,21429,2.7,21636
39,"Beverage,  Food and Tobacco","C.  J. Foods, Inc.  (4)",One stop,L + 5.50,(5),05/2019,0,(6,0,0
40,"Beverage,  Food and Tobacco","C.  J. Foods, Inc.",One stop,L + 5.50,6.50,05/2019,668,660,0.1,668
41,"Beverage,  Food and Tobacco","C.  J. Foods, Inc.*",One stop,L + 5.50,6.50,05/2019,3176,3145,0.4,3176
42,"Beverage,  Food and Tobacco","Candy  Intermediate Holdings, Inc. (Ferrara Candy)^",Senior loan,L + 6.25,7.50,06/2018,4813,4751,0.6,4825
43,"Beverage,  Food and Tobacco","Firebirds  International, LLC  (4)",One stop,L + 5.75,(5),05/2018,0,(1,0,0
44,"Beverage,  Food and Tobacco","Firebirds  International, LLC*",One stop,L + 5.75,7.00,05/2018,1079,1071,0.1,1079
45,"Beverage,  Food and Tobacco","Firebirds  International, LLC*",One stop,L + 5.75,7.00,05/2018,303,300,0,303
46,"Beverage,  Food and Tobacco","Firebirds  International, LLC  (4)",One stop,L + 5.75,(5),05/2018,0,(3,0,0
47,"Beverage,  Food and Tobacco","First  Watch Restaurants, Inc.",One stop,P + 5.00,8.50,12/2020,1634,1625,0.2,1634
48,"Beverage,  Food and Tobacco","First  Watch Restaurants, Inc.*  ^#",One stop,L + 6.00,7.00,12/2020,25727,25491,3.1,25727
49,"Beverage,  Food and Tobacco","First  Watch Restaurants, Inc.  (4)",One stop,L + 6.00,(5),12/2020,0,(11,0,0
50,"Beverage,  Food and Tobacco","First  Watch Restaurants, Inc.  (4)",One stop,L + 6.00,(5),12/2020,0,(11,0,0
51,"Beverage,  Food and Tobacco","First  Watch Restaurants, Inc.  (4)",One stop,L + 6.00,(5),12/2020,0,(9,0,0
52,"Beverage,  Food and Tobacco","Hopdoddy  Holdings, LLC",One stop,L + 8.00,(5),08/2020,0,0,0,0
53,"Beverage,  Food and Tobacco","Hopdoddy  Holdings, LLC",One stop,L + 8.00,9.00,08/2020,663,651,0.1,663
54,"Beverage,  Food and Tobacco","Hopdoddy  Holdings, LLC  (4)",One stop,L + 8.00,(5),08/2020,0,(3,0,0
55,"Beverage,  Food and Tobacco",IT'SUGAR  LLC,Subordinated debt,No Value,8.00,10/2017,1707,1707,0.2,1911
56,"Beverage,  Food and Tobacco","Northern  Brewer, LLC",One stop,P + 5.25,8.75,02/2018,699,692,0.1,647
57,"Beverage,  Food and Tobacco","Northern  Brewer, LLC",One stop,L + 6.50,8.07,02/2018,6002,5935,0.7,5552
58,"Beverage,  Food and Tobacco",Smashburger  Finance LLC  (4),Senior loan,L + 5.50,(5),05/2018,0,(2,0,0
59,"Beverage,  Food and Tobacco",Smashburger  Finance LLC,Senior loan,L + 5.50,6.75,05/2018,87,87,0,87
60,"Beverage,  Food and Tobacco",Surfside  Coffee Company LLC,One stop,L + 5.25,6.25,06/2020,21,20,0,21
61,"Beverage,  Food and Tobacco",Surfside  Coffee Company LLC^,One stop,L + 5.25,6.25,06/2020,4492,4454,0.5,4492
62,"Beverage,  Food and Tobacco",Surfside  Coffee Company LLC,One stop,L + 5.25,6.25,06/2020,131,123,0,131
63,"Beverage,  Food and Tobacco","Tate's  Bake Shop, Inc.  #",Senior loan,L + 5.00,6.00,08/2019,600,595,0.1,600
64,"Beverage,  Food and Tobacco",The  Original Cakerie Ltd.  (7)(8),Senior loan,L + 5.00,(5),12/2020,0,0,0,0
65,"Beverage,  Food and Tobacco",The  Original Cakerie Ltd.  #(7)(8),Senior loan,L + 5.00,6.00,12/2020,1652,1636,0.2,1652
66,"Beverage,  Food and Tobacco",Uinta  Brewing Company,One stop,L + 7.00,8.00,08/2019,678,673,0.1,666
67,"Beverage,  Food and Tobacco",Uinta  Brewing Company^,One stop,L + 7.00,8.00,08/2019,3195,3174,0.4,3147
68,"Beverage,  Food and Tobacco",United  Craft Brews LLC,One stop,L + 6.25,7.25,03/2020,1084,1070,0.1,1084
69,"Beverage,  Food and Tobacco",United  Craft Brews LLC,One stop,L + 6.25,7.25,03/2020,539,526,0.1,539
70,"Beverage,  Food and Tobacco",United  Craft Brews LLC,One  stop,L  + 6.25,7.25,03/2020,12097,11884,1.5,12097
71,Broadcasting and Entertainment,Broadcasting and Entertainment,One  stop,,,,,,,
72,Broadcasting and Entertainment,"TouchTunes  Interactive Networks, Inc.^",Senior loan,L + 4.75,5.75,05/2021,1484,1478,0.2,1485
73,Building and Real Estate,Building and Real Estate,Senior loan,,,,,,,
74,Building and Real Estate,"Accruent, LLC*",One stop,L + 6.25,7.27,11/2019,4697,4663,0.6,4697
75,Building and Real Estate,"Brooks Equipment Company, LLC  (4)",One stop,L + 5.00,(5),08/2020,0,(15,0,0
76,Building and Real Estate,"Brooks Equipment Company, LLC*^",One stop,L + 5.00,6.00,08/2020,23967,23706,2.9,23967
77,Building and Real Estate,"ITEL Laboratories, Inc.  (4)",Senior loan,L + 4.75,(5),06/2018,0,(1,0,0
78,Building and Real Estate,"ITEL Laboratories, Inc.*",Senior loan,L + 4.75,6.00,06/2018,637,633,0.1,637
79,Cargo Transport,Cargo Transport,Senior loan,,,,,,,
80,Cargo Transport,"Worldwide Express Operations, LLC*^",Senior loan,L + 5.00,6.00,07/2019,4900,4851,0.6,4851
81,Cargo Transport,"Worldwide Express Operations,  LLC  (4)",Senior loan,L + 5.00,(5),07/2019,0,(1,0,(1
82,"Containers, Packaging and  Glass","Containers, Packaging and  Glass",Senior loan,,,,,,,
83,"Containers, Packaging and  Glass",Fort Dearborn Company*^,Senior loan,L + 4.25,5.25,10/2017,538,536,0.1,538
84,"Containers, Packaging and  Glass",Fort Dearborn Company*^,Senior loan,L + 4.75,5.75,10/2018,2577,2567,0.3,2577
85,"Containers, Packaging and  Glass","Packaging Coordinators, Inc.*",Senior loan,L + 4.25,5.25,08/2021,2836,2814,0.3,2810
86,"Containers, Packaging and  Glass","Packaging Coordinators,  Inc.",Second lien,L + 8.00,9.00,08/2022,10000,9920,1.2,9450
