,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value,10
0,Investments,Investments,,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,,
4,Aerospace and Defense,NTS Technical Systems  ^*#+~,One stop,L + 6.00(a),7.58,06/2021,25606.0,25575.0,1.2,24325.0,
5,Aerospace and Defense,NTS Technical Systems  +~,One stop,L + 6.00(a),7.58,06/2021,4189.0,4183.0,0.2,3980.0,
6,Aerospace and Defense,NTS Technical Systems,One stop,L + 6.00(a)(c),7.00,06/2021,4022.0,3993.0,0.2,3819.0,
7,Aerospace and Defense,"Tronair Parent, Inc.  ^+Senior loan",One stop,L + 4.75(c),6.46,09/2023,721.0,715.0,0.0,628.0,
8,Aerospace and Defense,"Tronair Parent, Inc.",Senior loan,L + 4.50(c)(f),6.32,09/2021,160.0,158.0,0.0,138.0,
9,Aerospace and Defense,Whitcraft LLC  ^*#+~,One stop,L + 6.00(c),7.45,04/2023,64220.0,64687.0,3.2,61652.0,
10,Aerospace and Defense,Whitcraft LLC,One stop,L + 6.00(c),7.45,04/2023,240.0,238.0,0.0,228.0,
11,Automobile,Automobile,One stop,,,,,,,,
12,Automobile,"Grease Monkey International, LLC  ^*#+Senior loan",One stop,L + 5.00(c),6.45,11/2022,8717.0,8791.0,0.4,8193.0,
13,Automobile,"Grease Monkey International, LLC  !~",Senior loan,L + 5.00(c),6.45,11/2022,2382.0,2466.0,0.1,2239.0,
14,Automobile,"Grease Monkey International, LLC  #~",Senior loan,L + 5.00(c),6.45,11/2022,1209.0,1251.0,0.1,1136.0,
15,Automobile,"Grease Monkey International, LLC  +~",Senior loan,L + 5.00(c),6.45,11/2022,1095.0,1132.0,0.1,1028.0,
16,Automobile,"Grease Monkey International, LLC",Senior loan,L + 5.00(c),6.45,11/2022,1000.0,1003.0,0.1,940.0,
17,Automobile,"Grease Monkey International, LLC",Senior loan,P + 4.00(a)(f),6.71,11/2022,123.0,124.0,0.0,112.0,
18,Automobile,"Grease Monkey International, LLC",Senior loan,L + 5.00,N/A  (6),11/2022,0.0,0.0,0.0,0.0,
19,Automobile,JHCC Holdings LLC,One stop,L + 5.50(a),6.50,09/2025,15709.0,15424.0,0.7,13824.0,
20,Automobile,JHCC Holdings LLC,One stop,P + 4.50(f),7.75,09/2025,79.0,76.0,0.0,43.0,
21,Automobile,JHCC Holdings LLC,One stop,P + 4.50(f),7.75,09/2025,13.0,12.0,0.0,1.0,
22,Automobile,Polk Acquisition Corp.  *#&,Senior loan,L + 5.25(c),6.70,06/2022,17680.0,17443.0,0.8,16265.0,
23,Automobile,Polk Acquisition Corp.,Senior loan,L + 5.25(c),6.69,06/2022,170.0,167.0,0.0,154.0,
24,Automobile,Polk Acquisition Corp  .&,Senior loan,L + 5.25(c),6.70,06/2022,104.0,102.0,0.0,96.0,
25,Automobile,"Power Stop, LLC  +~",Senior loan,L + 4.50(c)(f),5.95,10/2025,2857.0,2915.0,0.1,2514.0,
26,Automobile,"Quick Quack Car Wash Holdings, LLC  *#",One stop,L + 6.50(a),7.50,04/2023,13151.0,13260.0,0.6,12493.0,
27,Automobile,"Quick Quack Car Wash Holdings, LLC  #",One stop,L + 6.50(a),7.50,04/2023,2372.0,2351.0,0.1,2254.0,
28,Automobile,"Quick Quack Car Wash Holdings, LLC  *+One stop",One stop,L + 6.50(a),7.50,04/2023,2073.0,2147.0,0.1,1969.0,
29,Automobile,"Quick Quack Car Wash Holdings, LLC  *+One stop",One stop,L + 6.50(a),7.50,04/2023,1386.0,1435.0,0.1,1316.0,
30,Automobile,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50(a),7.50,04/2023,1122.0,1187.0,0.1,1066.0,
31,Automobile,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50(a),7.50,04/2023,80.0,82.0,0.0,76.0,
32,"Beverage, Food and Tobacco","Beverage, Food and Tobacco",One stop,,,,,,,,
33,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.  +One stop",One stop,L + 7.00(c),8.61,04/2021,9983.0,10030.0,1.0,0.5,9184
34,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.",One stop,L + 7.00(c),8.74,04/2021,20.0,20.0,1.0,0.0,18
35,"Beverage, Food and Tobacco",BJH Holdings III Corp.  +~,One stop,L + 5.75(c),7.20,08/2025,46168.0,47636.0,1.0,2.2,42937
36,"Beverage, Food and Tobacco",BJH Holdings III Corp.,One stop,L + 5.75(a)(c),6.95,08/2025,800.0,793.0,1.0,0.1,744
37,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  ^#",One stop,L + 5.50(c),6.57,09/2023,18706.0,18936.0,1.0,0.9,17209
38,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  #",One stop,L + 5.50(d),6.57,09/2023,2259.0,2342.0,1.0,0.1,2079
39,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.",One stop,L + 5.50(c)(d),6.51,09/2023,2007.0,2005.0,1.0,0.1,1846
40,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  *#",One stop,L + 5.50(d),6.57,09/2023,1435.0,1488.0,1.0,0.1,1319
41,"Beverage, Food and Tobacco - (continued)","Beverage, Food and Tobacco - (continued)",One stop,,,,,,,,
42,"Beverage, Food and Tobacco - (continued)","Cafe Rio Holding, Inc.  #",One stop,L + 5.50(d),6.57,09/2023,1266.0,1314.0,1.0,0.1,1165.0
43,"Beverage, Food and Tobacco - (continued)","Cafe Rio Holding, Inc.",One stop,L + 5.50(c),6.77,09/2023,250.0,250.0,0.0,230.0,
44,"Beverage, Food and Tobacco - (continued)","Cafe Rio Holding, Inc.",One stop,L + 5.50(d),6.77,09/2023,182.0,182.0,0.0,167.0,
45,"Beverage, Food and Tobacco - (continued)","Fintech Midco, LLC  *#!",One stop,L + 5.00(c)(d),6.46,08/2024,24535.0,24925.0,1.2,23309.0,
46,"Beverage, Food and Tobacco - (continued)","Fintech Midco, LLC  #",One stop,L + 5.00(c)(d),6.65,08/2024,1136.0,1179.0,0.1,1079.0,
47,"Beverage, Food and Tobacco - (continued)","Fintech Midco, LLC",One stop,L + 5.00(a),6.00,08/2024,200.0,199.0,0.0,190.0,
48,"Beverage, Food and Tobacco - (continued)","Flavor Producers, LLC  #~",Senior loan,L + 4.75(c),6.12,12/2023,5006.0,4881.0,0.2,4605.0,
49,"Beverage, Food and Tobacco - (continued)","Flavor Producers, LLC",Senior loan,L + 4.75(c)(d),6.13,12/2022,28.0,24.0,0.0,26.0,
50,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation  ^#,One stop,L + 5.50(c),6.77,08/2023,9156.0,9270.0,0.4,8424.0,
51,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation  #,One stop,L + 5.50(c),6.77,08/2023,1830.0,1898.0,0.1,1683.0,
52,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation  #,One stop,L + 5.50(c),6.77,08/2023,1157.0,1199.0,0.1,1065.0,
53,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation  #,One stop,L + 5.50(c),6.77,08/2023,365.0,377.0,0.0,336.0,
54,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,L + 5.50(c),6.77,08/2023,275.0,274.0,0.0,253.0,
55,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation  #,One stop,L + 5.50(c),6.77,08/2023,274.0,282.0,0.0,252.0,
56,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,L + 5.50(a),6.50,08/2023,132.0,131.0,0.0,121.0,
57,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,L + 5.50(c),6.77,08/2023,90.0,89.0,0.0,80.0,
58,"Beverage, Food and Tobacco - (continued)",Global ID Corporation  *#+~,One stop,L + 6.50(c),7.57,11/2021,14323.0,14478.0,0.7,14037.0,
59,"Beverage, Food and Tobacco - (continued)",Global ID Corporation  *#,One stop,L + 6.50(c),7.57,11/2021,816.0,842.0,0.1,800.0,
60,"Beverage, Food and Tobacco - (continued)",Global ID Corporation  #,One stop,L + 6.50(c),7.57,11/2021,714.0,736.0,0.0,699.0,
61,"Beverage, Food and Tobacco - (continued)",Global ID Corporation  #,One stop,L + 6.50(c),7.57,11/2021,490.0,506.0,0.0,481.0,
62,"Beverage, Food and Tobacco - (continued)",Global ID Corporation,One stop,L + 6.50(c),7.62,11/2021,60.0,60.0,0.0,58.0,
63,"Beverage, Food and Tobacco - (continued)",Global ID Corporation  (5),One stop,L + 6.50,N/A  (6),11/2021,0.0,0.0,0.0,,
64,"Beverage, Food and Tobacco - (continued)","Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,794.0,821.0,0.1,778.0,
65,"Beverage, Food and Tobacco - (continued)","Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,624.0,645.0,0.0,611.0,
66,"Beverage, Food and Tobacco - (continued)","Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,612.0,608.0,0.0,600.0,
67,"Beverage, Food and Tobacco - (continued)","Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,301.0,299.0,0.0,295.0,
68,"Beverage, Food and Tobacco - (continued)","Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,300.0,299.0,0.0,295.0,
69,"Beverage, Food and Tobacco - (continued)","Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,148.0,148.0,0.0,145.0,
70,"Beverage, Food and Tobacco - (continued)","Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,90.0,87.0,0.0,83.0,
71,"Beverage, Food and Tobacco - (continued)","Mid-America Pet Food, L.L.C.  ^*#",One stop,L + 5.50(a),6.50,12/2021,22398.0,22771.0,1.2,22398.0,
