,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Aerospace and Defense,NTS Technical Systems*#~^,Senior loan,L + 5.50(c),6.50,06/2023,,40375,,,,40070,,,1.6,,,40375
1,Aerospace and Defense,NTS Technical Systems~,Second lien,L + 9.75(b),10.75,12/2023,4589,,,4510,,,0.2,,4589,,,
2,Aerospace and Defense,NTS Technical Systems+(5),Senior loan,L + 5.50,N/A(6),06/2023,0,,,(38),,,0,,0,,,
3,Aerospace and Defense,NTS Technical Systems+(5),Senior loan,L + 5.50,N/A(6),06/2023,0,,,(68),,,0,,0,,,
4,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",Senior loan,L + 4.75(e),5.75,09/2023,714,,,709,,,0,,636,,,
5,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",Senior loan,L + 4.50(c),4.70,09/2021,160,,,159,,,0,,156,,,
6,Aerospace and Defense,Whitcraft LLC*#+~,One stop,L + 6.00(c),7.00,04/2023,63576,,,63888,,,2.5,,61031,,,
7,Aerospace and Defense,Whitcraft LLC+(5),One stop,L + 6.00,N/A(6),04/2023,0,,,(2),,,0,,(12),,,
8,Airlines,Aurora Lux Finco S.A.R.L.+(8)(13),One stop,L + 6.00(c),7.00,12/2026,990,,,970,,,0,,921,,,
9,Auto Components,Polk Acquisition Corp.*#+Senior loan,One stop,L + 6.50(a),3.50 cash/4.00 PIK,12/2023,18302,,,18169,,,0.7,,17936,,,
10,Auto Components,Polk Acquisition Corp.+Senior loan,One stop,L + 6.50(a),3.50 cash/4.00 PIK,12/2023,108,,,106,,,0,,106,,,
11,Auto Components,Polk Acquisition Corp.+Senior loan,One stop,L + 6.50(a)(c),3.50 cash/4.00 PIK,12/2023,30,,,28,,,0,,26,,,
12,Auto Components,"Power Stop, LLC+~",Senior loan,L + 4.50(a),4.61,10/2025,2828,,,2876,,,0.1,,2828,,,
13,Automobiles,JHCC Holdings LLC,One stop,L + 5.50(c),6.50,09/2025,15551,,,15321,,,0.6,,15551,,,
14,Automobiles,JHCC Holdings LLC+One stop,One stop,L + 5.50(c)(f),6.99,09/2025,128,,,126,,,0,,128,,,
15,Automobiles,JHCC Holdings LLC+One stop,One stop,P + 4.50(c)(f),7.37,09/2025,34,,,33,,,0,,34,,,
16,Automobiles,"MOP GM Holding, LLC*+~^",One stop,L + 5.75(c),6.75,11/2026,24343,,,24057,,,1.0,,24343,,,
17,Automobiles,"MOP GM Holding, LLC+One stop",One stop,L + 5.75(c),6.75,11/2026,130,,,128,,,0,,130,,,
18,Automobiles,"MOP GM Holding, LLC+(5)",One stop,L + 5.75,N/A(6),11/2026,0,,,(53),,,0,,0,,,
19,Automobiles,"Quick Quack Car Wash Holdings, LLC*#",One stop,L + 6.50(c),7.50,10/2024,13017,,,13033,,,0.5,,13017,,,
20,Automobiles,"Quick Quack Car Wash Holdings, LLC#+One stop",One stop,L + 6.50(c),7.50,10/2024,2348,,,2325,,,0.1,,2348,,,
21,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 6.50(c),7.50,10/2024,2199,,,2113,,,0.1,,2199,,,
