,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Investments,Investments,,,,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,,,,
4,Aerospace and Defense,"PPW Aero Buyer, Inc.+One stop",SF +7.0(m),11.90,02/2029,24950,24217,1.0,24451,,,,
5,Aerospace and Defense,"PPW Aero Buyer, Inc.+(5)",One stop,SF +7.0,N/A(6),02/2029,0,(  1  ),0.0,(  1  ),,,
6,Airlines,Airlines,One stop,,,,,,,,,,
7,Airlines,Aurora Lux Finco S.A.R.L. +(8)(13),One stop,L +6.0(b),10.82,12/2026,970,958,0.0,922,,,
8,Auto Components,Auto Components,One stop,,,,,,,,,,
9,Auto Components,"COP CollisionRight Holdings, Inc.#+One stop",One stop,SF +5.0(m),10.05,04/2028,9747,9604,0.4,9454,,,
10,Auto Components,"COP CollisionRight Holdings, Inc.+One stop",One stop,SF +5.0(m),9.98,04/2028,36,35,0.0,33,,,
11,Auto Components,"COP CollisionRight Holdings, Inc.+One stop",One stop,SF +5.0(m),9.78,04/2028,112,109,0.0,109,,,
12,Auto Components,"Covercraft Parent III, Inc.+Senior secured",One stop,L +4.5(b),9.25,08/2027,4865,4829,0.2,4768,,,
13,Auto Components,"Covercraft Parent III, Inc.+Senior secured",One stop,L +4.5(b),9.66,08/2027,984,966,0.1,949,,,
14,Auto Components,"Covercraft Parent III, Inc.+Senior secured",One stop,L +4.5(b)(c),9.58,08/2027,28,27,0.0,26,,,
15,Auto Components,"North Haven Falcon Buyer, LLC+(22)",One stop,L +8.0(b)(c),9.49,cash/,3.75,PIK,05/2027,6157,6042,0.2,5911
16,Auto Components,"North Haven Falcon Buyer, LLC+(22)",One stop,L +4.25(b)(c),9.47,05/2027,1031,1019,0.0,990,,,
17,Auto Components,Polk Acquisition Corp.*#+(22),Senior secured,SF +7.0(l),10.16,cash/,1.75,PIK,12/2024,18027,17980,0.7,17666
18,Auto Components,Polk Acquisition Corp.+(5)(22),Senior secured,SF +7.0(l),11.91,12/2024,0,1,0.0,(  3  ),,,
19,Auto Components,Polk Acquisition Corp.+(22),Senior secured,SF +7.0(l),10.16,cash/,1.75,PIK,12/2024,107,106,0.0,104
20,Automobiles,Automobiles,Senior secured,,,,,,,,,,
21,Automobiles,"CG Group Holdings, LLC*#+(22)",One stop,SF +8.75(m),11.65,cash/,2.00,PIK,07/2027,31602,31076,1.2,29074
22,Automobiles,"CG Group Holdings, LLC+(22)",One stop,SF +8.75(l),11.56,cash/,2.00,PIK,07/2026,342,335,0.0,318
23,Automobiles,"Denali Midco 2, LLC*#+One stop",One stop,SF +6.25(l),11.16,12/2027,42648,42311,1.7,41404,,,
24,Automobiles,"Denali Midco 2, LLC+(5)",One stop,SF +6.25,N/A(6),12/2027,0,(  4  ),0.0,(  15  ),,,
25,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(l),11.16,12/2027,197,195,0.0,191,,,
26,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(l),11.16,12/2027,99,98,0.0,96,,,
27,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(l),11.16,12/2027,79,79,0.0,77,,,
28,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(l),11.16,12/2027,79,79,0.0,77,,,
29,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(l),11.16,12/2027,65,65,0.0,63,,,
30,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.5(l),11.41,12/2027,973,947,0.0,954,,,
31,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(l),11.16,12/2027,656,651,0.0,637,,,
32,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(l),11.16,12/2027,119,118,0.0,116,,,
33,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(l),11.16,12/2027,113,113,0.0,110,,,
34,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(l),11.16,12/2027,82,81,0.0,79,,,
35,Automobiles,"Denali Midco 2, LLC+(5)",One stop,SF +6.5,N/A(6),12/2027,0,(  15  ),0.0,(  11  ),,,
36,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.5(l),11.41,12/2027,130,127,0.0,127,,,
37,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.5(l),11.41,12/2027,65,63,0.0,64,,,
38,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.5(l),11.41,12/2027,222,216,0.0,217,,,
39,Automobiles,JHCC Holdings LLC+One stop,One stop,L +5.5(b),10.66,09/2025,15235,15071,0.6,14931,,,
40,Automobiles,JHCC Holdings LLC+One stop,One stop,L +5.5(b),10.66,09/2025,493,489,0.0,483,,,
41,Automobiles,JHCC Holdings LLC+One stop,One stop,L +5.5(b),10.66,09/2025,293,291,0.0,287,,,
42,Automobiles,JHCC Holdings LLC+One stop,One stop,L +5.5(a)(b),10.52,09/2025,67,66,0.0,65,,,
43,Automobiles,JHCC Holdings LLC+One stop,One stop,L +5.5(a)(b)(d),10.63,09/2025,2658,2629,0.1,2592,,,
44,Automobiles,"MOP GM Holding, LLC*#+One stop",One stop,SF +5.75(n),10.86,11/2026,23854,23670,0.9,22662,,,
45,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.45,11/2026,2616,2598,0.1,2485,,,
46,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.70,11/2026,2586,2554,0.1,2456,,,
47,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.45,11/2026,2565,2546,0.1,2437,,,
48,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.79,11/2026,1901,1886,0.1,1806,,,
49,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.82,11/2026,1563,1552,0.1,1485,,,
50,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.62,11/2026,1441,1420,0.1,1369,,,
51,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.86,11/2026,524,521,0.0,498,,,
52,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.86,11/2026,357,354,0.0,339,,,
53,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.86,11/2026,146,145,0.0,139,,,
54,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.79,11/2026,59,59,0.0,56,,,
55,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.76,11/2026,186,184,0.0,176,,,
56,Automobiles,"MOP GM Holding, LLC+(5)",One stop,SF +5.75,N/A(6),11/2026,0,(  19  ),0.0,0,,,
57,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.82,11/2026,179,177,0.0,170,,,
58,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(n),10.82,11/2026,60,59,0.0,57,,,
59,Automobiles,"POY Holdings, LLC#",One stop,SF +5.5(m),10.55,11/2027,9495,9347,0.4,9495,,,
60,Automobiles,"POY Holdings, LLC+(5)",One stop,SF +5.5,N/A(6),11/2027,0,(  3  ),0.0,0,,,
61,Automobiles,"POY Holdings, LLC+(5)",One stop,SF +5.5,N/A(6),11/2027,0,(  1  ),0.0,0,,,
62,Automobiles,"POY Holdings, LLC+One stop",One stop,SF +5.5(m),10.55,11/2027,81,81,0.0,81,,,
63,Automobiles,"National Express Wash Parent Holdco, LLC+One stop",One stop,SF +5.5(m),10.29,07/2029,4636,4594,0.2,4450,,,
64,Automobiles,"National Express Wash Parent Holdco, LLC+(5)",One stop,SF +5.5,N/A(6),07/2029,0,(  2  ),0.0,(  8  ),,,
65,Automobiles,"National Express Wash Parent Holdco, LLC+(5)",One stop,SF +5.5,N/A(6),07/2029,0,(  7  ),0.0,0,,,
66,Automobiles,"Quick Quack Car Wash Holdings, LLC*#",One stop,SF +7.0(m),11.83,10/2024,12749,12722,0.5,12749,,,
67,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +7.0(m),11.83,10/2024,9724,9702,0.4,9724,,,
68,Automobiles,"Quick Quack Car Wash Holdings, LLC#+One stop",One stop,SF +7.0(m),11.83,10/2024,2301,2296,0.1,2301,,,
69,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,SF +7.0(m),11.83,10/2024,2009,2022,0.1,2009,,,
70,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,SF +7.0(m),11.83,10/2024,1342,1351,0.1,1342,,,
71,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,SF +7.0(m),11.83,10/2024,1094,1093,0.1,1094,,,
72,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +7.0(m),11.83,10/2024,95,90,0.0,95,,,
73,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +7.0,N/A(6),10/2024,0,0,0.0,0,,,
74,Automobiles,"Quick Quack Car Wash Holdings, LLC+(5)",One stop,SF +7.0,N/A(6),10/2024,0,(  1  ),0.0,0,,,
75,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +7.0(m),11.83,10/2024,343,339,0.0,343,,,
76,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +7.0(m),11.83,10/2024,104,100,0.0,104,,,
77,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +7.0(m),11.83,10/2024,3310,3282,0.1,3310,,,
78,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +7.0(m),11.83,10/2024,95,93,0.0,95,,,
79,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.5(m),11.31,07/2028,8327,8180,0.3,7995,,,
80,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.5(m),11.35,07/2028,904,896,0.0,868,,,
81,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.5(l),11.39,07/2028,6,5,0.0,5,,,
