,0,1,2,3,4,5,6,7,8
0,Investments,,,,,,,,
1,Canada,,,,,,,,
2,Debt investments,,,,,,,,
3,"Leisure, Amusement, Motion Pictures, Entertainment",,,,,,,,
4,"Extreme Fitness,  Inc.  (3)(8)",Subordinated debt,No Value,12.00 cash/  2.50 PIK,11/2015,2842.0,2810,0.0,0
5,United States,,,,,,,,
6,Debt investments,,,,,,,,
7,Aerospace and Defense,,,,,,,,
8,"ILC Dover, LP",Senior loan,L + 6.00,7.25,07/2017,606.0,601,0.1,594
9,"ILC Dover, LP",Senior loan,P + 5.00,8.25,07/2017,148.0,141,0.0,139
10,"ILC Dover, LP",Senior loan,L + 6.00,7.25,07/2017,4352.0,4286,0.6,4265
11,"Tresys Technology Holdings, Inc.  (4)",One stop,L + 6.75,(5),12/2017,0.0,(8,0.0,(34
12,"Tresys Technology Holdings, Inc.",One stop,L + 6.75,8.00,12/2017,3975.0,3891,0.6,3776
13,TurboCombustor Technology Inc.*,Senior loan,L + 4.75,5.75,12/2017,381.0,379,0.1,381
14,TurboCombustor Technology Inc.*,Senior loan,L + 5.00,6.00,12/2017,895.0,892,0.1,895
15,Whitcraft LLC,Subordinated debt,No Value,12.00,12/2018,1877.0,1853,0.3,1877
16,"White Oak Technologies, Inc.  (4)",Senior loan,L + 5.00,(5),03/2017,0.0,(9,0.0,0
17,"White Oak Technologies, Inc.*",Senior loan,L + 5.00,6.25,03/2017,1833.0,1797,0.3,1833
18,Automobile,,,,,,,,
19,"ABRA, Inc.  (9)",One stop,P + 4.50,7.75,05/2018,841.0,821,0.1,841
20,"ABRA, Inc.*  (9)",One stop,L + 5.75,7.00,05/2018,26372.0,26189,4.0,26372
21,"ABRA, Inc.*  (4),(9)",One stop,L + 5.75,(5),05/2018,0.0,(12,0.0,0
22,"ABRA, Inc.  (4),(9)",One stop,L + 5.75,(5),05/2018,0.0,(48,0.0,0
23,"American Driveline Systems, Inc.",Senior loan,P + 6.50,9.75,01/2016,391.0,386,0.1,352
24,"American Driveline Systems, Inc.*",Senior loan,P + 6.50,9.75,01/2016,2826.0,2793,0.4,2543
25,"Express Oil Change,  LLC",Senior loan,P + 3.50,6.75,12/2017,116.0,112,0.0,116
26,"Express Oil Change,  LLC",Senior loan,P + 3.50,6.75,12/2017,181.0,178,0.0,181
27,"Express Oil Change, LLC*",Senior loan,P + 3.50,6.75,12/2017,1818.0,1803,0.3,1818
28,"K&N Engineering,  Inc.  (4)",Senior loan,L + 4.50,(5),04/2018,0.0,(7,0.0,0
29,"K&N Engineering,  Inc.*",Senior loan,L + 4.50,5.75,04/2018,7279.0,7179,1.1,7279
30,"Take 5 Oil Change, L.L.C.",Senior loan,L + 5.25,6.25,07/2018,118.0,114,0.0,114
31,"Take 5 Oil Change, L.L.C.",Senior loan,L + 5.25,6.25,07/2018,2978.0,2957,0.5,2956
32,Banking,,,,,,,,
33,Prommis Fin Co.*  (3),Senior loan,P + 10.50,2.25 cash/  11.50 PIK,06/2015,146.0,145,0.0,40
34,Prommis Fin Co.,Senior loan,P + 11.00,13.25,06/2015,98.0,98,0.0,23
35,Prommis Fin Co.*  (3),Second lien,P + 10.50,2.25 cash/  11.50 PIK,06/2015,384.0,382,0.0,0
36,Prommis Fin Co.*  (3),Subordinated debt,P + 10.50,2.25 cash/  11.50 PIK,06/2015,192.0,191,0.0,0
37,"Beverage, Food and Tobacco",,,,,,,,
38,ABP Corporation,Senior loan,P + 3.50,7.25,06/2016,63.0,58,0.0,63
39,ABP Corporation*,Senior loan,L + 4.75,6.00,06/2016,4490.0,4442,0.7,4490
40,"American Importing Company, Inc.",One stop,L + 5.75,7.00,05/2018,14806.0,14624,2.3,14806
41,"Ameriqual Group, LLC*",Senior loan,L + 5.00,6.50,03/2016,1727.0,1710,0.3,1658
42,"Ameriqual Group, LLC*",Senior loan,L + 7.50,9.00,03/2016,831.0,823,0.1,731
43,"Atkins Nutritionals, Inc.*",One stop,L + 5.00,6.25,01/2019,22339.0,22097,3.4,22395
44,"Atkins Nutritionals, Inc.*",One stop,L + 8.50,9.75,04/2019,17270.0,16830,2.7,17529
45,"Candy Intermediate Holdings, Inc. (Ferrara Candy)",Senior loan,L + 6.25,7.50,06/2018,4937.0,4800,0.7,4777
46,"Firebirds International, LLC",One stop,L + 5.75,7.00,05/2018,83.0,79,0.0,79
47,"Firebirds International, LLC  (4)",One stop,L + 5.75,(5),05/2018,0.0,(3,0.0,(3
48,"Firebirds International, LLC  (4)",One stop,L + 5.75,(5),05/2018,0.0,(2,0.0,(1
49,"Firebirds International, LLC*",One stop,L + 5.75,7.00,05/2018,912.0,901,0.1,902
50,"First Watch Restaurants, Inc.",One stop,L + 7.50,8.75,12/2016,418.0,396,0.1,418
51,"First Watch Restaurants, Inc.",One stop,L + 7.50,8.75,12/2016,955.0,933,0.1,955
52,"First Watch Restaurants, Inc.*",One stop,L + 7.50,8.75,12/2016,11385.0,11238,1.7,11385
53,IT'SUGAR LLC,Subordinated debt,No Value,8.00,10/2017,1707.0,1707,0.4,2697
54,IT'SUGAR LLC,Senior loan,L + 8.50,10.00,04/2017,4213.0,4153,0.6,4213
55,Julio & Sons  Company  (4),One stop,L + 7.00,(5),09/2014,0.0,(7,0.0,0
56,Julio & Sons Company*,One stop,L + 7.00,8.50,09/2016,7049.0,7008,1.1,7049
57,Julio & Sons  Company  (4),One stop,L + 7.00,(5),09/2014,0.0,(9,0.0,0
58,"Northern Brewer, LLC",One stop,L + 6.50,8.00,02/2018,695.0,683,0.1,695
59,"Northern Brewer, LLC",One stop,L + 6.50,8.00,02/2018,6413.0,6271,1.0,6413
60,"Richelieu Foods, Inc.",Senior loan,P + 4.00,7.25,11/2015,132.0,123,0.0,132
61,"Richelieu Foods, Inc.*",Senior loan,L + 5.00,6.75,11/2015,1988.0,1958,0.3,1988
62,Smashburger Finance LLC  (4),Senior loan,L + 4.25,(5),05/2018,0.0,(9,0.0,(6
63,Smashburger Finance LLC*,Senior loan,L + 4.25,5.50,05/2018,6532.0,6485,1.0,6500
64,Building and Real Estate,,,,,,,,
65,"ITEL Laboratories,  Inc.  (4)",Senior loan,L + 4.75,(5),06/2018,0.0,(1,0.0,0
66,"ITEL Laboratories, Inc.*",Senior loan,L + 4.75,6.00,06/2018,801.0,792,0.1,801
