,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,"ILC Dover, LP  *^#",One stop,L + 9.00,8.00 cash/2.00 PIK,03/2020,17730,17592,1.7,15070
5,Aerospace and Defense,"ILC Dover, LP",One stop,L + 9.00,8.00 cash/2.00 PIK,03/2019,784,776,0.1,667
6,Aerospace and Defense,NTS Technical Systems  *^#,One stop,L + 6.25,7.25,06/2021,26079,25721,2.9,25557
7,Aerospace and Defense,NTS Technical Systems  (4),One stop,L + 6.25,N/A  (5),06/2021,-,(83,-,(71
8,Aerospace and Defense,NTS Technical Systems  (4),One stop,L + 6.25,N/A  (5),06/2021,-,(39,-,(57
9,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (6)",One stop,L + 6.75,8.00,12/2017,3899,3845,0.1,1170
10,Aerospace and Defense,"Tresys Technology Holdings, Inc.",One stop,L + 6.75,8.00,12/2017,537,535,0.1,537
11,Aerospace and Defense,"Tronair Parent, Inc.  (4)",Senior loan,L + 4.50,N/A  (5),09/2021,-,(1,-,-
12,Aerospace and Defense,Whitcraft LLC  *^,One stop,L + 6.50,7.50,05/2020,13504,13404,1.5,13504
13,Aerospace and Defense,Whitcraft LLC  (4),One stop,L + 6.50,N/A  (5),05/2020,-,(1,-,-
14,Automobile,Automobile,One stop,,,,,,,
15,Automobile,"American Driveline Systems, Inc.  *",Senior loan,L + 5.75,6.75,03/2020,1798,1758,0.2,1798
16,Automobile,"American Driveline Systems, Inc.  ^",Senior loan,L + 5.75,6.75,03/2020,233,229,-,233
17,Automobile,"American Driveline Systems, Inc.",Senior loan,P + 4.75,8.25,03/2020,46,40,-,46
18,Automobile,CH Hold Corp. (Caliber Collision)  *#,Senior loan,L + 5.25,6.25,11/2019,5144,5108,0.6,5144
19,Automobile,Dent Wizard International Corporation  *,Senior loan,L + 4.75,5.75,04/2020,2469,2460,0.3,2469
20,Automobile,"K&N Engineering, Inc.  ^",Senior loan,P + 3.25,6.75,07/2019,2821,2797,0.3,2821
21,Automobile,"K&N Engineering, Inc.  ^",Senior loan,L + 4.25,5.25,07/2019,133,122,-,133
22,Automobile,"K&N Engineering, Inc.  (4)",Senior loan,L + 4.25,N/A  (5),07/2019,-,(2,-,-
23,Automobile,OEConnection LLC  *,Senior loan,L + 5.00,6.00,06/2022,4883,4763,0.6,4883
24,Automobile,OEConnection LLC  (4),Senior loan,L + 5.00,N/A  (5),06/2021,-,(1,-,-
25,Automobile,Polk Acquisition Corp.  *,Senior loan,L + 5.00,6.00,06/2022,4734,4662,0.5,4734
26,Automobile,Polk Acquisition Corp.,Senior loan,L + 5.00,6.00,06/2022,54,53,-,54
27,Automobile,Polk Acquisition Corp.,Senior loan,L + 5.00,6.64,06/2022,18,16,-,18
28,Automobile,Polk Acquisition Corp.  (4),Senior loan,L + 5.00,N/A  (5),06/2022,-,(2,-,-
29,Automobile,T5 Merger Corporation  ^,One stop,L + 6.25,7.25,03/2022,3200,3148,0.4,3168
30,Automobile,T5 Merger Corporation  (4),One stop,L + 6.25,N/A  (5),03/2022,-,(2,-,(1
31,Banking,Banking,One stop,,,,,,,
32,Banking,HedgeServ Holding L.P.  *^#,One stop,L + 8.00,7.00 cash/2.00 PIK,02/2019,17529,17451,2.0,17529
33,Banking,HedgeServ Holding L.P.  (4),One stop,L + 6.00,N/A  (5),02/2019,-,(4,-,-
34,"Beverage, Food and Tobacco","Beverage, Food and Tobacco",One stop,,,,,,,
35,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.",One stop,L + 5.75,6.75,04/2021,7993,7871,0.8,7194
36,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.  (4)",One stop,L + 5.75,6.75,04/2021,4,3,-,(11
37,"Beverage, Food and Tobacco",ABP Corporation  *,Senior loan,L + 4.75,6.00,09/2018,4696,4667,0.5,4461
38,"Beverage, Food and Tobacco",ABP Corporation,Senior loan,P + 3.50,7.25,09/2018,250,247,-,225
39,"Beverage, Food and Tobacco","Atkins Nutritionals, Inc  *^",One stop,L + 8.50,9.75,04/2019,21636,21464,2.5,21636
40,"Beverage, Food and Tobacco","Atkins Nutritionals, Inc  *^#",One stop,L + 5.00,6.25,01/2019,16872,16752,1.9,16872
41,"Beverage, Food and Tobacco","Benihana, Inc.  *^",One stop,L + 6.00,7.25,01/2019,15279,15064,1.7,14973
42,"Beverage, Food and Tobacco","Benihana, Inc.",One stop,P + 4.75,7.92,07/2018,1628,1599,0.2,1585
43,"Beverage, Food and Tobacco","C. J. Foods, Inc.  *",One stop,L + 5.00,6.00,05/2019,3141,3116,0.4,3141
44,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 5.00,6.00,05/2019,663,656,0.1,663
45,"Beverage, Food and Tobacco","C. J. Foods, Inc.  (4)",One stop,L + 5.00,N/A  (5),05/2019,-,(5,-,-
46,"Beverage, Food and Tobacco","Firebirds International, LLC  *",One stop,L + 5.75,7.00,05/2018,1074,1067,0.1,1074
47,"Beverage, Food and Tobacco – (continued)","Beverage, Food and Tobacco – (continued)",One stop,,,,,,,
48,"Beverage, Food and Tobacco – (continued)","Firebirds International, LLC  *",One stop,L + 5.75,7.00,05/2018,302,300,-,302
49,"Beverage, Food and Tobacco – (continued)","Firebirds International, LLC",One stop,L + 5.75,7.00,05/2018,55,53,-,55
50,"Beverage, Food and Tobacco – (continued)","Firebirds International, LLC  (4)",One stop,L + 5.75,N/A  (5),05/2018,-,(1,-,-
51,"Beverage, Food and Tobacco – (continued)","First Watch Restaurants, Inc.  *^#",One stop,L + 6.00,7.15,12/2020,25596,25384,2.9,25596
52,"Beverage, Food and Tobacco – (continued)","First Watch Restaurants, Inc.",One stop,P + 5.00,8.05,12/2020,1603,1596,0.2,1603
53,"Beverage, Food and Tobacco – (continued)","First Watch Restaurants, Inc.",One stop,L + 6.00,7.00,12/2020,1258,1248,0.1,1258
54,"Beverage, Food and Tobacco – (continued)","First Watch Restaurants, Inc.",One stop,L + 6.00,7.00,12/2020,1255,1246,0.2,1255
55,"Beverage, Food and Tobacco – (continued)","First Watch Restaurants, Inc.  (4)",One stop,L + 6.00,N/A  (5),12/2020,-,(8,-,-
56,"Beverage, Food and Tobacco – (continued)","Hopdoddy Holdings, LLC",One stop,L + 8.00,9.00,08/2020,660,649,0.1,660
57,"Beverage, Food and Tobacco – (continued)","Hopdoddy Holdings, LLC",One stop,L + 8.00,N/A  (5),08/2020,-,-,-,-
58,"Beverage, Food and Tobacco – (continued)","Hopdoddy Holdings, LLC  (4)",One stop,L + 8.00,N/A  (5),08/2020,-,(3,-,-
59,"Beverage, Food and Tobacco – (continued)",IT'SUGAR LLC,Subordinated debt,No Value,8.00,10/2017,1707,1707,0.2,1384
60,"Beverage, Food and Tobacco – (continued)","Purfoods, LLC",One stop,L + 6.25,7.25,05/2021,8647,8449,1.0,8647
61,"Beverage, Food and Tobacco – (continued)","Purfoods, LLC",One stop,No Value,7.00 PIK,05/2026,101,101,-,101
62,"Beverage, Food and Tobacco – (continued)","Purfoods, LLC",One stop,L + 6.25,7.25,05/2021,25,24,-,25
63,"Beverage, Food and Tobacco – (continued)","Purfoods, LLC  (4)",One stop,L + 6.25,N/A  (5),05/2021,-,(1,-,-
64,"Beverage, Food and Tobacco – (continued)","Restaurant Holding Company, LLC  #",Senior loan,L + 7.75,8.75,02/2019,4605,4581,0.5,4513
65,"Beverage, Food and Tobacco – (continued)","Rubio's Restaurants, Inc  *^",Senior loan,L + 4.75,6.00,11/2018,8919,8879,1.0,8919
66,"Beverage, Food and Tobacco – (continued)",Smashburger Finance LLC,Senior loan,L + 5.50,6.75,05/2018,87,86,-,85
67,"Beverage, Food and Tobacco – (continued)",Smashburger Finance LLC  (4),Senior loan,L + 5.50,N/A  (5),05/2018,-,(2,-,-
68,"Beverage, Food and Tobacco – (continued)",Surfside Coffee Company LLC  ^,One stop,L + 5.25,6.25,06/2020,4470,4436,0.5,4470
69,"Beverage, Food and Tobacco – (continued)",Surfside Coffee Company LLC,One stop,L + 5.25,6.25,06/2020,337,329,-,337
70,"Beverage, Food and Tobacco – (continued)",Surfside Coffee Company LLC,One stop,L + 5.25,6.25,06/2020,26,25,-,26
71,"Beverage, Food and Tobacco – (continued)","Tate's Bake Shop, Inc.  #",Senior loan,L + 5.00,6.00,08/2019,597,593,0.1,597
72,"Beverage, Food and Tobacco – (continued)",Uinta Brewing Company  ^,One stop,L + 8.50,9.50,08/2019,3734,3713,0.4,3622
73,"Beverage, Food and Tobacco – (continued)",Uinta Brewing Company,One stop,L + 8.50,9.50,08/2019,308,305,-,296
74,Broadcasting and Entertainment,Broadcasting and Entertainment,One stop,,,,,,,
75,Broadcasting and Entertainment,"TouchTunes Interactive Networks, Inc.  ^",Senior loan,L + 4.75,5.75,05/2021,1477,1471,0.2,1483
76,Building and Real Estate,Building and Real Estate,Senior loan,,,,,,,
77,Building and Real Estate,"Brooks Equipment Company, LLC  *^",One stop,L + 5.00,6.00,08/2020,22970,22747,2.6,22970
78,Building and Real Estate,"Brooks Equipment Company, LLC  (4)",One stop,L + 5.00,N/A  (5),08/2020,-,(13,-,-
79,Building and Real Estate,"ITEL Laboratories, Inc.  *",Senior loan,L + 4.50,5.75,06/2018,634,631,0.1,634
80,Building and Real Estate,"ITEL Laboratories, Inc.",Senior loan,L + 4.50,N/A  (5),06/2018,-,-,-,-
81,"Containers, Packaging and Glass","Containers, Packaging and Glass",Senior loan,,,,,,,
82,"Containers, Packaging and Glass",Fort Dearborn Company  *^,Senior loan,L + 4.75,5.75,10/2018,2980,2969,0.3,2980
83,"Containers, Packaging and Glass",Fort Dearborn Company  *^,Senior loan,L + 4.25,5.25,10/2017,509,508,0.1,509
84,Diversified Conglomerate Manufacturing,Diversified Conglomerate Manufacturing,Senior loan,,,,,,,
