,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Aerospace and Defense,"ILC Dover, LP  #+!~",Senior loan,L + 4.75(a)(c)(d),6.94,12/2023,6617,,,6583,,,0.3,,,6617,
1,Aerospace and Defense,NTS Technical Systems  ^*#+!~,One stop,L + 6.25(a)(c),8.35,06/2021,25650.0,25611,,,1.2,,,25650,,,
2,Aerospace and Defense,NTS Technical Systems  #+!~,One stop,L + 6.25(a)(c),8.35,06/2021,4210.0,4201,,,0.2,,,4210,,,
3,Aerospace and Defense,NTS Technical Systems  (5),One stop,L + 6.25,N/A  (6),06/2021,0.0,(40,,,0.0,,,0,,,
4,Aerospace and Defense,"Tronair Parent, Inc.  ^+Senior loan",One stop,L + 4.75(c),6.93,09/2023,726.0,717,,,0.0,,,682,,,
5,Aerospace and Defense,"Tronair Parent, Inc.",Senior loan,L + 4.50(c)(f),6.96,09/2021,160.0,157,,,0.0,,,148,,,
6,Aerospace and Defense,Whitcraft LLC  ^*+One stop,Senior loan,L + 5.50(c),7.60,04/2023,42099.0,43102,,,1.9,,,42099,,,
7,Aerospace and Defense,Whitcraft LLC,One stop,L + 5.50(c),7.60,04/2023,8300.0,8292,,,0.4,,,8300,,,
8,Aerospace and Defense,Whitcraft LLC  (5),One stop,L + 5.50,N/A  (6),04/2023,0.0,(1,,,0.0,,,0,,,
9,Automobile,Dent Wizard International Corporation  #+!~,Senior loan,L + 4.00(a),6.05,04/2022,12338.0,12498,,,0.6,,,12338,,,
10,Automobile,"Grease Monkey International, LLC  ^*",Senior loan,L + 5.00(a),7.04,11/2022,7834.0,7934,,,0.4,,,7834,,,
11,Automobile,"Grease Monkey International, LLC  #!~",Senior loan,L + 5.00(a),7.04,11/2022,2394.0,2494,,,0.1,,,2394,,,
12,Automobile,"Grease Monkey International, LLC  #!~",Senior loan,L + 5.00(a),7.04,11/2022,1215.0,1267,,,0.1,,,1215,,,
13,Automobile,"Grease Monkey International, LLC  #+!~",Senior loan,L + 5.00(a),7.04,11/2022,1100.0,1144,,,0.1,,,1100,,,
14,Automobile,"Grease Monkey International, LLC",Senior loan,L + 5.00(a),7.04,11/2022,126.0,130,,,0.0,,,126,,,
15,Automobile,"Grease Monkey International, LLC",Senior loan,L + 5.00(a),7.04,11/2022,110.0,111,,,0.0,,,110,,,
16,Automobile,JHCC Holdings LLC,One stop,L + 5.50(c),7.60,09/2025,15788.0,15475,,,0.7,,,15630,,,
17,Automobile,JHCC Holdings LLC,One stop,L + 5.50(a),7.54,09/2025,10.0,9,,,0.0,,,9,,,
18,Automobile,JHCC Holdings LLC  (5),One stop,L + 5.50,N/A  (6),09/2025,0.0,(3,,,0.0,,,(3,,,
19,Automobile,Polk Acquisition Corp.  *,Senior loan,L + 5.25(a),7.29,06/2022,5185.0,5307,,,0.2,,,5081,,,
20,Automobile,Polk Acquisition Corp.,Senior loan,L + 5.25(a),7.29,06/2022,30.0,31,,,0.0,,,30,,,
21,Automobile,"Power Stop, LLC  #+!~",Senior loan,L + 4.75(c),6.85,10/2025,2871.0,2935,,,0.1,,,2871,,,
22,Automobile,"Quick Quack Car Wash Holdings, LLC  *",One stop,L + 6.50(a),8.54,04/2023,13218.0,13345,,,0.6,,,13218,,,
23,Automobile,"Quick Quack Car Wash Holdings, LLC  *",One stop,L + 6.50(a),8.54,04/2023,2084.0,2169,,,0.1,,,2084,,,
24,Automobile,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50(a)(c),8.55,04/2023,1822.0,1897,,,0.1,,,1822,,,
25,Automobile,"Quick Quack Car Wash Holdings, LLC  *",One stop,L + 6.50(a),8.54,04/2023,1392.0,1450,,,0.1,,,1392,,,
26,Automobile,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50(a),8.55,04/2023,80.0,82,,,0.0,,,80,,,
27,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.  +One stop",One stop,L + 5.75(c),7.87,04/2021,9983.0,10051,,,0.5,,,9882,,,
28,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.  (5)",One stop,L + 5.75,N/A  (6),04/2021,0.0,(1,,,0.0,,,(2,,,
29,"Beverage, Food and Tobacco",BJH Holdings III Corp.  #+!~,One stop,L + 5.75(a),7.79,08/2025,46400.0,48003,,,2.1,,,45936,,,
30,"Beverage, Food and Tobacco",BJH Holdings III Corp.,One stop,L + 5.75(a),7.79,08/2025,160.0,151,,,0.0,,,152,,,
31,"Beverage, Food and Tobacco","C. J. Foods, Inc.  ^*",One stop,L + 6.25(c),8.35,05/2020,29179.0,30052,,,1.3,,,29179,,,
32,"Beverage, Food and Tobacco","C. J. Foods, Inc  .^",One stop,L + 6.25(c),8.35,05/2020,2207.0,2275,,,0.1,,,2207,,,
33,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 6.25(a),8.30,05/2020,592.0,636,,,0.0,,,592,,,
34,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  ^",One stop,L + 5.75(c),7.95,09/2023,18801.0,19065,,,0.9,,,18801,,,
35,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.",One stop,L + 5.75(c),7.95,09/2023,2270.0,2367,,,0.1,,,2270,,,
36,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  *",One stop,L + 5.75(c),7.95,09/2023,1442.0,1503,,,0.1,,,1442,,,
37,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.",One stop,L + 5.75(c),7.95,09/2023,1273.0,1327,,,0.1,,,1273,,,
38,"Beverage, Food and Tobacco - (continued)","Cafe Rio Holding, Inc.",One stop,L + 5.75(c),7.85,09/2023,335,,,332,,,0.0,,,335,
39,"Beverage, Food and Tobacco - (continued)","Cafe Rio Holding, Inc.",One stop,L + 5.75(c),0.0785,09/2023,183.0,183,,,0.0,,,183,,,
40,"Beverage, Food and Tobacco - (continued)","Cafe Rio Holding, Inc.",One stop,P + 4.75(f),0.0975,09/2023,60.0,61,,,0.0,,,60,,,
41,"Beverage, Food and Tobacco - (continued)","Fintech Midco, LLC  *",One stop,L + 5.25(a),7.30,08/2024,24661.0,25093,,,1.1,,,24661,,,
42,"Beverage, Food and Tobacco - (continued)","Fintech Midco, LLC",One stop,L + 5.25(a),7.30,08/2024,1142.0,1190,,,0.1,,,1142,,,
43,"Beverage, Food and Tobacco - (continued)","Fintech Midco, LLC  (5)",One stop,L + 5.25,N/A  (6),08/2024,0.0,(1,,,0.0,,,0,,,
44,"Beverage, Food and Tobacco - (continued)","Fintech Midco, LLC  (5)",One stop,L + 5.25,N/A  (6),08/2024,0.0,(1,,,0.0,,,0,,,
45,"Beverage, Food and Tobacco - (continued)","Flavor Producers, LLC  #!~",Senior loan,L + 4.75(c),6.85,12/2023,5031.0,4903,,,0.2,,,4630,,,
46,"Beverage, Food and Tobacco - (continued)","Flavor Producers, LLC  (5)",Senior loan,L + 4.75,N/A  (6),12/2022,0.0,(6,,,0.0,,,(10,,,
47,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation  ^,One stop,L + 5.50(a),7.55,08/2023,9203.0,9334,,,0.4,,,9203,,,
48,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,L + 5.50(a),7.55,08/2023,1839.0,1916,,,0.1,,,1839,,,
49,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,L + 5.50(a),7.55,08/2023,1163.0,1211,,,0.1,,,1163,,,
50,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,L + 5.50(a),7.55,08/2023,368.0,381,,,0.0,,,368,,,
51,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,L + 5.50(a),7.55,08/2023,275.0,285,,,0.0,,,275,,,
52,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,L + 5.50(a),7.55,08/2023,34.0,33,,,0.0,,,34,,,
53,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,L + 5.50,N/A  (6),08/2023,0.0,0,,,0.0,,,0,,,
54,"Beverage, Food and Tobacco - (continued)",Global ID Corporation  *#+!~,One stop,L + 6.50(c),8.60,11/2021,11798.0,12028,,,0.5,,,11798,,,
55,"Beverage, Food and Tobacco - (continued)",Global ID Corporation  *,One stop,L + 6.50(c),8.60,11/2021,821.0,854,,,0.0,,,821,,,
56,"Beverage, Food and Tobacco - (continued)",Global ID Corporation,One stop,L + 6.50(c),8.60,11/2021,719.0,749,,,0.0,,,719,,,
57,"Beverage, Food and Tobacco - (continued)",Global ID Corporation,One stop,L + 6.50(c),8.60,11/2021,494.0,513,,,0.0,,,494,,,
58,"Beverage, Food and Tobacco - (continued)",Global ID Corporation,One stop,L + 6.50,N/A  (6),11/2021,0.0,0,,,0.0,,,0,,,
59,"Beverage, Food and Tobacco - (continued)",Global ID Corporation,One stop,L + 6.50,N/A  (6),11/2021,0.0,0,,,0.0,,,0,,,
60,"Beverage, Food and Tobacco - (continued)","Mendocino Farms, LLC",One stop,L + 8.50(a),3.04 cash/7.50 PIK,06/2023,767.0,799,,,0.0,,,767,,,
61,"Beverage, Food and Tobacco - (continued)","Mendocino Farms, LLC",One stop,L + 8.50(a),3.04 cash/7.50 PIK,06/2023,604.0,628,,,0.0,,,604,,,
62,"Beverage, Food and Tobacco - (continued)","Mendocino Farms, LLC  (5)",One stop,L + 1.00,N/A  (6),06/2023,0.0,(1,,,0.0,,,0,,,
63,"Beverage, Food and Tobacco - (continued)","Mid-America Pet Food, L.L.C.  ^*",One stop,L + 6.00(c),8.10,12/2021,22514.0,22992,,,1.0,,,22514,,,
