,0,1,2,3,4,5,6,7,8,9
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,NTS Technical Systems*#~^,One stop,L + 6.00(c),7.00,06/2021,25330,25312,1.0,25330.0
5,Aerospace and Defense,NTS Technical Systems~^,One stop,L + 6.00(c),7.00,06/2021,4150,4147,0.2,4150
6,Aerospace and Defense,NTS Technical Systems(5),One stop,L + 6.00,N/A(6),06/2021,0,(17),0,0
7,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",One stop,L + 4.75(c),5.75,09/2023,718,711,0,638
8,Aerospace and Defense,"Tronair Parent, Inc.",Senior loan,L + 4.50(c)(f),4.73,09/2021,160,159,0,152
9,Aerospace and Defense,Whitcraft LLC*#+~,One stop,L + 6.00(c),7.00,04/2023,63896,64289,2.5,58785
10,Aerospace and Defense,Whitcraft LLC,One stop,L + 6.00(c),7.00,04/2023,120,118,0,96
11,Airlines,Airlines,One stop,,,,,,,
12,Airlines,Aurora Lux Finco S.A.R.L.!(8)(13),One stop,L + 6.00(c),7.00,12/2026,995,973,0,896
13,Auto Components,Auto Components,One stop,,,,,,,
14,Auto Components,Polk Acquisition Corp.*#,Senior loan,L + 6.50(a),3.50 cash/4.00 PIK,12/2023,18042,17859,0.7,16599
15,Auto Components,Polk Acquisition Corp.,Senior loan,L + 6.50(a),3.50 cash/4.00 PIK,12/2023,106,104,0,98
16,Auto Components,Polk Acquisition Corp.,Senior loan,L + 6.50(a),3.50 cash/4.00 PIK,12/2023,22,21,0,10
17,Auto Components,"Power Stop, LLC+~",Senior loan,L + 4.50(a),4.65,10/2025,2842,2896,0.1,2785
18,Automobiles,Automobiles,Senior loan,,,,,,,
19,Automobiles,"Grease Monkey International, LLC*#+Senior loan",Senior loan,L + 5.00(c),6.00,11/2022,8672,8733,0.4,8672
20,Automobiles,"Grease Monkey International, LLC!~",Senior loan,L + 5.00(c),6.00,11/2022,2370,2437,0.1,2370
21,Automobiles,"Grease Monkey International, LLC#~",Senior loan,L + 5.00(c),6.00,11/2022,1203,1238,0.1,1203
22,Automobiles,"Grease Monkey International, LLC+~",Senior loan,L + 5.00(c),6.00,11/2022,1089,1119,0,1089
23,Automobiles,"Grease Monkey International, LLC",Senior loan,L + 5.00(c),6.00,11/2022,995,997,0,995
24,Automobiles,"Grease Monkey International, LLC",Senior loan,L + 5.00,N/A(6),11/2022,0,1,0,0
25,Automobiles,"Grease Monkey International, LLC",Senior loan,L + 5.00,N/A(6),11/2022,0,0,0,0
26,Automobiles,JHCC Holdings LLC,One stop,L + 5.50(c),6.50,09/2025,15630,15373,0.7,15630
27,Automobiles,JHCC Holdings LLC,One stop,L + 5.50(c),6.50,09/2025,79,76,0,79
28,Automobiles,JHCC Holdings LLC,One stop,P + 4.50(c)(f),7.55,09/2025,31,30,0,31
29,Automobiles,"Quick Quack Car Wash Holdings, LLC*#",One stop,L + 6.50(d),7.50,04/2023,13084,13176,0.5,13084
30,Automobiles,"Quick Quack Car Wash Holdings, LLC#",One stop,L + 6.50(c)(d),7.50,04/2023,2360,2343,0.1,2360
31,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.50(d),7.50,04/2023,2062,2124,0.1,2062
32,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.50(d),7.50,04/2023,1378,1420,0.1,1378
33,Automobiles,"Quick Quack Car Wash Holdings, LLC*",One stop,L + 6.50(d),7.50,04/2023,1122,1176,0,1122
34,Automobiles,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50,N/A(6),04/2023,0,1,0,0
35,Beverages,Beverages,One stop,,,,,,,
36,Beverages,"Abita Brewing Co., L.L.C.+(7)",One stop,L + 8.00(c),9.00,04/2021,9983,9992,0.4,8485.0
37,Beverages,"Abita Brewing Co., L.L.C.(7)",One stop,L + 8.00(c),9.00,04/2021,40,40,0,34
38,Beverages,"Fintech Midco, LLC*#!",One stop,L + 5.00(a),6.00,08/2024,24411,24756,1.0,23679
39,Beverages,"Fintech Midco, LLC#",One stop,L + 5.00(a),6.00,08/2024,1131,1168,0,1096
40,Beverages,"Fintech Midco, LLC(5)",One stop,L + 5.00,N/A(6),08/2024,0,(1),0,(6)
41,Biotechnology,Biotechnology,One stop,,,,,,,
42,Biotechnology,"BIO18 Borrower, LLC!",One stop,L + 5.25(c),6.25,11/2024,11075,11111,0.4,11075
43,Biotechnology,"BIO18 Borrower, LLC*#",One stop,L + 5.25(c),6.25,11/2024,3963,3928,0.2,3963
44,Biotechnology,"BIO18 Borrower, LLC",One stop,L + 5.25(c),6.25,11/2024,210,210,0,210
45,Biotechnology,"BIO18 Borrower, LLC(5)",One stop,L + 5.25,N/A(6),11/2024,0,(1),0,0
46,Building Products,Building Products,One stop,,,,,,,
47,Building Products,"Brooks Equipment Company, LLC*#^",One stop,L + 5.00(c),6.00,05/2021,23722,23640,1.0,23722
48,Building Products,"Brooks Equipment Company, LLC(5)",One stop,L + 5.00,N/A(6),05/2021,0,(9),0,0
49,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L + 4.50(c)(f),5.50,03/2024,4191,4191,0.2,4066
50,Building Products,"Jensen Hughes, Inc.",Senior loan,L + 4.50(c)(f),5.50,03/2024,1065,1098,0,1021
51,Building Products,"Jensen Hughes, Inc.+Senior loan",Senior loan,L + 4.50(c)(f),5.50,03/2024,913,927,0.1,886
52,Building Products,"Jensen Hughes, Inc.",Senior loan,L + 4.50(c)(f),5.50,03/2024,439,453,0,426
53,Building Products,"Jensen Hughes, Inc.+Senior loan",Senior loan,L + 4.50(c)(f),5.50,03/2024,279,283,0,271
54,Building Products,"Jensen Hughes, Inc.",Senior loan,L + 4.50(c)(f),5.50,03/2024,218,218,0,212
55,Building Products,"Jensen Hughes, Inc.+Senior loan",Senior loan,L + 4.50(c)(f),5.50,03/2024,117,117,0,113
56,Chemicals,Chemicals,Senior loan,,,,,,,
57,Chemicals,Inhance Technologies Holdings LLC#,One stop,L + 6.00(c),7.00,07/2024,12703,12822,0.5,12005
58,Chemicals,Inhance Technologies Holdings LLC,One stop,L + 6.00(c),7.00,07/2024,1929,1917,0.1,1824
59,Chemicals,Inhance Technologies Holdings LLC,One stop,L + 6.00(c),7.00,07/2024,80,80,0,68
60,Commercial Services & Supplies,Commercial Services & Supplies,One stop,,,,,,,
61,Commercial Services & Supplies,"Bazaarvoice, Inc.*#+~^",One stop,L + 5.75(a)(c),6.75,02/2024,48127,48873,2.0,48127
62,Commercial Services & Supplies,"Bazaarvoice, Inc.",One stop,L + 5.75(c),6.75,02/2024,300,297,0,300
63,Commercial Services & Supplies,"EGD Security Systems, LLC*#^",One stop,L + 5.65(c),6.65,06/2023,30092,30453,1.3,30092
64,Commercial Services & Supplies,"EGD Security Systems, LLC*",One stop,L + 5.65(c),6.65,06/2023,1258,1257,0.1,1258
65,Commercial Services & Supplies,"EGD Security Systems, LLC#",One stop,L + 5.65(c),6.65,06/2023,644,663,0,644
66,Commercial Services & Supplies,"EGD Security Systems, LLC#",One stop,L + 5.65(c),6.65,06/2023,575,571,0,575
67,Commercial Services & Supplies,"EGD Security Systems, LLC",One stop,L + 5.65(c),6.65,06/2023,70,69,0,70
68,Commercial Services & Supplies,"EGD Security Systems, LLC(5)",One stop,L + 5.65,N/A(6),06/2023,0,(38),0,0
69,Commercial Services & Supplies,Hydraulic Authority III Limited~(8)(9)(10),One stop,L + 6.00(h)(i),7.00,11/2025,12277,12484,0.5,12344
70,Commercial Services & Supplies,Hydraulic Authority III Limited(8)(9)(10),One stop,No Value,11.00 PIK,11/2028,199,203,0,204
71,Commercial Services & Supplies,Hydraulic Authority III Limited(8)(9)(10),One stop,L + 6.00(d),7.00,11/2025,33,32,0,36
72,Commercial Services & Supplies - (continued),Commercial Services & Supplies - (continued),One stop,,,,,,,
73,Commercial Services & Supplies - (continued),"MSHC, Inc.+Senior loan",One stop,L + 4.25(c)(f),5.25,12/2024,343,340,0,343.0
74,Commercial Services & Supplies - (continued),"MSHC, Inc.",Senior loan,L + 4.25(a)(f),5.25,12/2024,9,9,0,9
75,Commercial Services & Supplies - (continued),"PT Intermediate Holdings III, LLC+~^",One stop,L + 5.50(c),6.50,10/2025,29776,29385,1.2,27988
76,Commercial Services & Supplies - (continued),WRE Holding Corp.*#,Senior loan,L + 5.25(b)(c),6.25,01/2023,2276,2312,0.1,2276
77,Commercial Services & Supplies - (continued),WRE Holding Corp.^,Senior loan,L + 5.25(b)(c),6.25,01/2023,940,967,0.1,940
78,Commercial Services & Supplies - (continued),WRE Holding Corp.,Senior loan,L + 5.25(c),6.25,01/2023,688,687,0,688
79,Commercial Services & Supplies - (continued),WRE Holding Corp.,Senior loan,L + 5.25(c),6.25,01/2023,408,408,0,408
80,Commercial Services & Supplies - (continued),WRE Holding Corp.,Senior loan,L + 5.25(c),6.25,01/2023,23,23,0,23
81,Commercial Services & Supplies - (continued),WRE Holding Corp.,Senior loan,L + 5.25(c),6.25,01/2023,14,13,0,14
82,Commercial Services & Supplies - (continued),WRE Holding Corp.,Senior loan,L + 5.25,N/A(6),01/2023,0,9,0,0
83,Construction & Engineering,Construction & Engineering,Senior loan,,,,,,,
84,Construction & Engineering,"Reladyne, Inc.*#^",Senior loan,L + 5.00(c),6.09,07/2022,32863,33081,1.3,32206.0
85,Construction & Engineering,"Reladyne, Inc.~",Senior loan,L + 5.00(c),6.09,07/2022,3482,3541,0.1,3412
86,Construction & Engineering,"Reladyne, Inc.",Senior loan,L + 5.00(c),6.06,07/2022,2754,2800,0.1,2699
87,Construction & Engineering,"Reladyne, Inc.#",Senior loan,L + 5.00(c),6.09,07/2022,1885,1916,0.1,1847
88,Construction & Engineering,"Reladyne, Inc.#~",Senior loan,L + 5.00(c),6.09,07/2022,1624,1652,0.1,1592
89,Construction & Engineering,"Reladyne, Inc.#",Senior loan,L + 5.00(c),6.09,07/2022,1545,1587,0.1,1514
90,Construction & Engineering,"Reladyne, Inc.#~",Senior loan,L + 5.00(c),6.09,07/2022,742,753,0,726
