,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,
1,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NTS Technical Systems  *^#,One stop,,L + 6.25,(a),,7.61,,06/2021,,,21773,,,,21505,,,2.3,,,,21773,,,,,,,,,,,,,,,,,,
6,NTS Technical Systems  (5),One stop,,L + 6.25,,,N/A  (6),,06/2021,,-,,,(67,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
7,NTS Technical Systems  (5),One stop,,L + 6.25,,,N/A  (6),,06/2021,,-,,,(112,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
8,"Tresys Technology Holdings, Inc.  (7)",One stop,,L + 6.75,(a),,8.32,,12/2018,,3899,,,3845,,,0.1,,,1170,,,,,,,,,,,,,,,,,,,,,
9,"Tresys Technology Holdings, Inc.  (7)",One stop,,L + 6.75,(a),,8.32,,12/2018,,659,,,658,,,0.1,,,659,,,,,,,,,,,,,,,,,,,,,
10,"Tronair Parent, Inc.  #",Senior loan,,L + 4.75,(c),,6.16,,09/2023,,369,,,366,,,-,,,366,,,,,,,,,,,,,,,,,,,,,
11,"Tronair Parent, Inc.",Senior loan,,P + 3.50,(c)(e),,7.56,,09/2021,,38,,,37,,,-,,,37,,,,,,,,,,,,,,,,,,,,,
12,Whitcraft LLC  *^#,One stop,,L + 6.25,(c),,7.94,,04/2023,,12533,,,12368,,,1.3,,,12533,,,,,,,,,,,,,,,,,,,,,
13,Whitcraft LLC,One stop,,P + 5.25,(e),,9.75,,04/2023,,10,,,9,,,-,,,10,,,,,,,,,,,,,,,,,,,,,
14,Whitcraft LLC  (5),One stop,,L + 6.25,,,N/A  (6),,04/2023,,-,,,(5,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,39281,,,38604,,,3.8,,,36548,,,,,,,,,,,,,,,,,,,,,
16,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Dent Wizard International Corporation  *,Senior loan,,L + 4.75,(a),,6.31,,04/2020,,4511,,,4490,,,0.5,,,4511,,,,,,,,,,,,,,,,,,,,,
18,"Grease Monkey International, LLC  *^",Senior loan,,L + 5.00,(a),,6.36,,11/2022,,4900,,,4841,,,0.5,,,4850,,,,,,,,,,,,,,,,,,,,,
19,"Grease Monkey International, LLC",Senior loan,,P + 4.00,(e),,8.50,,11/2022,,7,,,6,,,-,,,7,,,,,,,,,,,,,,,,,,,,,
20,"Grease Monkey International, LLC  (5)",Senior loan,,L + 5.00,,,N/A  (6),,11/2022,,-,,,(1,,,-,,,(2,,,,,,,,,,,,,,,,,,,,,
21,T5 Merger Corporation  *^,One stop,,L + 6.50,(a),,7.86,,03/2022,,4370,,,4305,,,0.5,,,4370,,,,,,,,,,,,,,,,,,,,,
