,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,ITEM 1.,FINANCIAL STATEMENTS,,,,,,,,,,,,,,,
1,ITEM 1.,FINANCIAL STATEMENTS,,,,,,,,,,,,,,,
2,Investment *,Industry,InterestRate (+),Reference Rate andSpread (+),Floor (+),,Maturity,ParAmount/Shares(++),,Cost,,Fair Value,,,,,
3,1st Lien/Senior Secured Debt* #- 156.46,,,,,,,,,,,,,,,,
4,1272775 B.C. LTD. (dba Everest Clinical Research)(1) (2),Professional Services,6.50,L + 5.50,1.00,,11/06/26,,9430,,,9292,,,9289,,
5,1272775 B.C. LTD. (dba Everest Clinical Research)(1) (2) (3),Professional Services,,L + 5.50,1.00,,11/06/26,,1260,,,(18,,,(19,,
6,"3SI Security Systems, Inc.(4)",Commercial Services & Supplies,6.75,L + 5.75,1.00,,06/16/23,,14556,,,14465,,,14483,,
7,"3SI Security Systems, Inc.(4)",Commercial Services & Supplies,6.75,L + 5.75,1.00,,06/16/23,,2216,,,2075,,,2205,,
8,"A Place For Mom, Inc.",Diversified Consumer Services,4.75,L + 3.75,1.00,,08/10/24,,8752,,,8746,,,8052,,
9,"Acquia, Inc.(2) (4)",Software,8.00,L + 7.00,1.00,,10/31/25,,30561,,,28977,,,30026,,
10,"Acquia, Inc.(2) (3) (4)",Software,,L + 7.00,1.00,,10/31/25,,3268,,,(77,,,(57,,
11,"Ansira Partners, Inc.",Professional Services,7.50,L + 6.50PIK,1.00,,12/20/24,,4748,,,4726,,,3988,,
12,"Ansira Partners, Inc.",Professional Services,7.50,L + 6.50PIK,1.00,,12/20/24,,292,,,291,,,245,,
13,"Apptio, Inc.(2) (4)",IT Services,8.25,L + 7.25,1.00,,01/10/25,,79154,,,75824,,,77967,,
14,"Apptio, Inc.(2) (3) (4)",IT Services,,L + 7.25,1.00,,01/10/25,,5385,,,(75,,,(81,,
15,"Associations, Inc.(2) (4)",Real Estate Management & Development,8.00,L + 7.00(incl. 3.00PIK),1.00,,07/30/24,,33860,,,32095,,,33013,,
16,"Associations, Inc.(2) (3) (4)",Real Estate Management & Development,8.00,L + 7.00(incl. 3.00PIK),1.00,,07/30/24,,7396,,,7102,,,7104,,
17,"Associations, Inc.(2) (4)",Real Estate Management & Development,7.00,L + 6.00,1.00,,07/30/24,,1422,,,1348,,,1387,,
18,ATX Networks Corp.,Communications Equipment,8.75,L + 7.75(incl. 1.50PIK),1.00,,12/31/23,,7183,,,7162,,,6321,,
19,ATX Networks Corp.,Communications Equipment,8.75,L + 7.75(incl. 1.50PIK),1.00,,12/31/23,,457,,,452,,,402,,
20,"Badger Sportswear, Inc.","Textiles, Apparel & Luxury Goods",6.25,L + 5.00,1.00,,09/11/23,,7150,,,7106,,,6292,,
21,"Barbri, Inc.",Diversified Consumer Services,5.00,L + 4.00,1.00,,12/01/23,,6243,,,6227,,,5931,,
22,BJH Holdings III Corp. (dba Jack’s Family Restaurants)(2),"Hotels, Restaurants & Leisure",6.25,L + 5.25,1.00,,08/19/25,,14904,,,14065,,,14270,,
23,"Blacksmith Applications, Inc.(2)",Software,7.50,L + 6.50,1.00,,12/02/26,,25100,,,24542,,,24535,,
24,"Blacksmith Applications, Inc.(2) (3)",Software,,L + 6.50,1.00,,12/02/26,,2000,,,(44,,,(45,,
25,"Brillio, LLC(2) (4)",IT Services,5.75,L + 4.75,1.00,,02/06/25,,10953,,,10478,,,10871,,
