,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Investment *#,Industry,InterestRate (+),Reference Rateand Spread (+),Floor(+),Maturity,Par(++),,Cost,,FairValue,,Footnotes,,,
1,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,8.57,S + 6.25,1.00,07/01/24,,3424,,,3315,,,3364,,(2) (3)
2,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,8.57,S + 6.25,1.00,07/01/24,,2012,,,1994,,,1977,,(2) (3)
3,"Checkmate Finance Merger Sub, LLC",Entertainment,8.75,L + 6.50,1.00,12/31/27,,31336,,,30752,,,30788,,(2) (3)
4,"Checkmate Finance Merger Sub, LLC",Entertainment,,L + 6.50,1.00,12/31/27,,3140,,,(58,,,(55,,(2) (3) (4)
5,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.44,L + 6.00,1.00,05/18/29,,16911,,,16068,,,16911,,(2)
6,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.44,L + 6.00,1.00,05/18/29,,11229,,,10918,,,11229,,(2)
7,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.45,L + 6.00,1.00,05/18/29,,11052,,,10774,,,11052,,(2)
8,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.45,L + 6.00,1.00,05/18/29,,7123,,,6767,,,7123,,(2)
9,Chronicle Bidco Inc. (dba Lexitas),Professional Services,,S + 6.00,1.00,05/18/29,,4753,,,(107,,,0,,(2) (4)
10,CivicPlus LLC,Software,7.51,L + 6.00,0.75,08/24/27,,6300,,,6173,,,6158,,(2) (3)
11,CivicPlus LLC,Software,7.69,S + 6.00,0.75,08/24/27,,6247,,,6122,,,6106,,(2) (3)
12,CivicPlus LLC,Software,7.94,L + 6.25,0.75,08/24/27,,2960,,,2898,,,2893,,(2) (3)
13,CivicPlus LLC,Software,,L + 6.00,0.75,08/24/27,,1217,,,(24,,,(27,,(2) (3) (4)
14,"CloudBees, Inc.",Software,8.67,L + 7.00(incl. 2.50PIK),1.00,11/24/26,,28376,,,26741,,,27879,,(2) (3)
15,"CloudBees, Inc.",Software,,L + 7.00(incl. 2.50PIK),1.00,11/24/26,,12900,,,(516,,,(226,,(2) (3) (4)
16,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,7.07,S + 5.75,0.75,05/11/28,,14867,,,14574,,,14569,,(2)
17,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,,S + 5.75,0.75,05/11/28,,2120,,,(41,,,(42,,(2) (4)
18,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,,S + 5.75,0.75,05/11/28,,4460,,,(44,,,(45,,(2) (4)
19,CORA Health Holdings Corp,Health Care Providers & Services,7.04,L + 5.75,1.00,06/15/27,,22549,,,22261,,,22042,,(2) (3)
20,CORA Health Holdings Corp,Health Care Providers & Services,7.06,L + 5.75,1.00,06/15/27,,8897,,,324,,,182,,(2) (3) (4)
21,"Cordeagle US Finco, Inc. (dba Condeco)",Software,7.99,L + 6.75,1.00,07/30/27,,25223,,,24771,,,24656,,(1) (2) (3)
22,"Cordeagle US Finco, Inc. (dba Condeco)",Software,,L + 6.75,1.00,07/30/27,,2461,,,(42,,,(55,,(1) (2) (3) (4)
23,CorePower Yoga LLC,Diversified Consumer Services,9.25,L + 7.00(incl. 5.00PIK),1.00,05/14/25,,25612,,,23629,,,20938,,(2) (3)
24,CorePower Yoga LLC,Diversified Consumer Services,,L + 7.00(incl. 5.00PIK),1.00,05/14/25,,1687,,,(106,,,(308,,(2) (3) (4)
25,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,7.17,L + 5.50,1.00,10/03/25,,28163,,,27444,,,27881,,(2) (3)
26,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,7.17,L + 5.50,1.00,10/27/25,,14781,,,14546,,,14634,,(2) (3)
27,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,,L + 5.50,1.00,10/03/25,,2170,,,(10,,,(22,,(2) (3) (4)
28,DECA Dental Holdings LLC,Health Care Providers & Services,8.00,L + 5.75,0.75,08/28/28,,21507,,,21119,,,20647,,(2) (3)
29,DECA Dental Holdings LLC,Health Care Providers & Services,8.00,L + 5.75,0.75,08/28/28,,7396,,,2177,,,1968,,(2) (3) (4)
30,DECA Dental Holdings LLC,Health Care Providers & Services,8.00,L + 5.75,0.75,08/26/27,,1711,,,541,,,502,,(2) (3) (4)
31,Diligent Corporation,Professional Services,7.25,L + 6.25,1.00,08/04/25,€,37869,,,42861,,,39883,,(2) (3)
32,Diligent Corporation,Professional Services,9.13,L + 6.25,1.00,08/04/25,,24477,,,23655,,,24599,,(2) (3)
33,Diligent Corporation,Professional Services,8.49,L + 6.25,1.00,08/04/25,,3100,,,1505,,,1566,,(2) (3) (4)
34,"EDB Parent, LLC (dba Enterprise DB)",Software,,S + 6.00,0.75,07/07/28,,29826,,,0,,,0,,(2) (4)
35,"EDB Parent, LLC (dba Enterprise DB)",Software,,S + 6.00,0.75,07/07/28,,7849,,,0,,,0,,(2) (4)
36,"EDB Parent, LLC (dba Enterprise DB)",Software,,S + 6.00,0.75,07/07/28,,2616,,,0,,,0,,(2) (4)
37,"Elemica Parent, Inc.",Chemicals,7.56,L + 5.50,1.00,09/18/25,,6984,,,6607,,,6844,,(2) (3)
38,"Elemica Parent, Inc.",Chemicals,7.11,L + 5.50,1.00,09/18/25,,1489,,,1457,,,1459,,(2) (3)
39,"Elemica Parent, Inc.",Chemicals,7.33,L + 5.50,1.00,09/18/25,,1369,,,1313,,,1342,,(2) (3)
40,"Elemica Parent, Inc.",Chemicals,7.33,L + 5.50,1.00,09/18/25,,558,,,546,,,546,,(2) (3)
41,"Elemica Parent, Inc.",Chemicals,7.04,L + 5.50,1.00,09/18/25,,930,,,419,,,432,,(2) (3) (4)
42,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,7.13,S + 5.50,1.00,12/06/25,,10422,,,10049,,,10318,,(2) (3)
43,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,7.13,S + 5.50,1.00,12/06/25,,4903,,,4836,,,4854,,(2) (3)
