,0,1,2,3,4,5,6,7
0,,•,our future operating results;,,,,,
1,Investment *,Industry,Interest Rate (+),Reference Rate andSpread (+),Maturity,ParAmount/Shares(++),Cost,Fair Value
2,1st Lien/Senior Secured Debt * # - 180.63,,,,,,,
3,"3SI Security Systems, Inc.(1)",Commercial Services & Supplies,6.75,L + 5.75 ; 1.00Floor,06/16/2023,"$ 14,736","$ 14,618","$ 14,183"
4,"A Place For Mom, Inc.",Diversified Consumer Services,4.75,L + 3.75 ; 1.00Floor,08/10/2024,8820,8813,7497
5,"Accuity Delivery Systems, LLC^ (1) (2)",Health Care Providers & Services,8.00,L + 7.00 ; 1.00Floor,06/13/2023,10170,9959,10272
6,"Acquia, Inc.(1) (2)",Software,8.58,L + 7.00 ; 1.00Floor,10/31/2025,12364,12130,11746
7,"Acquia, Inc.(1) (2) (3)",Software,,L + 7.00 ; 1.00Floor,10/31/2025,1322,(25),(66)
8,"Animal Supply Holdings, LLC^^ (1) (4)",Distributors,11.78,L + 10.00(incl. 2.50PIK); 1.50Floor,02/22/2022,3894,3869,3641
9,"Ansira Partners, Inc.",Professional Services,7.36,L + 5.75 ; 1.00Floor,12/20/2022,4566,4543,4018
10,"Ansira Partners, Inc.(3)",Professional Services,6.98,L + 5.75 ; 1.00Floor,12/20/2022,281,184,152
11,"Apptio, Inc.(1) (2)",IT Services,8.25,L + 7.25 ; 1.00Floor,01/10/2025,32702,32149,31803
12,"Apptio, Inc.(1) (2) (3)",IT Services,,L + 7.25 ; 1.00Floor,01/10/2025,2225,(36),(61)
13,"Associations, Inc.(1) (2)",Real Estate Management & Development,8.91,L + 7.00(incl. 3.00PIK); 1.00Floor,07/30/2024,13650,13523,12660
14,"Associations, Inc.(1) (2) (3)",Real Estate Management & Development,8.91,L + 7.00(incl. 3.00PIK); 1.00Floor,07/30/2024,2995,2117,1928
15,"Associations, Inc.(1) (2)",Real Estate Management & Development,8.00,L + 6.00 ; 1.00Floor,07/30/2024,587,581,544
16,ATX Networks Corp.,Communications Equipment,8.45,L + 7.00(incl. 1.00PIK); 1.00Floor,06/11/2021,7303,7285,5697
17,ATX Networks Corp.,Communications Equipment,8.45,L + 7.00(incl. 1.00PIK); 1.00Floor,06/11/2021,464,460,362
18,"Badger Sportswear, Inc.","Textiles, Apparel & Luxury Goods",6.25,L + 5.00 ; 1.00Floor,09/11/2023,7150,7095,5506
19,"Barbri, Inc.",Diversified Consumer Services,5.77,L + 4.25 ; 1.00Floor,12/01/2023,6243,6223,5119
20,BJH Holdings III Corp. (dba Jack's Family Restaurants)(1) (2),"Hotels, Restaurants & Leisure",7.20,L + 5.75 ; 1.00Floor,08/19/2025,6193,6136,5899
21,"Brillio, LLC(1)(2)",IT Services,5.75,L + 4.75 ; 1.00Floor,02/06/2025,4486,4448,4239
22,"Brillio, LLC(1) (2) (3)",IT Services,5.75,L + 4.75 ; 1.00Floor,02/06/2025,1510,755,672
23,"Bullhorn, Inc.(1) (2)",Professional Services,6.57,L + 5.50 ; 1.00Floor,10/01/2025,10967,10814,10474
24,"Bullhorn, Inc.(1) (2)",Professional Services,6.50,L + 5.50 ; 1.00Floor,10/01/2025,545,538,521
25,"Bullhorn, Inc.(1) (2)",Professional Services,6.57,L + 5.50 ; 1.00Floor,10/01/2025,181,179,173
26,"Bullhorn, Inc.(1) (2) (3)",Professional Services,6.57,L + 5.50 ; 1.00Floor,10/01/2025,727,126,104
27,"Businessolver.com, Inc.(1) (2)",Health Care Technology,9.19,L + 7.50 ; 1.00Floor,05/15/2023,12549,12379,11922
28,"Businessolver.com, Inc.(1) (2)",Health Care Technology,8.50,L + 7.50 ; 1.00Floor,05/15/2023,11175,10955,10616
29,"Businessolver.com, Inc.(1) (2)",Health Care Technology,9.15,L + 7.50 ; 1.00Floor,05/15/2023,1882,1855,1788
30,"Businessolver.com, Inc.(1) (2) (3)",Health Care Technology,,L + 7.50 ; 1.00Floor,05/15/2023,1569,(20),(78)
31,"CFS Management, LLC (dba Center for Sight Management)(1) (2)",Health Care Providers & Services,7.34,L + 5.75 ; 1.00Floor,07/01/2024,4785,4743,4558
32,"CFS Management, LLC (dba Center for Sight Management)(1) (2) (3)",Health Care Providers & Services,,L + 5.75 ; 1.00Floor,07/01/2024,1418,(12),(67)
33,Chronicle Bidco Inc. (dba Lexitas)(1) (2),Professional Services,7.45,L + 5.75 ; 1.00Floor,11/14/2025,6983,6850,6738
34,Chronicle Bidco Inc. (dba Lexitas)(1) (2) (3),Professional Services,7.38,L + 5.75 ; 1.00Floor,11/14/2025,2936,1540,1481
35,Chronicle Bidco Inc. (dba Lexitas)(1) (2) (3),Professional Services,,L + 5.75 ; 1.00Floor,11/14/2025,880,(17),(31)
