,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,•,,our future operating results;,,,,,,,,,,,,,,,,,
1,Portfolio Company,,Industry,,Interest,,Maturity,,,ParAmount,,,Cost,,,Fair Value,,,,,
2,Investments at Fair Value - 163.01#,,,,,,,,,,,,,,,,,,,,
3,Corporate Debt(1)- 151.89,,,,,,,,,,,,,,,,,,,,
4,1st Lien/Senior Secured Debt - 59.82,,,,,,,,,,,,,,,,,,,,
5,"Artesyn Embedded Technologies, Inc.(2)",,"Electronic Equipment, Instruments & Components",,9.75,,,10/15/2020,,,,20000,,,,20000,,,,20000,
6,"Bolttech Mannings, Inc.(3) (4)",,Commercial Services & Supplies,,L + 7.75  (1.00  Floor),,,12/21/2018,,,,10640,,,,(106),,,,(213),
7,"Data Driven Delivery Systems, LLC(+++)",,Health Care Technology,,L + 7.00  (1.00  Floor),,,07/20/2020,,,,70500,,,,69120,,,,69090,
8,Dispensing Dynamics International(2),,Building Products,,12.50,,,01/01/2018,,,,24000,,,,24752,,,,23280,
9,Heligear Acquisition Co.(2),,Aerospace & Defense,,10.25,,,10/15/2019,,,,17500,,,,17218,,,,17675,
10,Infinity Sales Group(+),,Media,,L + 10.50(1.00Floor),,,11/21/2018,,,,34938,,,,34449,,,,33017,
11,"Iracore International Holdings, Inc.(2)",,Energy Equipment & Services,,9.50,,,06/01/2018,,,,24250,,,,20628,,,,16975,
12,Kawa Solar Holdings Limited(5),,Construction & Engineering,,F + 8.20,,,07/02/2017,,,,12600,,,,12600,,,,12600,
13,Kawa Solar Holdings Limited(+++) (5),,Construction & Engineering,,L + 8.20,,,07/02/2017,,,,2400,,,,2400,,,,2400,
14,Legacy Buyer Corp.(+++),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,30419,,,,29901,,,,29963,
15,Legacy Buyer Corp.(3) (4),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,2500,,,,(43),,,,(37),
16,Madison-Kipp Corporation(+),,Machinery,,L + 9.00(1.00Floor),,,05/26/2020,,,,37000,,,,36301,,,,36260,
17,"NTS Communications, Inc.(+++)",,Diversified Telecommunication Services,,L + 9.00(1.25Floor),,,06/06/2019,,,,44400,,,,43702,,,,43068,
18,"Perfect Commerce, LLC(+++)",,Internet Software & Services,,L + 8.50(1.00Floor),,,06/30/2020,,,,37980,,,,37105,,,,37220,
19,"Perfect Commerce, LLC(3) (4)",,Internet Software & Services,,L + 8.50(1.00Floor),,,06/30/2020,,,,4520,,,,(10),,,,0,
20,"US Med Acquisition, Inc.(+)",,Health Care Equipment & Supplies,,L + 9.00(1.00Floor),,,08/13/2021,,,,30961,,,,30349,,,,30961,
21,"US Med Acquisition, Inc.(+) (3)",,Health Care Equipment & Supplies,,L + 9.00(1.00Floor),,,11/12/2015,,,,2500,,,,784,,,,825,
22,"Vexos, Inc.(+++)",,"Electronic Equipment, Instruments & Components",,L + 9.50(1.00Floor),,,10/09/2019,,,,48588,,,,47782,,,,47737,
23,Total 1st Lien/Senior Secured Debt,,,,,,,,,,,,,,,426932,,,,420821,
24,1st Lien/Last-Out Unitranche(6)- 43.34,,,,,,,,,,,,,,,,,,,,
25,"Associations, Inc.(+++)",,Real Estate Management & Development,,L + 7.00(1.00Floor),,,12/23/2019,,,,76118,,,,74791,,,,74786,
26,"Associations, Inc.(+++) (3)",,Real Estate Management & Development,,L + 7.00(1.00Floor),,,12/23/2019,,,,12978,,,,6526,,,,6553,
27,"Avenue Stores, LLC(+)",,Specialty Retail,,L + 8.00(1.00Floor),,,09/19/2019,,,,30000,,,,29376,,,,30300,
28,"Bolttech Mannings, Inc.(+)",,Commercial Services & Supplies,,L + 7.75(1.00Floor),,,12/21/2018,,,,33000,,,,32469,,,,32010,
29,"Bolttech Mannings, Inc.(+)",,Commercial Services & Supplies,,L + 7.75(1.00Floor),,,12/21/2018,,,,3346,,,,3294,,,,3245,
30,"Integrated Practice Solutions, Inc.(+++)",,Software,,L + 9.10(1.00Floor),,,08/03/2020,,,,27500,,,,26770,,,,26751,
31,"Mervin Manufacturing, Inc.(+++)",,Leisure Equipment & Products,,L + 7.50(1.00Floor),,,10/10/2019,,,,13584,,,,13354,,,,13041,
32,"Pro-Pet, LLC(+)",,Household Products,,L + 7.25(0.75Floor),,,11/21/2019,,,,28600,,,,28176,,,,27313,
33,The Service Companies Inc.(+++),,Professional Services,,L + 10.25(1.00Floor),,,03/26/2019,,,,47680,,,,46947,,,,46726,
34,"United Road Services, Inc.(+)",,Air Freight & Logistics,,L + 7.50(1.00Floor),,,12/14/2017,,,,44658,,,,44189,,,,44212,
35,Total 1st Lien/Last-Out Unitranche,,,,,,,,,,,,,,,305892,,,,304937,
36,2nd Lien/Senior Secured Debt - 48.73,,,,,,,,,,,,,,,,,,,,
37,"Affordable Care, Inc.(+)",,Health Care Providers & Services,,L + 9.25(1.25Floor),,,12/26/2019,,,,23220,,,,23357,,,,22872,
38,DiversiTech Corporation(+++),,Building Products,,L + 8.00(1.00Floor),,,11/18/2022,,,,10000,,,,9855,,,,9850,
39,"Extraction Oil & Gas Holdings, LLC",,"Oil, Gas & Consumable Fuels",,11.00,,,05/29/2019,,,,15000,,,,14834,,,,15225,
40,"Extraction Oil & Gas Holdings, LLC",,"Oil, Gas & Consumable Fuels",,10.00,,,05/29/2019,,,,8412,,,,8309,,,,8265,
41,Global Tel*Link Corporation(+++),,Diversified Telecommunication Services,,L + 7.75(1.25Floor),,,11/23/2020,,,,28000,,,,27572,,,,26320,
42,"Highwinds Capital, Inc.(+)",,Internet Software & Services,,L + 12.25(1.25Floor),,,01/29/2019,,,,59050,,,,58391,,,,59050,
43,"Hunter Defense Technologies, Inc.(+++)",,Aerospace & Defense,,L + 10.00(1.00Floor),,,02/05/2020,,,,28000,,,,26816,,,,27440,
44,"Hutchinson Technology, Inc.",,Computers & Peripherals,,10.88,,,01/15/2017,,,,12200,,,,11957,,,,12429,
