,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,•,,our future operating results;,,,,,,,,,,,,,,,,,
1,Portfolio Company,,Industry,,Interest,,Maturity,,,Par Amount,,,Cost,,,Fair Value,,,,,
2,Investments at Fair Value – 161.21# *,,,,,,,,,,,,,,,,,,,,
3,Corporate Debt(1)– 143.99,,,,,,,,,,,,,,,,,,,,
4,1st Lien/Senior Secured Debt – 48.65,,,,,,,,,,,,,,,,,,,,
5,"Artesyn Embedded Technologies, Inc.(2)",,"Electronic Equipment, Instruments & Components",,9.75,,,10/15/2020,,,,20000,,,,20000,,,,20100,
6,Continuum Managed Services LLC(+) (3),,IT Services,,L + 8.75(1.00Floor),,,06/08/2023,,,,21606,,,,21034,,,,21012,
7,Continuum Managed Services LLC(3) (4) (5),,IT Services,,L + 8.75(1.00Floor),,,06/08/2023,,,,1800,,,,(46,,,,(49,
8,Continuum Managed Services LLC(3) (4) (5),,IT Services,,L + 8.75(1.00Floor),,,06/08/2022,,,,2220,,,,(57,,,,(61,
9,"Dade Paper & Bag, LLC(+) (3) (6)",,Distributors,,L + 7.50(1.00Floor),,,06/10/2024,,,,11072,,,,10858,,,,10851,
10,"Elemica, Inc.(+) (6)",,Software,,L + 8.00(1.00Floor),,,07/07/2021,,,,41969,,,,41120,,,,41234,
11,"Elemica, Inc.(4) (5) (6)",,Software,,L + 8.00(1.00Floor),,,07/07/2021,,,,6000,,,,(119,,,,(105,
12,Heligear Acquisition Co.(2) (6),,Aerospace & Defense,,10.25,,,10/15/2019,,,,17500,,,,17352,,,,17762,
13,Infinity Sales Group(+++) (6),,Media,,L + 10.50(1.00Floor),,,11/21/2018,,,,29273,,,,29096,,,,27809,
14,"Iracore International Holdings, Inc.^ (+) (6)",,Energy Equipment & Services,,L + 9.00(1.00Floor),,,04/12/2021,,,,3389,,,,3389,,,,3389,
15,Kawa Solar Holdings Limited^ (+++) (6) (7) (12),,Construction & Engineering,,L + 8.00PIK,,,07/02/2018,,,,10483,,,,10372,,,,9671,
16,Kawa Solar Holdings Limited^ (6) (7) (8) (12),,Construction & Engineering,,,,,07/02/2018,,,,3643,,,,1126,,,,0,
17,Legacy Buyer Corp.(+++) (6),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,24689,,,,24445,,,,24195,
18,Legacy Buyer Corp.(4) (5) (6),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,2500,,,,(25,,,,(50,
19,Madison-Kipp Corporation(+) (6),,Machinery,,L + 9.00(1.00Floor),,,05/26/2020,,,,33540,,,,33135,,,,33372,
20,Netvoyage Corporation(+) (3) (6),,Software,,L + 9.50(1.00Floor),,,03/24/2022,,,,7849,,,,7704,,,,7711,
21,Netvoyage Corporation(3) (4) (5) (6),,Software,,L + 9.50(1.00Floor),,,03/24/2022,,,,654,,,,(12,,,,(11,
22,"SF Home Décor, LLC(+++) (3)",,Household Products,,L + 9.50(1.00Floor),,,07/13/2022,,,,21133,,,,20518,,,,20499,
23,"The Merit Distribution Group, LLC(+++) (6)",,Distributors,,L + 11.25(0.50Floor),,,04/08/2021,,,,24250,,,,23777,,,,24250,
24,"US Med Acquisition, Inc.(+++) (6)",,Health Care Equipment & Supplies,,L + 9.00(1.00Floor),,,08/13/2021,,,,30341,,,,29905,,,,29431,
25,"Vexos, Inc.(+++) (6)",,"Electronic Equipment, Instruments & Components",,L + 9.50(1.00Floor),,,10/09/2019,,,,37797,,,,37426,,,,36474,
26,Xactly Corporation(+) (3),,Internet Software & Services,,L + 7.25(1.00Floor),,,07/29/2022,,,,19800,,,,19415,,,,19404,
27,Xactly Corporation(3) (4) (5),,Internet Software & Services,,L + 7.25(1.00Floor),,,07/29/2022,,,,1697,,,,(33,,,,(34,
28,"Yasso, Inc.(++) (3) (6)",,Food Products,,L + 7.75(1.00Floor),,,03/23/2022,,,,9055,,,,8889,,,,8873,
29,Total 1st Lien/Senior Secured Debt,,,,,,,,,,,,,359269,,,,355727,,,
30,1st Lien/Last-Out Unitranche(9)– 37.53,,,,,,,,,,,,,,,,,,,,
31,"Associations, Inc.(+++) (6)",,Real Estate Management & Development,,L + 7.00(1.00Floor),,,12/23/2019,,,,57690,,,,57109,,,,57402,
32,"Avenue Stores, LLC(+) (6)",,Specialty Retail,,L + 8.00(1.00Floor),,,09/19/2019,,,,30000,,,,29657,,,,30000,
33,"Bolttech Mannings, Inc.(+++) (6)(10)",,Commercial Services & Supplies,,L + 7.75(1.00Floor),,,12/21/2018,,,,40342,,,,40095,,,,17347,
34,"Intelligent Document Solutions, Inc.(+++) (3)",,Diversified Financial Services,,L + 8.25(1.00Floor),,,08/31/2022,,,,11900,,,,11607,,,,11602,
35,"Mervin Manufacturing, Inc.(+++) (6)",,Leisure Equipment & Products,,L + 7.50(1.00Floor),,,10/10/2019,,,,11165,,,,11055,,,,10327,
36,"myON, LLC(+) (3) (6)",,Internet Software & Services,,L + 8.50(1.00Floor),,,02/17/2022,,,,7100,,,,6972,,,,6976,
37,"NTS Communications, Inc.^ (+++) (6)",,Diversified Telecommunication Services,,L + 9.00(1.25Floor) PIK,,,06/06/2019,,,,56928,,,,53950,,,,49243,
38,"Pro-Pet, LLC(+) (6)",,Household Products,,L + 7.25(0.75Floor),,,11/21/2019,,,,31600,,,,31214,,,,29546,
39,"Smarsh, Inc.(+) (3) (6)",,Software,,L + 7.88(1.00Floor),,,03/31/2021,,,,17756,,,,17463,,,,17445,
40,The Service Companies Inc.(+++) (6),,Professional Services,,L + 10.25(1.00Floor),,,03/26/2019,,,,45085,,,,44752,,,,44521,
41,Total 1st Lien/Last-Out Unitranche,,,,303874,,,,274409,,,,,,,,,,,,
42,2nd Lien/Senior Secured Debt – 57.36,,,,,,,,,,,,,,,,,,,,
43,"American Dental Partners, Inc.(+++) (3) (6)",,Health Care Providers & Services,,L + 8.50(1.00Floor),,,09/25/2023,,,,8500,,,,8300,,,,8309,
44,"ASC Acquisition Holdings, LLC(+++) (6)",,Distributors,,L + 13.00(1.00Floor),,,12/15/2022,,,,30000,,,,29249,,,,30000,
45,"Country Fresh Holdings, LLC(+++) (3)",,Food Products,,L + 8.75(1.00Floor),,,10/02/2023,,,,9400,,,,9216,,,,9212,
