,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,•,,our future operating results;,,,,,,,,,,,,,,,,,,,
1,Portfolio Company,,Industry,,InterestRate(+),,Reference Rate andSpread(+),,Maturity,,,ParAmount(++),,,Cost,,,Fair Value,,,,,
2,Investments at Fair Value– 180.93#,,,,,,,,,,,,,,,,,,,,,,
3,Corporate Debt(1)– 162.87,,,,,,,,,,,,,,,,,,,,,,
4,1st Lien/Senior Secured Debt– 83.69,,,,,,,,,,,,,,,,,,,,,,
5,"Accuity Delivery Systems,LLC^ (2) (3)",,Health Care Providers & Services,,9.34,,L + 7.00 ; 1.00Floor,,,06/13/2023,,,,10170,,,,9879,,,,9865,
6,"Artesyn Embedded Technologies, Inc.(4)",,"Electronic Equipment, Instruments & Components",,9.75,,,,,10/15/2020,,,,20000,,,,20000,,,,19150,
7,"Associations, Inc.(2)",,Real Estate Management & Development,,11.25,,P + 6.00(incl. 3.00PIK); 2.00Floor,,,07/30/2024,,,,11785,,,,11641,,,,11637,
8,"Associations, Inc.(2) (5) (6)",,Real Estate Management & Development,,,,P + 5.00 ; 2.00Floor,,,07/30/2024,,,,587,,,,(7,,,,(7,
9,"Associations, Inc.(2) (5)",,Real Estate Management & Development,,11.25,,P + 6.00(incl. 3.00PIK); 2.00Floor,,,07/30/2024,,,,2937,,,,1010,,,,1009,
10,"Businessolver.com, Inc.(2) (3)",,Health Care Technology,,9.81,,L + 7.50 ; 1.00Floor,,,05/15/2023,,,,12549,,,,12313,,,,12298,
11,"Businessolver.com, Inc.(2) (3) (5) (6)",,Health Care Technology,,,,L + 7.50 ; 1.00Floor,,,05/15/2023,,,,1569,,,,(29,,,,(31,
12,"Businessolver.com, Inc.(2) (3) (5)",,Health Care Technology,,9.81,,L + 7.50 ; 1.00Floor,,,05/15/2023,,,,1882,,,,293,,,,276,
13,"Collaborative Imaging,LLC^^^ (2) (3)",,Health Care Providers & Services,,8.85,,L + 6.50 ; 1.00Floor,,,03/28/2025,,,,7600,,,,7492,,,,7448,
14,"Collaborative Imaging,LLC^^^ (2) (3)",,Health Care Providers & Services,,8.85,,L + 6.50 ; 1.00Floor,,,03/28/2025,,,,1300,,,,1282,,,,1274,
15,Continuum Managed ServicesLLC(2) (3),,IT Services,,8.25,,L + 6.00 ; 1.00Floor,,,06/08/2023,,,,21389,,,,20902,,,,20961,
16,Continuum Managed ServicesLLC(2) (3) (5) (6),,IT Services,,,,L + 6.00 ; 1.00Floor,,,06/08/2023,,,,1800,,,,(38,,,,(36,
