,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Investment  (1)(5),Industry  (2),Interest  Rate  (3),Reference Rate  and Spread  (3),Maturity,Par  (4),Cost,Fair  Value,Footnotes,,,,
1,Debt Investments -  208.88  %,,,,,,,,,,,,
2,Canada -  7.70  %,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt -  5.21  %,,,,,,,,,,,,
4,Trader Corporation,Automobiles,12.19  %,C +  6.75  %,12/21/29,CAD,315,$,228,$,235,(6) (7) (8),
5,Trader Corporation,Automobiles,C +  6.75  %,12/22/28,CAD,24,—,—,(6) (7) (8) (9),,,,
6,"Recochem, Inc",Chemicals,11.14  %,C +  5.75  %,11/01/30,1762,1727,1727,(6) (7),,,,
7,"Recochem, Inc",Chemicals,11.58  %,C +  5.75  %,11/01/30,CAD,7971,5637,5895,(6) (7),,,
8,"Recochem, Inc",Chemicals,C +  5.75  %,11/01/30,CAD,1941,(  14,),(  15,),(6) (7) (9),,
9,"Recochem, Inc",Chemicals,C +  5.75  %,11/01/30,CAD,1294,(  18,),(  19,),(6) (7) (9),,
10,ATX Networks Corp.,Communications Equipment,12.97  %,S +  7.50  %,09/01/26,3648,3648,3483,(6) (8) (10),,,,
11,Prophix Software Inc. (dba Pound Bidco),Financial Services,11.96  %,S +  6.50  %,01/30/26,18948,18770,18569,(6) (7) (8),,,,
12,Prophix Software Inc. (dba Pound Bidco),Financial Services,11.96  %,S +  6.50  %,01/30/26,9964,9768,9765,(6) (7) (8),,,,
13,Prophix Software Inc. (dba Pound Bidco),Financial Services,11.96  %,S +  6.50  %,01/30/26,7752,7669,7597,(6) (7) (8),,,,
14,Prophix Software Inc. (dba Pound Bidco),Financial Services,S +  6.50  %,01/30/26,3445,(  29,),(  69,),(6) (7) (8) (9),,,
15,Prophix Software Inc. (dba Pound Bidco),Financial Services,S +  6.50  %,01/30/26,1659,—,(  33,),(6) (7) (8) (9),,,,
16,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,11.50  %,S +  6.00  %,11/06/26,9147,9074,9033,(6) (7) (8),,,,
17,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,P +  6.00  %,11/06/26,1260,(  7,),(  16,),(6) (7) (8) (9),,,
18,Everest Clinical Research Corporation,Professional Services,11.50  %,S +  6.00  %,11/06/26,5742,5654,5670,(6) (7) (8),,,,
19,Rodeo Buyer Company (dba Absorb Software),Professional Services,11.71  %,S +  6.25  %,05/25/27,21167,20900,20902,(6) (7) (8),,,,
20,Rodeo Buyer Company (dba Absorb Software),Professional Services,S +  6.25  %,05/25/27,3387,(  39,),(  42,),(6) (7) (8) (9),,,
21,"iWave Information Systems, Inc.",Software,12.25  %,S +  6.75  %,11/23/28,882,863,860,(6) (7) (8),,,,
22,"iWave Information Systems, Inc.",Software,S +  6.75  %,11/23/28,438,(  2,),(  11,),(6) (7) (8) (9),,,
23,Total 1st Lien/Senior Secured Debt,83829,83531,,,,,,,,,,
24,1st Lien/Last-Out Unitranche (11) -  2.39  %,,,,,,,,,,,,
25,"Doxim, Inc.",Financial Services,12.21  %,S +  6.75  %,06/01/26,$,24500,$,24193,$,23275,(7) (8),
26,"Doxim, Inc.",Financial Services,12.46  %,S +  7.00  %,06/01/26,6597,6513,6300,(7) (8),,,,
27,"Doxim, Inc.",Financial Services,13.46  %,S +  8.00  %,06/01/26,5123,5054,4995,(7) (8),,,,
28,"Doxim, Inc.",Financial Services,13.46  %,S +  8.00  %,06/01/26,3839,3790,3743,(7) (8),,,,
29,Total 1st Lien/Last-Out Unitranche,39550,38313,,,,,,,,,,
30,Unsecured Debt -  0.10  %,,,,,,,,,,,,
31,ATX Networks Corp.,Communications Equipment,10.00  %,10.00  % PIK,09/01/28,$,2130,$,1898,$,1645,(6) (8) (10),
32,Total Unsecured Debt,1898,1645,,,,,,,,,,
33,Total Canada,$,125277,$,123489,,,,,,,,
34,Germany -  0.07  %,,,,,,,,,,,,
35,1st Lien/Senior Secured Debt -  0.07  %,,,,,,,,,,,,
36,Kawa Solar Holdings Limited,Construction & Engineering,12/31/24,$,3917,$,3603,$,1073,(6) (8) (10) (12),,,
37,Kawa Solar Holdings Limited,Construction & Engineering,12/31/24,3318,800,—,(6) (8) (10) (12),,,,,,
38,Total 1st Lien/Senior Secured Debt,4403,1073,,,,,,,,,,
39,Total Germany,$,4403,$,1073,,,,,,,,
40,Singapore -  0.00  %,,,,,,,,,,,,
