,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,0,1
0,Portfolio Company,Industry,Interest  Rate  (+),Reference Rate and  Spread  (+),Maturity,Par Amount,Cost,Fair Value,,,,,,
1,Investments at Fair Value  – 170.32% #,,,,,,,,,,,,,
2,Corporate Debt  (1)  – 152.23%,,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt  – 61.73%,,,,,,,,,,,,,
4,"Accuity Delivery Systems, LLC  ^ (2)",Health Care Providers & Services,9.34%,L + 7.00%; 1.00% Floor,06/13/2023,$,10170,$,9867,$,9865.0,,,
5,"Artesyn Embedded Technologies, Inc.  (3)","Electronic Equipment, Instruments & Components",9.75%,10/15/2020,20000,20000,19200,,,,,,,
6,"Businessolver.com, Inc.  (2)",Health Care Technology,9.84%,L + 7.50%; 1.00% Floor,05/15/2023,12549,12303,12298,,,,,,
7,"Businessolver.com, Inc.  (2) (4) (5)",Health Care Technology,L + 7.50%; 1.00% Floor,05/15/2023,1569,(31,),(31,),,,,,
8,"Businessolver.com, Inc.  (2) (4) (5)",Health Care Technology,L + 7.50%; 1.00% Floor,05/15/2023,1882,(18,),(19,),,,,,
9,"Collaborative Imaging,  LLC  ^^^ (2) (6)",Health Care Providers & Services,8.86%,L + 6.50%; 1.00% Floor,03/28/2025,8900,8770,8678,,,,,,
10,Continuum Managed Services  LLC  (2) (6),IT Services,8.10%,L + 6.00%; 1.00% Floor,06/08/2023,21443,20933,20961,,,,,,
11,Continuum Managed Services  LLC  (2) (4) (5) (6),IT Services,L + 6.00%; 1.00% Floor,06/08/2023,1800,(40,),(40,),,,,,
12,Continuum Managed Services  LLC  (2) (4) (5) (6),IT Services,L + 6.00%; 1.00% Floor,06/08/2022,2220,(48,),(50,),,,,,
13,"Dade Paper & Bag, LLC  (2) (6)",Distributors,9.59%,L + 7.50%; 1.00% Floor,06/10/2024,10989,10794,10852,,,,,,
14,"Dade Paper & Bag, LLC  (2) (6)",Distributors,9.09%,L + 7.00%; 1.00% Floor,06/10/2024,1402,1388,1349,,,,,,
15,"Datto, Inc.  (2) (6)",IT Services,10.05%,L + 8.00%; 1.00% Floor,12/07/2022,35750,35102,35124,,,,,,
