,0,1,2,3,4,5,6,7,8,9,10
0,Investment *,Industry,Interest Rate (+),Reference Rate and  Spread (+),Maturity,Par Amount/Shares  (++),Cost,Fair  Value,,,
1,1st Lien/Senior Secured Debt  * #  - 176.73%,,,,,,,,,,
2,"3SI Security Systems, Inc.  (1)",Commercial Services & Supplies,6.75%,L + 5.75%; 1.00% Floor,06/16/2023,,"$ 14,698",,"$ 14,589",,"$ 14,257"
3,"A Place For Mom, Inc.",Diversified Consumer Services,4.75%,L + 3.75%; 1.00% Floor,08/10/2024,,8797,,8791,,7917
4,"Accuity Delivery Systems, LLC  ^ (1) (2)",Health Care Providers & Services,8.32%,L + 7.00%; 1.00% Floor,06/13/2023,,10170,,9973,,10272
5,"Acquia, Inc.  (1) (2)",Software,8.00%,L + 7.00%; 1.00% Floor,10/31/2025,,12364,,12138,,11962
6,"Acquia, Inc.  (1) (2) (3)",Software,,L + 7.00%; 1.00% Floor,10/31/2025,,1322,,(24),,(43)
7,"Animal Supply Holdings, LLC  ^^ (1) (4)",Distributors,11.50% PIK,L + 10.00% PIK; 1.50% Floor,02/22/2022,,3979,,3962,,3780
8,"Ansira Partners, Inc.",Professional Services,7.50% PIK,L + 6.50% PIK; 1.00% Floor,12/20/2024,,4570,,4546,,4341
9,"Ansira Partners, Inc.",Professional Services,7.51% PIK,L + 6.50% PIK; 1.00% Floor,12/20/2024,,281,,280,,267
10,"Apptio, Inc.  (2)",IT Services,8.25%,L + 7.25%; 1.00% Floor,01/10/2025,,32702,,32173,,31558
11,"Apptio, Inc.  (2) (3)",IT Services,,L + 7.25%; 1.00% Floor,01/10/2025,,2225,,(34),,(78)
12,"Associations, Inc.  (1) (2)",Real Estate Management & Development,8.46%,L + 7.00% (incl. 3.00% PIK); 1.00% Floor,07/30/2024,,13754,,13633,,13203
13,"Associations, Inc.  (1) (2) (3)",Real Estate Management & Development,8.46%,L + 7.00% (incl. 3.00% PIK); 1.00% Floor,07/30/2024,,3011,,2135,,2040
14,"Associations, Inc.  (1) (2)",Real Estate Management & Development,7.46%,L + 6.00%; 1.00% Floor,07/30/2024,,587,,582,,563
15,ATX Networks Corp.,Communications Equipment,8.00%,L + 7.00% (incl. 1.00% PIK); 1.00% Floor,06/11/2021,,7252,,7237,,6381
16,ATX Networks Corp.,Communications Equipment,8.00%,L + 7.00% (incl. 1.00% PIK); 1.00% Floor,06/11/2021,,461,,458,,406
17,Axiom Software  (2) (3),Health Care Technology,,,07/31/2027,,419,,—,,—
18,Axiom Software  (2) (3),Health Care Technology,,,07/31/2026,,66,,—,,—
19,"Badger Sportswear, Inc.","Textiles, Apparel & Luxury Goods",6.25%,L + 5.00%; 1.00% Floor,09/11/2023,,7150,,7098,,4290
20,"Barbri, Inc.",Diversified Consumer Services,5.33%,L + 4.25%; 1.00% Floor,12/01/2023,,6243,,6224,,5307
