,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Investment *#,Industry,Interest  Rate (+),Reference Rate and  Spread (+),Floor  (+),Maturity,Par/Shares  (++),Cost,Fair  Value,Footnotes,,,,
1,1st Lien/Senior Secured Debt - 154.98%,,,,,,,,,,,,,
2,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,6.50%,L + 5.50%,1.00%,11/06/26,$,9383,$,9255,$,9242.0,(1) (2) (3),
3,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,6.95%,CDN P + 4.50%,11/06/26,CAD 139,109,110,(1) (2) (3),,,,,
4,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,L + 5.50%,1.00%,11/06/26,1151,(15,),(17,),(1) (2) (3) (4),,,
5,"3SI Security Systems, Inc.",Commercial Services & Supplies,6.75%,L + 5.75%,1.00%,06/16/23,13982,13910,13912,(3),,,,
6,"3SI Security Systems, Inc.",Commercial Services & Supplies,6.75%,L + 5.75%,1.00%,06/16/23,2129,2018,2118,(3),,,,
7,"A Place For Mom, Inc.",Diversified Consumer Services,4.75%,L + 3.75%,1.00%,08/10/24,8706,8702,8010,,,,,
8,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,7.25%,L + 6.25%,1.00%,03/10/27,16470,16076,16099,(2) (3),,,,
9,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,7.25%,L + 6.25%,1.00%,03/10/27,1220,154,156,(2) (3) (4),,,,
10,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,L + 6.25%,1.00%,03/10/27,3046,(36,),(69,),(2) (3) (4),,,
11,"Acquia, Inc.",Software,8.00%,L + 7.00%,1.00%,10/31/25,30561,29111,30103,(2) (3),,,,
12,"Acquia, Inc.",Software,8.00%,L + 7.00%,1.00%,10/31/25,3268,192,212,(2) (3) (4),,,,
13,"Ansira Partners, Inc.",Professional Services,7.50%,L + 6.50% PIK,1.00%,12/20/24,4924,4905,4038,,,,,
14,"Ansira Partners, Inc.",Professional Services,7.50%,L + 6.50% PIK,1.00%,12/20/24,303,302,249,,,,,
15,"Apptio, Inc.",IT Services,8.25%,L + 7.25%,1.00%,01/10/25,79154,76173,79154,(2) (3),,,,
16,"Apptio, Inc.",IT Services,8.25%,L + 7.25%,1.00%,01/10/25,5385,2088,2154,(2) (3) (4),,,,
17,"Aria Systems, Inc.",Diversified Financial Services,L + 7.00%,1.00%,06/30/26,16600,16351,16351,(2) (5),,,,,
18,"Aria Systems, Inc.",Diversified Financial Services,L + 7.00%,1.00%,06/30/26,4160,—,—,(2) (4),,,,,
19,"Associations, Inc.",Real Estate Mgmt. & Development,8.00%,L + 7.00% (incl. 3.00% PIK),1.00%,07/30/24,34387,32845,34129,(2) (3),,,,
20,"Associations, Inc.",Real Estate Mgmt. & Development,8.00%,L + 7.00% (incl. 3.00% PIK),1.00%,07/30/24,7509,7239,7346,(2) (3) (4),,,,
21,"Associations, Inc.",Real Estate Mgmt. & Development,7.00%,L + 6.00%,1.00%,07/30/24,1422,1357,1412,(2) (3),,,,
22,ATX Networks Corp.,Communications Equipment,10.75%,L + 9.75% (incl. 1.50% PIK),1.00%,12/31/23,7129,7111,6273,,,,,
23,ATX Networks Corp.,Communications Equipment,10.75%,L + 9.75% (incl. 1.50% PIK),1.00%,12/31/23,453,449,399,,,,,
24,"Badger Sportswear, Inc.","Textiles, Apparel & Luxury Goods",6.25%,L + 5.00%,1.25%,09/11/23,7138,7101,6728,,,,,
25,"Blacksmith Applications, Inc.",Software,7.50%,L + 6.50%,1.00%,12/02/26,25100,24579,24723,(2) (3),,,,
26,"Blacksmith Applications, Inc.",Software,L + 6.50%,1.00%,12/02/26,2000,(41,),(30,),(2) (3) (4),,,
27,"Brillio, LLC",IT Services,5.50%,L + 4.75%,0.75%,02/06/25,10898,10476,10898,(2) (3),,,,
28,"Brillio, LLC",IT Services,5.50%,L + 4.75%,0.75%,02/06/25,1827,1807,1827,(2) (3),,,,
29,"Broadway Technology, LLC",Diversified Financial Services,7.50%,L + 6.50%,1.00%,01/08/26,26035,25556,25514,(2) (3),,,,
30,"Bullhorn, Inc.",Professional Services,6.75%,L + 5.75%,1.00%,09/30/26,26697,25606,26430,(2) (3),,,,
31,"Bullhorn, Inc.",Professional Services,6.75%,L + 5.75%,1.00%,09/30/26,554,531,548,(2) (3),,,,
32,"Bullhorn, Inc.",Professional Services,6.75%,L + 5.75%,1.00%,09/30/26,441,423,437,(2) (3),,,,
33,"Bullhorn, Inc.",Professional Services,L + 5.75%,1.00%,09/30/26,1232,(17,),(12,),(2) (3) (4),,,
34,"Bullhorn, Inc.",Professional Services,L + 5.75%,1.00%,09/30/26,1344,(19,),(13,),(2) (3) (4),,,
35,"Businessolver.com, Inc.",Health Care Technology,8.50%,L + 7.50%,1.00%,05/15/23,42625,40863,42625,(2) (3),,,,
