,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Investment  (1)(4),Industry,Interest  Rate  (2),Reference Rate  and Spread  (2),Maturity,,Par  (3),,Cost,,Fair  Value,,Footnotes,,,
1,1st Lien/Senior Secured Debt -  198.48  %,,,,,,,,,,,,,,,
2,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,11.39  %,S +  6.00  %,11/06/26,$,,9194.0,,$,9110,,$,9079,,(5) (6) (7)
3,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,12.45  %,P +  6.00  %,11/06/26,,,919.0,,,874,,,871,,(5) (6) (7) (8)
4,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,11.70  %,CDN P +  4.75  %,11/06/26,CAD,,454.0,,,339,,,338,,(5) (6) (7)
5,"3SI Security Systems, Inc.",Commercial Services & Supplies,12.01  %,S +  6.50  %,12/16/26,,,13250.0,,,13149,,,12521,,(7)
6,"3SI Security Systems, Inc.",Commercial Services & Supplies,12.01  %,S +  6.50  %,12/16/26,,,2018.0,,,1970,,,1907,,(7)
7,"A Place For Mom, Inc.",Diversified Consumer Services,9.69  %,L +  4.50  %,02/10/26,,,7278.0,,,7263,,,6550,,
8,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,11.48  %,S +  6.25  %,03/10/27,,,16141.0,,,15869,,,15818,,(6) (7)
9,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,11.48  %,S +  6.25  %,03/10/27,,,1689.0,,,1675,,,1655,,(6) (7)
10,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,11.48  %,S +  6.25  %,03/10/27,,,1220.0,,,774,,,769,,(6) (7) (8)
11,"Acquia, Inc.",Software,12.34  %,L +  7.00  %,10/31/25,,,42164.0,,,41118,,,41321,,(6) (7)
12,"Acquia, Inc.",Software,12.29  %,L +  7.00  %,10/31/25,,,3268.0,,,2506,,,2484,,(6) (7) (8)
13,"Admiral Buyer, Inc. (dba Fidelity Payment Services)",Diversified Financial Services,10.74  %,S +  5.50  %,05/08/28,,,26262.0,,,25817,,,25868,,(6) (7)
14,"Admiral Buyer, Inc. (dba Fidelity Payment Services)",Diversified Financial Services,,S +  5.50  %,05/08/28,,,2530.0,,,(  41,),,(  38,),(6) (7) (8)
15,"Admiral Buyer, Inc. (dba Fidelity Payment Services)",Diversified Financial Services,,S +  5.50  %,05/08/28,,,7120.0,,,(  58,),,(  107,),(6) (7) (8)
16,"Ansira Partners, Inc.",Professional Services,,L +  6.50  % PIK,12/20/24,,,5712.0,,,5276,,,657,,(7) (9)
17,"Ansira Partners, Inc.",Professional Services,,L +  6.50  % PIK,12/20/24,,,347.0,,,325,,,40,,(7) (9)
18,"Ansira Partners, Inc.",Professional Services,15.24  %,S +  10.00  % (incl.  8.00  % PIK),12/20/24,,,158.0,,,36,,,32,,(6) (7) (8) (10)
19,"Apptio, Inc.",IT Services,10.20  %,S +  5.00  %,01/10/25,,,79154.0,,,77741,,,78362,,(6) (7)
20,"Apptio, Inc.",IT Services,10.20  %,S +  5.00  %,01/10/25,,,5385.0,,,1585,,,1562,,(6) (7) (8)
21,"AQ Helios Buyer, Inc. (dba SurePoint)",Software,12.28  %,S +  7.00  %,07/01/26,,,39210.0,,,38681,,,38034,,(6) (7)
22,"AQ Helios Buyer, Inc. (dba SurePoint)",Software,13.17  %,S +  8.00  %,07/01/26,,,6600.0,,,5219,,,5186,,(6) (7) (8)
23,"AQ Helios Buyer, Inc. (dba SurePoint)",Software,13.28  %,S +  8.00  %,07/01/26,,,2339.0,,,2339,,,2327,,(6) (7)
